"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
企业存款:地级市合计,百万人民币,7966006,3.5114E+12,1873871.947,0.161708773,-0.630489335,0.23523356,5625240,10482690,7958240,5,,,,,,,,,,,,,,,,,,,,,,,,5625240.00,6828720.00,7958240.00,8935140.00,10482690.00,,,,,,,,,,
企业存款:北京,百万人民币,3131116.543,3.65434E+12,1911633.216,0.435893761,-1.415659528,0.610527647,856100,6339305.044,2574776.5,14,,,,,,,,,,,,,,,,,,,,,,,,856100.00,998640.00,1231020.00,1520690.00,1742690.00,2042104.04,2278375.00,2871178.00,3234910.00,4701576.22,5158080.83,5761162.47,6339305.04,,5099800.00
企业存款:天津,百万人民币,674519.2626,2.67136E+11,516852.0874,0.496179055,-1.550366419,0.766252524,111540,1470358,482305.5,14,,,,,,,,,,,,,,,,,,,,,,,,111540.00,154280.00,182300.00,218520.00,266200.00,361583.00,361714.00,602897.00,688760.00,1045846.00,1211078.00,1406313.68,1470358.00,,1361880.00
企业存款:河北:石家庄,百万人民币,97711.60909,1806763436,42506.03999,1.029572303,-0.253873925,0.435015249,55270,173426,81800,9,,,,,,,,,,,,,,,,,,,,,,,,55270.00,61740.00,67530.00,73680.00,81800.00,95798.48,111755.00,158405.00,173426.00,,,,,,
企业存款:河北:唐山,百万人民币,58492.53114,1193735835,34550.48242,0.646236998,-1.023778855,0.590681951,19660,110464,48660,9,,,,,,,,,,,,,,,,,,,,,,,,19660.00,24080.00,33880.00,39530.00,48660.00,61416.78,78378.00,110464.00,110364.00,,,,,,
企业存款:河北:秦皇岛市,百万人民币,24351.02787,173031479.4,13154.14305,0.852971867,-0.547294724,0.540188411,10580,47322,19830,9,,,,,,,,,,,,,,,,,,,,,,,,10580.00,12170.00,15350.00,15960.00,19830.00,26447.25,29330.00,42170.00,47322.00,,,,,,
企业存款:河北:邯郸市,百万人民币,23410.39197,119045585.1,10910.8013,0.671045902,-0.654395175,0.466066579,11120,41619,21560,9,,,,,,,,,,,,,,,,,,,,,,,,11120.00,11520.00,16470.00,17670.00,21560.00,24864.53,27445.00,38425.00,41619.00,,,,,,
企业存款:河北:邢台市,百万人民币,16168.56109,82096388.71,9060.705751,0.678759556,-0.925303304,0.560390359,6200,30960,13490,9,,,,,,,,,,,,,,,,,,,,,,,,6200.00,7290.00,9670.00,10640.00,13490.00,17970.05,20602.00,28695.00,30960.00,,,,,,
企业存款:河北:保定市,百万人民币,27865.13253,245330457.6,15663.02837,1.010222498,-0.136226816,0.562101341,12140,56331,23780,9,,,,,,,,,,,,,,,,,,,,,,,,12140.00,13990.00,16430.00,18410.00,23780.00,29790.19,30483.00,49432.00,56331.00,,,,,,
企业存款:河北:张家口市,百万人民币,14903.5284,95946566.86,9795.231843,1.01550756,-0.387443386,0.657242472,5380,31125,11000,9,,,,,,,,,,,,,,,,,,,,,,,,5380.00,6410.00,7990.00,9160.00,11000.00,15421.76,17257.00,30388.00,31125.00,,,,,,
企业存款:河北:承德市,百万人民币,11852.45931,62017981.73,7875.149632,1.108408867,0.18897552,0.664431695,4070,26820,9160,9,,,,,,,,,,,,,,,,,,,,,,,,4070.00,5120.00,6280.00,7320.00,9160.00,12531.13,13277.00,22094.00,26820.00,,,,,,
企业存款:河北:沧州市,百万人民币,20841.54891,153310250.2,12381.85165,0.968194192,-0.360022003,0.594094599,8240,42415,16350,9,,,,,,,,,,,,,,,,,,,,,,,,8240.00,9990.00,11240.00,15070.00,16350.00,20529.94,24959.00,38780.00,42415.00,,,,,,
企业存款:河北:廊坊市,百万人民币,26915.44734,341393864.7,18476.84672,1.067699635,0.253930521,0.686477415,8700,62618.29,21470,9,,,,,,,,,,,,,,,,,,,,,,,,8700.00,10900.00,12410.00,16300.00,21470.00,29798.74,30977.00,49065.00,62618.29,,,,,,
企业存款:河北:衡水市,百万人民币,11339.70629,13471068.18,3670.29538,0.126681427,-1.025348999,0.323667588,6150,16624,11926,9,,,,,,,,,,,,,,,,,,,,,,,,6150.00,7260.00,8700.00,9960.00,12390.00,12839.36,11926.00,16624.00,16208.00,,,,,,
企业存款:山西:太原市,百万人民币,254033.3846,41857644925,204591.4097,0.779974559,-1.163148601,0.805372136,52560,585520,162186,13,,,,,,,,,,,,,,,,,,,,,,,,52560.00,71300.00,83320.00,83750.00,110630.00,131695.00,162186.00,218475.00,256838.00,435678.00,537926.00,572556.00,585520.00,,
