"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
商品房销售面积:住宅:地级市合计,千平方米,472198.6,3642122506,60350.00005,0.000208782,,0.127806393,411850,532550,472195.8,3,,,,,,,,,,,,,,,472195.80,,532550.00,411850.00,,,,,,,,,,
商品房销售面积:住宅:北京,千平方米,10438.13375,57883253.73,7608.104477,0.633548813,-0.2538852,0.728875933,1490.3,28236.529,10331.93,28,1525.00,1530.00,1820.00,1490.30,1783.00,1830.81,2561.93,3769.90,4847.14,8982.15,11275.00,16044.19,17710.53,25525.87,28236.53,22050.30,17314.80,10314.25,18804.54,12013.90,10349.61,14834.00,13637.00,11413.00,11273.00,9935.00,6128.00,5268.00
商品房销售面积:住宅:天津,千平方米,9785.4205,42979165.98,6555.849752,0.234600495,-0.542897225,0.669960964,764.8,25218.725,11998.6845,24,,,,764.80,1353.40,1144.20,1802.40,2334.10,2478.00,3783.40,5145.90,5382.62,7206.40,7833.20,12643.85,13324.92,14018.48,11353.52,14614.66,13526.09,13657.10,15114.00,17203.43,14836.40,16681.80,25218.73,13428.69,
商品房销售面积:住宅:河北:石家庄,千平方米,4033.520158,8271609.359,2876.04057,0.281901779,-1.508205601,0.713034882,663.714,8776.467,3291.428,19,,,,,,,,,786.47,663.71,728.74,763.20,1146.49,1192.48,2116.64,2879.64,3815.59,3263.96,3291.43,4464.26,7832.01,6970.79,7827.28,7256.84,5813.75,7047.13,8776.47,
商品房销售面积:住宅:河北:唐山,千平方米,5043.852769,5945307.291,2438.300082,-0.206370621,-1.279372801,0.483420154,1515.7,8927.748,5956.464,13,,,,,,,,,,,,,,,1515.70,2142.20,1585.70,2919.00,3978.40,4367.00,5956.46,7150.12,8927.75,7162.58,6671.51,6813.02,6380.64,
商品房销售面积:住宅:河北:秦皇岛市,千平方米,2376.239769,408052.2486,638.7896748,-0.361672952,-1.024712743,0.268823745,1241.5,3175.733,2593.57,13,,,,,,,,,,,,,,,1477.10,1899.50,2044.60,1241.50,1919.70,3139.00,3101.87,2593.57,2803.55,2105.12,2674.36,2715.51,3175.73,
商品房销售面积:住宅:河北:邯郸市,千平方米,2654.025846,1669812.846,1292.212384,-0.082219678,-1.341556436,0.486887641,925,4766.19,3139.889,13,,,,,,,,,,,,,,,997.70,1018.00,925.00,1438.60,1801.70,2522.00,3569.05,4014.51,3139.89,3164.76,3380.55,3764.39,4766.19,
商品房销售面积:住宅:河北:邢台市,千平方米,2103.026143,975861.724,987.8571375,0.059781506,-0.859600841,0.469731268,551.3,3868.049,2247.1235,14,,,,,,,,,,,,,,,551.30,867.50,1220.90,1106.90,1256.40,2179.00,2650.53,1984.43,2315.25,2666.17,2419.82,3345.12,3868.05,3011.00
商品房销售面积:住宅:河北:保定市,千平方米,3367.148769,2512991.792,1585.241872,-0.179612469,-1.481668915,0.470796505,882,5415.327,3704.904,13,,,,,,,,,,,,,,,882.00,1456.00,2180.20,1547.30,2135.00,3778.00,4450.96,3704.90,3176.37,4671.73,5374.39,5415.33,5000.75,
商品房销售面积:住宅:河北:张家口市,千平方米,3697.915923,3127238.485,1768.399979,0.303706635,-0.450554623,0.478215302,1134.1,7049.933,3745.15,13,,,,,,,,,,,,,,,1134.10,1461.20,1862.10,2220.50,3069.90,6020.00,7049.93,5287.64,4438.49,3745.15,3843.39,4223.17,3717.34,
商品房销售面积:住宅:河北:承德市,千平方米,2014.198462,813528.6,901.958203,-0.525312006,-1.741913559,0.447800066,588.6,2968,2457.634,13,,,,,,,,,,,,,,,588.60,965.80,876.40,1071.20,1234.40,2968.00,2831.74,2370.87,2563.48,2763.08,2457.63,2772.94,2720.44,
商品房销售面积:住宅:河北:沧州市,千平方米,3321.143571,2824526.715,1680.632832,-0.255348294,-1.446648993,0.506040403,861.1,5581.072,3512,14,,,,,,,,,,,,,,,960.90,1134.40,861.10,1705.90,2349.90,3899.00,4843.56,3045.86,4202.40,4512.08,4918.07,5581.07,5356.78,3125.00
商品房销售面积:住宅:河北:廊坊市,千平方米,6625.690769,9662328.264,3108.428584,0.456114146,0.334071282,0.469147851,2186.9,13189.201,6748.149,13,,,,,,,,,,,,,,,2186.90,2478.40,3506.70,4131.80,6099.80,7627.00,6748.15,6512.88,7242.98,8436.64,10383.36,13189.20,7590.17,
商品房销售面积:住宅:河北:衡水市,千平方米,2478.665154,2237180.441,1495.72071,-0.150794608,-1.90683264,0.603437986,622,4417.352,2589.06,13,,,,,,,,,,,,,,,812.20,622.00,813.00,642.10,1102.10,2287.00,3897.52,2589.06,3563.86,3666.44,3679.66,4130.36,4417.35,
商品房销售面积:住宅:山西:太原市,千平方米,2301.283684,3673369.986,1916.603763,1.255498932,1.198856147,0.832841156,273.196,7298.652,1688.349,19,,,,,,,,,273.20,364.17,555.08,711.49,577.25,1093.62,1833.79,1248.38,1490.29,1621.12,1688.35,2354.87,1918.87,3093.74,3749.91,4010.40,4237.90,5603.35,7298.65,
商品房销售面积:住宅:山西:大同市,千平方米,939.4118462,127902.772,357.6349703,1.733820878,3.660962106,0.380700937,566,1898.165,859.722,13,,,,,,,,,,,,,,,631.10,769.40,942.80,664.30,566.00,734.00,859.72,992.81,982.45,712.38,1188.98,1270.25,1898.17,
商品房销售面积:住宅:山西:阳泉市,千平方米,779.1447857,40456.10782,201.1370374,0.616173631,0.152791742,0.258151041,512,1215.039,749.3645,14,,,,,,,,,,,,,,,518.00,583.60,715.60,717.90,852.00,1006.00,999.27,1215.04,817.17,715.21,603.28,872.14,780.83,512.00
商品房销售面积:住宅:山西:长治市,千平方米,1389.736357,365893.7807,604.8915445,0.117297398,-0.709037299,0.435256329,455,2497.405,1433.094,14,,,,,,,,,,,,,,,455.00,986.70,616.40,653.50,1085.00,1139.00,1357.64,1508.55,1570.35,1687.46,1782.19,1979.11,2497.41,2138.00
商品房销售面积:住宅:山西:晋城市,千平方米,752.4252143,155284.3204,394.0613155,0.608941922,-0.547851657,0.523721571,202.8,1486.707,680.119,14,,,,,,,,,,,,,,,471.60,313.10,202.80,371.10,579.00,553.00,986.46,684.58,785.70,675.65,1486.71,1267.85,1348.40,808.00
商品房销售面积:住宅:山西:朔州市,千平方米,672.0538571,75043.86811,273.9413589,0.718475177,-0.62105431,0.407618163,338.735,1191.122,634.6005,14,,,,,,,,,,,,,,,409.10,445.30,715.20,437.30,574.00,422.00,695.20,776.48,1052.93,1078.20,338.74,533.19,1191.12,740.00
商品房销售面积:住宅:山西:晋中市,千平方米,1186.900071,103813.0174,322.2002752,0.459249347,1.111914023,0.271463692,709,1927,1198.989,14,,,,,,,,,,,,,,,709.00,1180.00,1188.80,1342.70,733.00,1090.00,771.37,1071.67,1209.18,1236.63,1265.78,1398.01,1493.48,1927.00
商品房销售面积:住宅:山西:运城市,千平方米,1774.856615,482707.686,694.771679,0.489114523,0.56873587,0.391452286,675.1,3256.65,1716,13,,,,,,,,,,,,,,,675.10,873.00,1165.00,1536.30,1716.00,1574.00,1636.24,2404.25,2082.02,1850.93,1763.47,2540.18,3256.65,
商品房销售面积:住宅:山西:忻州市,千平方米,651.9595714,59583.06116,244.0964178,-0.241275062,0.243436029,0.374404225,140,1077.478,654.903,14,,,,,,,,,,,,,,,140.00,410.00,527.10,684.00,783.00,671.00,932.55,638.81,533.15,550.70,447.79,1077.48,832.86,899.00
商品房销售面积:住宅:山西:临汾市,千平方米,940.7791429,214191.4735,462.808247,0.095799409,-1.067462375,0.491941441,262,1773,1017.716,14,,,,,,,,,,,,,,,262.00,347.70,435.00,608.50,630.00,601.00,1006.58,1028.85,1304.92,1323.25,1116.32,1456.97,1276.82,1773.00
商品房销售面积:住宅:山西:吕梁市,千平方米,493.727,34725.28256,186.3472097,-0.417947564,0.789113067,0.377429652,94.7,816.551,506.5865,14,,,,,,,,,,,,,,,94.70,250.30,465.00,316.30,435.00,562.00,544.93,489.65,755.97,498.27,580.21,816.55,588.40,514.90
商品房销售面积:住宅:内蒙古:呼和浩特市,千平方米,2434.138789,1832150.837,1353.569665,0.123864391,-0.737658609,0.556077439,411.75,5183,2499.7,19,,,,,,,,,411.75,550.32,581.83,1056.88,1129.67,1387.04,1947.54,1938.55,2133.25,3081.36,3125.96,3947.50,5183.00,4143.10,3399.60,3069.20,3214.40,3448.00,2499.70,
商品房销售面积:住宅:内蒙古:包头市,千平方米,3620.238462,1308608.406,1143.944232,0.537597201,0.089494462,0.315985879,1825.4,5919.7,3376.5,13,,,,,,,,,,,,,,,1825.40,2293.00,2656.30,3376.50,5177.00,4740.00,5919.70,3141.50,3523.00,3171.60,3328.10,4047.00,3864.00,
商品房销售面积:住宅:内蒙古:乌海市,千平方米,920.6285714,85911.18835,293.1061043,-0.037486429,0.432258104,0.318376068,382,1485.5,947.35,14,,,,,,,,,,,,,,,739.00,994.00,1485.50,1315.90,802.00,754.00,1032.80,1001.30,1125.20,958.70,897.90,936.00,464.50,382.00
商品房销售面积:住宅:内蒙古:赤峰市,千平方米,2390.561538,855152.6909,924.7446625,0.637711475,0.081393163,0.386831566,873.1,4048.1,2189,13,,,,,,,,,,,,,,,873.10,1560.00,1799.30,1886.70,2042.00,3241.00,4048.10,2830.10,4025.90,2331.70,2022.20,2228.20,2189.00,
商品房销售面积:住宅:内蒙古:通辽市,千平方米,1285.246154,291302.0494,539.7240493,-0.057718524,0.260303757,0.419938272,274.7,2276.7,1226.3,13,,,,,,,,,,,,,,,274.70,552.00,1470.30,1056.50,954.00,1643.00,2276.70,1174.10,1481.80,1102.80,1226.30,1509.80,1986.20,
商品房销售面积:住宅:内蒙古:鄂尔多斯市,千平方米,2503.507692,1178018.452,1085.365585,0.427176678,-1.016777306,0.433537947,1005.8,4482,2009.9,13,,,,,,,,,,,,,,,1005.80,2141.00,3279.50,3685.20,3563.00,4482.00,3606.80,1814.10,2009.90,1983.20,1849.90,1963.50,1161.70,
商品房销售面积:住宅:内蒙古:呼伦贝尔市,千平方米,2500.946154,1084146.964,1041.223782,-0.191588231,-0.66250037,0.416331947,753.5,4228.8,2293.2,13,,,,,,,,,,,,,,,753.50,941.00,1538.40,2246.90,2260.00,1969.00,2947.00,3268.10,3455.50,4228.80,3596.10,3014.80,2293.20,
