"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
房地产开发投资:住宅:地级市合计,百万人民币,1978550.438,3.8933E+12,1973143.567,1.094037766,-0.104544868,0.997267256,140772.62,6214659.58,1072774.7,19,,,,,,,140772.62,350964.88,379930.11,371886.49,360852.46,561684.43,531930.84,673462.58,891928.27,1072774.70,1341181.81,1770956.12,2167893.37,2494817.67,3349414.44,4356607.67,4801038.77,5759701.51,6214659.58,,,,
房地产开发投资:住宅:北京,百万人民币,80037.48964,4979130000,70562.95062,0.486536879,-1.268667272,0.881623736,1230,196268.5,70448.04,28,1230.00,1400.00,2000.00,3810.00,5030.00,14237.25,12490.98,13286.65,16798.18,23656.41,28825.83,46422.40,58674.10,63297.18,77598.90,77953.36,86362.38,99166.37,94055.86,90661.68,150895.01,177830.70,162798.51,172460.00,196203.21,196268.50,195090.00,172546.25,
房地产开发投资:住宅:天津,百万人民币,40667.24536,2401677413,49006.91189,1.300293162,0.60784117,1.205070849,195.89,159826.72,16308.145,28,195.89,272.37,339.94,1368.82,1366.27,4440.15,4286.72,3963.70,6300.53,8689.72,9001.98,9639.85,10317.88,15092.52,17523.77,23492.40,31133.91,34281.87,45933.27,49485.63,56538.83,68908.18,84305.26,98627.85,112225.53,125153.00,159826.72,155970.31,
房地产开发投资:住宅:河北:石家庄,百万人民币,27677.47091,869116000.5,29480.7734,0.705473417,-1.092458128,1.065154165,654.03,89089.19,11893.795,22,,,,,,,654.03,2235.46,2763.53,1451.26,1380.45,1672.30,1876.84,3610.86,5539.01,8094.44,9512.55,14275.04,19808.45,28732.52,41225.40,54866.50,59227.28,61569.99,67888.59,65426.55,68004.12,89089.19,
房地产开发投资:住宅:河北:唐山,百万人民币,15733.75455,281493950.8,16777.78146,0.739855621,-1.210773602,1.066355867,1067.43,46837.27,4429,22,,,,,,,1067.43,2311.97,3476.73,3614.39,2346.85,1824.02,1775.57,1811.29,1779.84,2697.48,3927.18,4930.82,9722.18,14277.99,25273.10,37144.84,37423.62,43645.45,46837.27,40799.36,32210.46,27244.76,
房地产开发投资:住宅:河北:秦皇岛市,百万人民币,7343.735909,52591451.24,7251.996363,0.717264975,-1.062277566,0.987507782,362.52,21250.59,4400.065,22,,,,,,,606.35,1283.77,548.39,481.33,362.52,1084.52,1277.18,1427.60,2019.34,2560.86,3840.52,4959.61,6216.05,7169.46,9946.88,11950.45,16094.23,17331.90,21250.59,19149.90,18433.42,13567.32,
房地产开发投资:住宅:河北:邯郸市,百万人民币,9590.879091,95941050.68,9794.950264,0.905363589,-0.488644369,1.02127763,674.87,31969.76,3594.39,22,,,,,,,674.87,1653.70,2415.73,2314.38,3297.43,1681.06,1164.52,1653.11,2036.01,2054.60,2096.62,3891.35,6421.06,8875.28,16449.14,15804.89,18176.43,19754.45,22014.03,19774.86,26826.06,31969.76,
房地产开发投资:住宅:河北:邢台市,百万人民币,4643.190909,27991333.23,5290.683626,1.150834932,-0.018249874,1.139449945,264.5,15696.85,1725.925,22,,,,,,,1574.13,264.50,414.83,365.83,653.10,680.81,327.95,686.95,942.66,1139.50,1611.61,1840.24,2376.70,3975.30,5505.64,7214.05,6958.31,8708.67,11413.38,14225.33,15573.86,15696.85,
房地产开发投资:住宅:河北:保定市,百万人民币,15187.21227,269846357.8,16427.00088,0.845399742,-0.808064288,1.081633718,705.06,50710.48,5468.98,22,,,,,,,705.06,4808.55,4816.92,3166.53,986.80,2138.76,919.59,1278.05,2461.18,2145.55,3599.43,6121.04,6121.04,14374.85,22493.44,30636.93,30488.22,28886.61,39414.81,36984.83,50710.48,40860.00,
房地产开发投资:住宅:河北:张家口市,百万人民币,8695.119565,90316447.27,9503.496581,1.093811686,0.168415025,1.092969051,346.55,30637.44,4157.37,23,,,,,,,346.55,909.34,1195.49,1204.59,1159.34,867.46,633.65,1155.40,1640.93,1668.41,2730.90,4157.37,4714.91,7641.03,13696.36,15927.98,15194.76,13616.69,12235.59,15410.45,24813.11,30637.44,28430.00
