"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
工业总产值:地级市合计,百万人民币,44118652.49,1.45274E+15,38114867.13,0.651487934,-1.122850974,0.8639173,6166887.99,109930108,30890735.85,19,,,,,,,,,,,,,,,,,,,6166887.99,6429932.77,,6871698.83,8269218.58,9248969.76,10823052.85,13963249.83,18461297.46,24488955.35,30890735.85,39278682.02,48702819.56,53363176.40,68191889.54,82111474.33,90289142.39,100892661.39,109880444.33,109930108.00,,,
工业总产值:北京,百万人民币,637119.9212,4.36067E+11,660353.6984,0.817475762,-0.916567392,1.036466882,27620,1890107.08,305605,34,,,,,,,27620.00,32420.00,33650.00,38760.00,49560.00,60270.00,62590.00,73020.00,86000.00,116660.00,157660.00,149330.00,159060.00,181970.00,194700.00,218350.00,284200.00,327010.00,362020.00,441080.00,573325.00,694620.00,820999.68,964838.00,1041309.00,1103912.91,1369983.88,1451362.81,1559621.23,1737088.00,1845289.84,1744962.69,1808727.20,1890107.08,
工业总产值:天津,百万人民币,833706.3561,9.33452E+11,966153.0331,1.144097703,-0.187740346,1.1588649,35113,2824213.05,294040,31,,,,,,,,,35113.00,40551.00,52386.00,63522.00,67993.00,76440.00,99791.00,140484.00,183809.00,209401.00,166626.00,178235.00,206851.00,226455.00,260638.00,294040.00,332312.00,404961.00,585372.00,677410.00,852770.00,1007507.00,1250325.00,1308363.00,1675181.55,2086274.43,2342750.26,2651451.00,2803502.75,2824213.05,2740169.00,,
工业总产值:河北:石家庄,百万人民币,403929.7312,1.14203E+11,337939.5663,0.546028231,-1.357199239,0.836629592,54487.87,964478.77,292719.215,20,,,,,,,,,,,,,,,,,,,54487.87,62229.91,,68857.68,78142.59,86086.72,97245.26,119815.05,158304.58,201558.26,256065.57,329372.86,410378.67,446353.87,565534.23,726056.45,764314.57,846023.00,902241.26,941047.45,964478.77,,
工业总产值:河北:唐山,百万人民币,477021.527,1.60385E+11,400481.086,0.32489212,-1.67818238,0.839545101,48151.06,1054514,356774.155,20,,,,,,,,,,,,,,,,,,,48151.06,53821.17,,52403.42,59446.55,68142.84,81101.12,121391.75,181320.11,273801.34,329239.42,384308.89,579571.23,581916.38,754503.31,957367.46,996284.24,1054514.00,1033746.48,932631.53,996768.24,,
工业总产值:河北:秦皇岛市,百万人民币,76998.18245,3095761952,55639.57181,0.219211132,-1.702173461,0.722608899,14041.58,155848.53,67764.805,20,,,,,,,,,,,,,,,,,,,14041.58,15267.78,,14892.20,16543.98,17210.41,20923.01,26647.29,41337.49,49453.01,57098.82,78430.79,100430.77,91055.99,113154.65,141206.33,150080.77,151535.00,155848.53,140916.38,143888.87,,
工业总产值:河北:邯郸市,百万人民币,246845.8674,42684528880,206602.3448,0.296682961,-1.756098269,0.836969025,27965.04,539375.5,184129.345,20,,,,,,,,,,,,,,,,,,,33540.13,36814.77,,27965.04,31690.52,35679.07,41929.13,55946.11,83055.62,126528.95,155267.43,212991.26,307702.77,316441.89,410732.43,509523.87,539375.50,510336.00,519374.35,476515.27,505507.24,,
工业总产值:河北:邢台市,百万人民币,127674.9681,10413911653,102048.575,0.449124412,-1.466184357,0.799284124,20233.81,293365.05,100934.08,20,,,,,,,,,,,,,,,,,,,20233.81,22890.75,,21881.40,24150.70,26287.06,29029.77,37662.64,59644.09,70616.88,89063.64,112804.52,141448.37,142015.44,176459.68,225489.66,248552.89,269574.00,272035.61,270293.40,293365.05,,
工业总产值:河北:保定市,百万人民币,193977.6787,29221955502,170944.3053,0.57412323,-1.421899902,0.881257609,23853.81,472150.14,124466.865,20,,,,,,,,,,,,,,,,,,,23853.81,27167.46,,28253.33,31848.94,34503.13,40637.70,51449.19,74326.29,94673.39,111863.64,137070.09,170633.45,207646.68,287486.35,362785.33,411355.20,441971.00,457854.66,412023.79,472150.14,,
工业总产值:河北:张家口市,百万人民币,64013.99385,2266677783,47609.6396,0.475713982,-1.467051734,0.743737997,14446.28,140190.52,48717.22,20,,,,,,,,,,,,,,,,,,,15955.72,17164.49,,14446.28,15151.67,16919.35,18244.57,22186.85,34252.11,36630.54,42275.82,55158.62,68911.92,68420.59,89348.36,111220.60,119954.31,133556.00,140190.52,134633.22,125658.34,,
工业总产值:河北:承德市,百万人民币,81971.6998,4900097200,70000.69428,0.353345869,-1.670072859,0.853961726,9169.49,184930,60335.025,20,,,,,,,,,,,,,,,,,,,9169.49,10681.15,,9709.97,10520.37,11530.12,13246.10,18337.40,30052.47,38546.62,48931.96,71738.09,107612.80,98784.49,120352.10,161114.41,170656.72,184930.00,179551.30,169580.10,174388.34,,
工业总产值:河北:沧州市,百万人民币,219581.6631,45709233011,213797.1773,0.711191462,-1.109640697,0.97365679,18725.23,578918.27,145194.8,20,,,,,,,,,,,,,,,,,,,18725.23,20399.18,,20201.11,25428.25,24970.00,28872.56,37070.30,52607.87,102204.57,129604.19,160785.41,201324.18,219059.56,281739.13,370735.50,450681.71,531169.00,568048.36,578918.27,569088.88,,
工业总产值:河北:廊坊市,百万人民币,150476.7468,19989570436,141384.4774,0.578609529,-1.375918305,0.939576914,11449.6,379187.13,97834.475,20,,,,,,,,,,,,,,,,,,,11449.60,13299.68,,12256.36,15520.50,19792.90,22792.47,31037.30,47396.99,61682.06,83604.74,112064.21,144499.83,164568.22,216938.12,278800.48,316831.22,344356.00,364127.10,369330.03,379187.13,,
工业总产值:河北:衡水市,百万人民币,78953.27358,3722541667,61012.6353,0.668860858,-1.200827505,0.772768912,16025.08,179328.8,50752.78,19,,,,,,,,,,,,,,,,,,,16025.08,17743.39,,18666.61,21124.92,,25705.01,29778.31,38759.26,45102.40,45964.34,50752.78,64312.15,70012.67,98057.82,125579.74,136778.02,163702.00,173963.48,178755.42,179328.80,,
工业总产值:山西:太原市,百万人民币,132772.2315,8024339805,89578.67941,0.078419413,-1.763875573,0.674679324,27377.5,258873.92,133160.78,20,,,,,,,,,,,,,,,,,,,28333.17,28849.34,,27377.50,31051.85,33213.19,38541.32,51832.00,71986.06,92139.54,109640.52,162472.11,192072.00,156681.04,199465.27,242749.69,258873.92,250396.92,243100.43,215927.02,220741.74,,
工业总产值:山西:大同市,百万人民币,53406.2815,1318004301,36304.32896,0.404804831,-1.424750695,0.679776385,11317.49,108107.74,46729.125,20,,,,,,,,,,,,,,,,,,,16099.62,15632.94,,11317.49,12653.03,15980.86,18771.22,23906.74,31909.07,36811.02,41023.37,52434.88,60343.15,53597.00,73759.05,97426.57,107555.13,105191.23,108107.74,105422.57,80182.95,,
工业总产值:山西:阳泉市,百万人民币,34335.5625,594585952.1,24384.1332,0.327734843,-1.477979979,0.710171363,7162.43,74133.48,28883.92,20,,,,,,,,,,,,,,,,,,,7608.34,8573.71,,7162.43,7528.91,8302.85,9990.24,12930.77,20150.65,22260.96,25313.29,32454.55,40033.12,44218.16,54261.18,66930.00,74133.48,71599.40,65687.90,53899.54,53671.77,,
工业总产值:山西:长治市,百万人民币,89196.654,5489596820,74091.81345,0.356077966,-1.482650436,0.83065687,9588.51,207263.02,71561.87,20,,,,,,,,,,,,,,,,,,,9656.36,11550.17,,9588.51,10153.31,11398.78,14491.84,24180.60,38077.47,51850.40,62122.17,81001.57,112233.49,115899.96,143328.28,194384.70,207263.02,201708.58,187845.95,142818.85,154379.07,,
