"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
国内生产总值:人均:北京,人民币,37814.53659,1734970448,41652.97646,1.025885121,-0.178005316,1.101506992,1257,140000,19361,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1257.00,1358.00,1544.00,1526.00,1671.00,1943.00,2262.00,2643.00,2836.00,3150.00,3892.00,4269.00,4635.00,5494.00,6458.00,8006.00,10240.00,12690.00,14380.00,16778.00,19361.00,21684.00,24518.00,27430.00,31307.00,35450.00,41809.00,47127.00,52964.00,61470.00,66098.00,68406.00,75573.00,83547.00,89778.00,97178.00,102869.00,109603.00,118198.00,128994.00,140000.00
国内生产总值:人均:天津,人民币,32156.7,1500860659,38740.94292,1.155799102,-0.11607818,1.204754932,1133,118944,13692.5,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133.00,1241.00,1357.00,1458.00,1469.00,1555.00,1853.00,2169.00,2352.00,2621.00,3035.00,3261.00,3487.00,3777.00,4481.00,5800.00,7751.00,9769.00,11734.00,13142.00,14243.00,15405.00,17353.00,19141.00,21387.00,25544.00,30874.00,38206.00,42672.00,48566.00,59411.00,63375.00,73938.00,86377.00,94570.00,101615.00,106821.00,109634.00,114747.00,118944.00,
国内生产总值:人均:河北:石家庄,人民币,34157.25667,255044927.9,15970.12611,0.069697621,-1.591938952,0.467547094,12156.62,57024,32171.5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12156.62,13187.00,15188.00,17871.00,18671.00,21000.00,24243.00,28923.00,30428.00,33915.00,39919.00,43552.00,48491.00,48970.00,51043.00,54526.00,57024.00,55723.00
国内生产总值:人均:河北:唐山,人民币,51676.50412,685680721.6,26185.50595,-0.152518484,-1.717077502,0.506719764,14378.57,82972,51179,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14378.57,15715.00,18387.00,22965.00,28006.00,32429.00,37765.00,48054.00,51179.00,59389.00,71565.00,76643.00,79588.00,80450.00,78398.00,80617.00,82972.00,
国内生产总值:人均:河北:秦皇岛市,人民币,29030.67941,162500672.7,12747.57517,0.228114149,-1.059518056,0.439107022,11499.55,52380,27481,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11499.55,12463.00,14236.00,16515.00,17171.00,19745.00,23330.00,27481.00,27110.00,31182.00,35691.00,37804.00,38530.00,39282.00,40746.00,,48356.00,52380.00
国内生产总值:人均:河北:邯郸市,人民币,23379.33611,112226300.1,10593.69152,-0.315414658,-1.517051328,0.453121999,7032.05,36289,24461,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7032.05,7710.00,8934.00,10887.00,13410.00,15642.00,18406.00,22651.00,22779.00,26143.00,30270.00,32650.00,30800.00,32943.00,33450.00,35265.00,35567.00,36289.00
国内生产总值:人均:河北:邢台市,人民币,17040.57111,58567212.04,7652.921797,0.1279772,-1.308685183,0.449100077,6155.28,29210,16181.5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6155.28,6632.00,7731.00,9491.00,10041.00,11598.00,12978.00,14315.00,15174.00,17189.00,20027.00,21361.00,22277.00,22758.00,24256.00,27038.00,28499.00,29210.00
国内生产总值:人均:河北:保定市,人民币,17834.56402,69697425.84,8348.498418,0.224908641,-1.60861015,0.468107794,7058.04,29945,15770,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7058.04,7723.00,8614.00,10261.00,10020.00,11146.00,12703.00,14518.00,15770.00,18451.00,21796.00,24053.00,25982.00,26501.00,29067.00,29945.00,29579.55,
国内生产总值:人均:河北:张家口市,人民币,20364.10667,109998297.4,10488.00731,-0.095374068,-1.692330204,0.515024179,5741.92,34661,20732.5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5741.92,6190.00,7102.00,8889.00,9947.00,11580.00,13520.00,17134.00,18948.00,22517.00,25649.00,28139.00,29907.00,30540.00,30840.00,33030.00,32219.00,34661.00
国内生产总值:人均:河北:承德市,人民币,23071.36412,177718374.7,13331.10553,-0.010566346,-1.63317602,0.57782043,5143.19,41299,22198,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5143.19,5608.00,6555.00,8352.00,10723.00,12688.00,16377.00,21048.00,22198.00,25699.00,31705.00,33791.00,33653.00,38128.00,38505.00,40741.00,41299.00,
