"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
常住人口数:北京,千人,14136.07317,19736764.87,4442.607891,0.598526624,-1.0930762170000001,0.31427454,8715.0,21729.0,12572.0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8715.0,8971.0,9043.0,9192.0,9350.0,9500.0,9650.0,9810.0,10280.0,10470.0,10610.0,10750.0,10860.0,10940.0,11020.0,11120.0,11250.0,12511.0,12594.0,12400.0,12456.0,12572.0,13636.0,13851.0,14232.0,14564.0,14927.0,15380.0,16010.0,16760.0,17710.0,18600.0,19619.0,20186.0,20693.0,21148.0,21516.0,21705.0,21729.0,21707.0,21542.0
常住人口数:天津,千人,11106.05758,6160341.038,2482.003432,0.812254296,-0.820022962,0.223481953,8190.0,15621.2,10071.8,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8190.0,8310.0,8430.0,8560.0,8840.0,9090.0,9200.0,9280.0,9350.0,9420.0,9481.9,9525.9,9566.4,9594.8,10011.4,10040.6,10071.8,10113.0,10236.7,10430.0,10750.0,11150.0,11760.0,12281.6,12992.9,13545.8,14131.5,14722.1,15168.1,15469.5,15621.2,15568.7,15596.0
常住人口数:河北:石家庄,千人,9956.210497,493280.8611,702.3395625,-0.022282239,-1.6300712780000002,0.07054286,8959.4,10951.6,9974.55,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8959.4,9039.9,9105.1,9175.5,9273.0,9395.0,9550.5,9664.8,9774.1,10175.0,10279.8,10385.99,10499.8,10616.2,10701.6,10784.6,10879.9,10951.6
常住人口数:河北:唐山,千人,7736.9891689999995,11946.74574,109.3011699,0.031949269,-1.184631468,0.014127094,7582.0,7897.0,7738.1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7582.0,7627.4,7668.51,7708.0,7768.2,7801.2,7843.6,7897.0,
常住人口数:河北:秦皇岛市,千人,3023.8752870000003,5022.626697,70.87049243,-0.11190962900000001,-0.9547778990000001,0.023436976,2904.7,3134.2,3021.578729,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904.7,2930.0,2957.4,2978.0,2990.0,3006.2,3021.58,3045.2,3064.5,3073.2,3094.6,3110.8,3134.2
常住人口数:河北:邯郸市,千人,9375.273328,15366.411919999999,123.9613324,-0.171501345,-1.476842323,0.013222157,9188.0,9528.0,9373.9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9188.0,9239.2,9286.36,9325.1,9373.9,9433.0,9492.8,9511.1,9528.0
常住人口数:河北:邢台市,千人,7122.658459,39373.21108,198.4268406,-0.404252722,-1.32315916,0.027858536,6796.0,7374.4,7172.059209999999,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6796.0,6843.0,6884.4,6933.4,6988.8,7114.0,7155.5,7188.62,7216.9,7256.3,7294.4,7319.9,7351.6,7374.4
常住人口数:河北:保定市,千人,11403.569590000001,46675.19156,216.0444203,-0.44539725700000005,-0.346882869,0.018945333,11016.6,11690.5,11416.3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016.6,11208.0,11272.3,11351.43,11416.3,11490.1,11552.4,11634.5,11690.5,
常住人口数:河北:张家口市,千人,4407.180861,854.1142346,29.22523284,-1.21381619,0.532173415,0.006631276,4349.0,4434.0,4420.9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4349.0,4373.7,4393.83,4413.3,4420.9,4421.7,4425.1,4433.1,4434.0
常住人口数:河北:承德市,千人,3524.393636,1089.363095,33.00550098,0.292873898,-0.350721503,0.009364874,3476.0,3578.9,3527.2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3476.0,3489.1,3506.34,3515.1,3527.2,3530.1,3531.8,3565.0,3578.9
