指标名称,频率,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05
二手房房价租金比:北京,月,,41.07 ,41.57 ,41.69 ,41.68 ,45.80 ,45.97 ,45.37 ,45.64 ,45.91 ,45.10 ,45.22 ,44.22 ,44.02 ,44.70 ,44.52 ,43.87 ,42.89 ,43.14 ,43.97 ,45.52 ,47.83 ,49.93 ,49.37 ,49.83 ,51.39 ,53.48 ,55.26 ,58.37 ,60.71 ,53.32 ,59.78 ,63.37 ,68.22 ,71.17 ,70.75 ,69.11 ,69.61 ,69.68 ,68.59 ,68.16 ,68.68 ,60.91 ,63.66 ,66.75 ,66.68 ,66.06 ,64.78 ,64.14 ,60.47 ,68.45 ,59.06 ,59.69 ,58.42 ,54.86 ,57.74 ,58.25 ,60.88 
二手房房价租金比:上海,月,,49.96 ,49.90 ,50.03 ,50.11 ,47.21 ,48.44 ,46.59 ,46.52 ,47.00 ,47.23 ,47.30 ,46.46 ,45.01 ,45.22 ,45.43 ,45.47 ,44.68 ,43.84 ,45.12 ,48.41 ,49.89 ,51.99 ,52.28 ,53.87 ,56.22 ,58.07 ,60.40 ,64.30 ,64.90 ,58.42 ,59.97 ,60.53 ,63.04 ,66.10 ,67.00 ,66.95 ,67.57 ,66.46 ,65.85 ,68.04 ,72.82 ,66.35 ,69.19 ,69.33 ,68.11 ,67.97 ,68.53 ,69.18 ,66.18 ,70.68 ,66.37 ,62.91 ,59.92 ,59.46 ,59.55 ,59.84 ,60.57 
二手房房价租金比:广州,月,,40.14 ,40.04 ,39.98 ,40.88 ,41.11 ,42.02 ,41.34 ,41.50 ,41.04 ,39.63 ,39.68 ,39.64 ,39.16 ,38.86 ,39.35 ,39.16 ,39.04 ,39.68 ,39.15 ,39.52 ,41.12 ,40.84 ,41.18 ,41.67 ,42.92 ,44.32 ,46.07 ,45.88 ,44.10 ,44.48 ,46.37 ,47.91 ,50.16 ,51.72 ,53.55 ,53.77 ,53.42 ,53.45 ,53.85 ,55.76 ,57.35 ,54.68 ,60.84 ,58.07 ,56.16 ,56.29 ,57.23 ,60.52 ,59.84 ,62.43 ,60.69 ,56.00 ,57.11 ,61.23 ,57.15 ,54.92 ,57.03 
二手房房价租金比:深圳,月,,43.82 ,44.04 ,44.49 ,44.06 ,44.96 ,45.84 ,46.38 ,47.21 ,48.74 ,50.30 ,50.20 ,48.77 ,47.86 ,48.06 ,48.35 ,48.58 ,49.29 ,53.16 ,51.01 ,46.94 ,47.43 ,47.88 ,46.79 ,46.29 ,45.23 ,46.11 ,50.99 ,47.51 ,51.44 ,49.91 ,48.47 ,48.41 ,58.80 ,63.59 ,64.49 ,61.34 ,60.87 ,61.46 ,60.61 ,62.18 ,64.59 ,59.64 ,69.28 ,68.93 ,67.87 ,69.76 ,74.47 ,72.41 ,67.29 ,76.44 ,68.76 ,65.22 ,65.06 ,66.51 ,67.46 ,65.78 ,69.79 
二手房房价租金比:北海,月,,17.24 ,18.96 ,20.00 ,19.69 ,22.04 ,19.21 ,18.50 ,23.61 ,21.26 ,23.13 ,23.04 ,23.88 ,25.72 ,25.08 ,25.80 ,28.26 ,28.17 ,25.08 ,26.00 ,26.55 ,26.91 ,23.74 ,23.10 ,24.84 ,25.86 ,25.46 ,23.74 ,19.80 ,22.11 ,20.43 ,22.39 ,25.31 ,24.94 ,27.90 ,26.08 ,24.23 ,24.96 ,26.79 ,27.18 ,26.67 ,25.74 ,28.88 ,32.15 ,37.57 ,40.54 ,46.02 ,52.65 ,46.93 ,39.06 ,37.21 ,35.63 ,35.37 ,32.03 ,33.05 ,34.81 ,36.32 ,35.38 
二手房房价租金比:长春,月,,23.72 ,24.51 ,25.45 ,25.39 ,23.89 ,24.16 ,23.70 ,23.07 ,23.75 ,23.76 ,24.55 ,23.72 ,23.44 ,23.81 ,23.85 ,23.55 ,24.32 ,23.60 ,23.22 ,22.64 ,22.44 ,23.84 ,23.22 ,22.82 ,23.03 ,24.63 ,24.48 ,23.55 ,21.89 ,22.91 ,24.49 ,25.01 ,27.91 ,28.47 ,26.03 ,24.10 ,24.46 ,25.72 ,26.42 ,27.49 ,26.90 ,29.17 ,31.47 ,33.59 ,31.51 ,33.58 ,35.70 ,35.95 ,31.13 ,33.95 ,32.80 ,31.35 ,31.27 ,31.38 ,32.36 ,33.03 ,32.77 
二手房房价租金比:常州,月,23.83 ,22.69 ,23.46 ,25.65 ,25.38 ,28.50 ,28.85 ,30.16 ,28.69 ,29.82 ,30.24 ,30.68 ,29.45 ,29.47 ,29.35 ,29.53 ,29.90 ,29.19 ,28.99 ,30.37 ,29.83 ,31.02 ,29.41 ,29.18 ,29.41 ,30.78 ,32.03 ,33.16 ,33.32 ,33.59 ,34.33 ,36.91 ,38.49 ,43.61 ,44.45 ,43.55 ,42.89 ,44.05 ,44.01 ,44.66 ,46.14 ,44.54 ,45.03 ,57.25 ,58.70 ,50.80 ,52.86 ,56.71 ,54.52 ,50.89 ,51.63 ,54.23 ,50.04 ,49.47 ,56.33 ,53.45 ,52.63 ,52.88 
二手房房价租金比:长沙,月,,26.16 ,27.40 ,27.21 ,27.08 ,25.78 ,25.99 ,25.33 ,25.18 ,25.33 ,25.35 ,25.15 ,25.15 ,24.83 ,24.57 ,24.89 ,24.58 ,24.36 ,24.10 ,24.86 ,25.03 ,25.03 ,22.58 ,21.97 ,21.76 ,23.25 ,24.54 ,26.21 ,26.53 ,27.03 ,26.29 ,28.38 ,28.56 ,31.70 ,33.47 ,32.77 ,31.87 ,33.16 ,33.77 ,33.67 ,33.39 ,33.93 ,34.64 ,36.48 ,37.43 ,36.98 ,37.57 ,37.06 ,36.24 ,35.34 ,34.46 ,38.41 ,34.99 ,34.83 ,38.77 ,36.67 ,35.10 ,35.93 
二手房房价租金比:重庆,月,,25.22 ,26.25 ,26.17 ,26.21 ,23.53 ,23.13 ,23.86 ,23.00 ,23.71 ,23.87 ,24.69 ,23.57 ,23.47 ,23.61 ,23.17 ,23.00 ,22.30 ,23.78 ,23.82 ,23.13 ,24.33 ,22.77 ,22.32 ,21.96 ,22.76 ,23.76 ,25.16 ,22.46 ,24.18 ,22.07 ,24.68 ,24.29 ,27.65 ,30.68 ,29.66 ,28.65 ,28.89 ,29.79 ,29.63 ,30.20 ,31.14 ,29.11 ,33.28 ,34.98 ,34.98 ,36.98 ,38.54 ,37.76 ,36.02 ,39.71 ,38.88 ,36.95 ,36.09 ,39.63 ,39.15 ,36.75 ,37.60 
二手房房价租金比:成都,月,,27.82 ,28.82 ,28.88 ,28.82 ,27.34 ,27.30 ,27.13 ,27.19 ,27.76 ,27.53 ,28.44 ,27.92 ,27.26 ,27.15 ,27.24 ,26.65 ,25.27 ,25.90 ,26.83 ,26.11 ,28.53 ,26.36 ,24.87 ,24.61 ,25.79 ,28.05 ,30.27 ,28.43 ,28.84 ,27.01 ,29.29 ,29.33 ,32.06 ,34.85 ,34.02 ,33.59 ,34.11 ,36.10 ,38.10 ,39.60 ,40.72 ,41.21 ,46.54 ,48.91 ,48.14 ,48.34 ,47.86 ,45.84 ,42.18 ,40.86 ,43.77 ,40.61 ,40.46 ,46.12 ,43.61 ,39.34 ,41.29 
