"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
房地产开发投资:地级市合计,百万人民币,2823547.902,8.42163E+12,2902003.895,1.128709203,0.034109541,1.027786316,312446.98,9224990.92,1568815.8,19,,,,,,,,,,,,,318446.25,312446.98,356028.64,401725.43,492195.56,624813.42,771922.20,1004110.13,1310979.68,1568815.80,1927448.01,2491413.66,3008429.97,3566597.26,4727106.01,6191850.38,7002797.92,8345291.91,9224990.92,,,,
房地产开发投资:北京,百万人民币,160759.7932,20535472079,143302.031,0.535203485,-1.164207757,0.891404673,2250,422634.73,133788.11,28,,,,,,,2250.00,2400.00,3370.00,5840.00,9950.00,35580.08,32816.59,33033.66,37739.96,42145.91,52207.37,78381.85,98941.32,120247.63,147328.59,152500.82,171986.50,199582.06,190873.87,233771.24,290106.86,303633.40,315344.19,348340.45,391134.11,422634.73,404544.83,374588.19,
房地产开发投资:天津,百万人民币,73064.57391,5369003803,73273.48636,1.014781416,-0.245984874,1.002859285,6636.89,230001,40231.84,23,,,,,,,,,,,,6636.89,7151.03,8080.41,10670.35,11695.69,13392.94,16126.62,17584.46,21138.76,26391.65,32754.03,40231.84,50529.56,65372.48,73518.36,86664.24,108004.36,125999.69,148081.52,169964.96,187155.00,230001.00,223339.36,
房地产开发投资:河北:石家庄,百万人民币,39944.06364,1855122724,43071.13563,0.717572284,-1.175117165,1.078286276,1639.23,124363.3,16484.11,22,,,,,,,,,,,,,1653.93,1639.23,1763.76,1926.10,2326.23,2817.98,3340.70,6209.31,8774.72,12210.27,13214.52,19753.70,28039.79,37821.71,53799.94,78914.13,83321.25,92814.91,101805.94,98627.02,103630.96,124363.30,
房地产开发投资:河北:唐山,百万人民币,20658.87409,532823273.2,23082.965,0.703234174,-1.324022857,1.117338965,482.65,60929.82,5512.63,22,,,,,,,,,,,,,651.45,482.65,656.55,1454.17,1461.90,1615.49,2159.89,2800.05,4562.80,3911.97,4840.54,6184.72,12038.34,19178.90,33839.41,50627.17,51651.72,56914.92,60929.82,56867.99,45893.68,35771.10,
房地产开发投资:河北:秦皇岛市,百万人民币,9722.171818,90123986.21,9493.365379,0.754109476,-1.052650021,0.976465501,749.05,26879.79,5306.24,22,,,,,,,,,,,,,808.77,749.05,819.33,1327.17,1374.34,1890.05,2532.15,2573.56,2654.41,3069.61,4772.20,5840.28,8252.18,9444.89,12025.92,16443.47,21331.91,23511.62,26879.79,25723.02,25169.02,16695.04,
房地产开发投资:河北:邯郸市,百万人民币,14865.14739,269816988.8,16426.10693,0.73050445,-1.091166589,1.105008009,275.12,47524.9,4714.41,23,,,,,,,,,,,,,275.12,360.14,560.76,682.76,857.14,1283.85,1652.42,1977.88,2336.73,2775.32,2619.49,4714.41,7694.25,11338.18,22562.85,24029.01,25782.71,30503.80,37709.38,34125.19,38172.10,47524.90,42360.00
房地产开发投资:河北:邢台市,百万人民币,6519.171304,57817078.21,7603.754218,1.031874324,-0.388382699,1.166368218,198.06,23191,2377.67,23,,,,,,,,,,,,,201.57,198.06,247.58,360.91,435.85,422.39,435.42,1083.73,1447.76,1533.07,2008.89,2377.67,2714.50,4761.09,6239.33,8491.00,9093.17,12478.42,15183.21,18197.95,19154.10,19684.27,23191.00
房地产开发投资:河北:保定市,百万人民币,17597.02727,407821834.4,20194.59914,0.872685752,-0.680903287,1.147614243,345.23,61913.87,5735.97,22,,,,,,,,,,,,,345.23,421.05,656.20,850.39,1334.18,1629.48,1361.77,1912.15,3319.89,2892.09,4356.49,7115.45,8810.03,17443.27,27393.93,35383.09,34790.88,33413.14,45630.94,44462.44,61913.87,51698.64,
房地产开发投资:河北:张家口市,百万人民币,11136.04087,153383466.9,12384.80791,0.926655188,-0.326093052,1.112137433,149.62,39084.64,5065.89,23,,,,,,,,,,,,,149.62,200.84,269.29,326.47,379.27,768.99,1077.62,1609.76,1940.33,2143.07,3506.42,5065.89,5962.50,9627.53,17314.98,20856.01,20912.04,19933.54,17643.33,21167.08,32599.72,39084.64,33590.00
房地产开发投资:河北:承德市,百万人民币,6421.638261,39682091.89,6299.372341,0.465870264,-1.588089831,0.980960323,132.93,17550,3239.23,23,,,,,,,,,,,,,199.33,132.93,234.58,319.04,420.39,668.30,954.31,1488.90,1583.55,1587.15,2090.41,3239.23,4764.33,6719.01,9272.20,14340.37,12032.60,14093.38,13907.67,13148.65,13657.41,15293.94,17550.00
房地产开发投资:河北:沧州市,百万人民币,8330.898182,91347591.34,9557.593386,0.916821047,-0.660687016,1.147246453,108.95,28336.56,2444.255,22,,,,,,,,,,,,,152.42,108.95,329.20,384.21,642.61,707.28,1007.48,1311.60,2001.97,1846.60,2207.22,2681.29,5263.41,6961.43,11262.06,15279.40,15000.83,18450.62,20190.66,23809.75,28336.56,25344.21,
房地产开发投资:河北:廊坊市,百万人民币,22095.10955,660122116.4,25692.84173,1.05031534,-0.290545213,1.162829344,320.41,75799.46,9479.145,22,,,,,,,,,,,,,320.41,487.59,433.95,760.72,1089.32,1480.48,1934.68,2853.21,4101.95,5861.82,6640.55,12317.74,21941.43,24843.08,24910.09,29417.90,24307.05,56914.92,52224.96,67086.79,70364.31,75799.46,
房地产开发投资:河北:衡水市,百万人民币,5994.833333,45792949.61,6767.048811,0.914994278,-0.620762614,1.128813502,66.03,19913.83,1766.89,21,,,,,,,,,,,,,81.24,66.03,155.65,492.95,518.15,,1047.67,1374.99,1299.74,1321.59,1829.56,1637.68,1766.89,4288.68,7872.83,11677.42,10427.98,12081.45,13139.32,15889.65,19008.20,19913.83,
房地产开发投资:山西:太原市,百万人民币,21214.50435,493017232.5,22203.99136,0.823968749,-0.780939259,1.046642005,751.48,68190.17,9482.49,23,,,,,,,,,,,,,751.48,859.40,1124.18,1170.77,1605.59,2113.94,2944.05,4297.03,6284.24,7943.50,8031.98,9482.49,12117.30,16501.22,24109.46,31207.81,36472.14,42991.94,48322.93,60421.52,68190.17,47814.46,53176.00
房地产开发投资:山西:大同市,百万人民币,7454.306957,67231967.24,8199.510183,0.966050325,-0.196382502,1.099969485,276.01,26502.05,2701.75,23,,,,,,,,,,,,,288.43,276.01,683.56,1033.16,782.52,1020.26,881.67,914.61,950.36,1461.77,2142.33,2802.58,2701.75,8366.14,9061.48,13418.15,17060.96,26502.05,23732.45,13916.71,16772.93,11139.18,15540.00
房地产开发投资:山西:阳泉市,百万人民币,2604.059565,5467684.302,2338.308,0.559799698,-1.057218803,0.897947202,106.06,7239.13,2183.43,23,,,,,,,,,,,,,106.06,197.01,204.16,320.75,264.52,286.75,380.86,659.74,746.36,1199.27,1754.35,2183.43,2755.79,3197.88,4334.34,5888.43,5696.67,7239.13,5270.08,4663.96,6397.81,3026.02,3120.00
房地产开发投资:山西:长治市,百万人民币,3378.54913,12691237.22,3562.476277,0.736728023,-1.095979455,1.054439684,59.14,10330,1526.29,23,,,,,,,,,,,,,59.14,141.30,211.97,132.42,65.66,188.01,475.00,704.78,912.50,1169.79,1408.25,1526.29,1780.43,2649.98,3276.11,5376.03,7591.60,9420.84,7523.31,8753.23,6779.62,7230.37,10330.00
