"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
存款:地级市合计,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,19988027.92,23303662.77,27918787.00,31626115.73,36504051.10,44054590.02,56687964.45,67784861.75,75959489.59,87019409.22,99399005.17,108249837.30,,,,
存款:北京,百万人民币,,,,,,,,,,,,,,,,352719.16,437887.12,522800.01,666683.68,826716.15,1152600.00,1410920.00,1743840.00,2047600.00,2378130.00,2896990.00,3379331.45,3770025.46,4398070.41,5696011.88,6658459.50,7500191.48,8483730.99,9166053.65,10009553.90,12857296.50,13840885.46,14408595.64,15709223.25
存款:天津,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,403351.00,475028.00,568440.00,653194.00,824207.00,995416.00,1388711.00,1649925.00,1758691.00,2029379.00,2331655.86,2477775.00,2814937.00,3006703.00,3094081.00,3098317.00
存款:河北:石家庄,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,193228.01,220886.68,257415.36,196842.19,333132.30,411156.26,516305.61,611580.28,671530.00,764070.00,860780.00,912461.25,980010.00,1107790.00,1170300.00,
存款:河北:唐山,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,107641.49,130974.94,157929.03,188768.41,224641.18,289685.54,365785.37,418824.83,474832.00,543746.00,612362.00,676685.36,745680.00,827990.00,874840.00,936980.00
存款:河北:秦皇岛市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,46915.04,54399.84,62501.04,70989.31,83213.14,101383.36,128822.64,150406.36,168678.31,192649.95,212259.73,227826.76,243146.09,262180.75,288434.89,326063.10
存款:河北:邯郸市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,70638.64,84621.21,101620.70,116954.69,124525.71,147475.02,184868.92,213149.76,249099.64,292450.00,343150.00,374757.42,413950.00,462110.00,503990.00,
存款:河北:邢台市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,52922.13,62176.46,69829.17,79710.59,90072.51,111132.59,138417.44,157902.62,182466.69,205938.00,239720.00,266930.46,293690.00,333530.00,,
存款:河北:保定市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,93561.63,105504.84,121558.23,143484.72,161424.28,196522.54,243415.36,285644.07,324837.93,377490.00,410690.00,500861.79,511300.00,586000.00,642460.00,
存款:河北:张家口市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,37563.26,44894.17,52841.24,61067.21,71345.52,86312.05,113306.60,130029.18,145921.08,167390.00,191359.00,211379.47,,,,
存款:河北:承德市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,25820.21,31571.80,37660.47,45263.18,55990.68,68659.93,89698.76,108757.52,119339.18,135910.00,160125.58,175550.81,,,,
存款:河北:沧州市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,69396.45,77301.85,89503.75,100866.84,110161.54,139339.31,176548.54,202658.89,230009.14,268990.00,310548.00,343889.60,382379.00,429871.00,,
存款:河北:廊坊市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,51196.06,58298.24,68928.54,82543.60,102033.31,126772.85,160509.10,198192.16,228556.11,271239.02,327660.00,393346.70,501107.76,617988.24,617060.00,
存款:河北:衡水市,百万人民币,,,,,,,,,,,,,,,,,,,,,,,,40516.30,45561.23,51674.21,58609.41,64306.52,78441.91,98397.29,115438.75,132888.71,157110.00,185460.00,210667.73,243580.00,256655.00,280100.00,
