City,2010,2011,2012,2013,2014,2015
北京,11322.5,12730.5,12855.75,13514.5,29601.0,45757.0
湖州,3535.0,4145.0,4326.75,4344.25,4331.75,4311.5
青岛,7562.0,8038.25,8017.0,8355.0,9643.5,10439.75
济南,4017.0,4262.75,4317.75,4383.25,4487.0,4556.5
重庆,6299.0,7033.25,7154.25,7883.5,8514.75,8669.5
烟台,4157.5,4649.75,4698.5,4752.75,4849.0,4931.0
南昌,2945.0,3147.0,3228.5,6780.5,7627.0,7616.75
南充,1947.5,2335.0,2491.75,2687.25,2861.5,2915.75
宜宾,2114.5,2307.0,2407.25,2530.75,2606.5,2554.75
合肥,4980.5,5203.75,5305.25,5384.25,5635.25,5850.0
宜昌,1389.5,1610.0,1758.5,1902.0,2108.25,2294.75
保定,2259.0,2459.25,2711.0,3054.5,3975.25,4739.25
大同,3381.0,3483.0,3483.0,3592.0,3733.5,3831.0
新乡,2031.5,2201.5,2362.25,2422.75,2546.75,2808.25
沈阳,2508.25,2778.5,2795.5,2924.0,3095.0,3180.25
天津,7586.5,7937.5,8100.0,8465.0,8762.25,9080.0
中山,4354.5,4916.0,5204.0,5593.75,6260.25,6681.5
泰安,1873.25,2012.25,2070.25,2183.75,2565.5,2743.25
宁波,7063.25,7817.25,8144.75,8591.25,8617.25,10232.75
岳阳,2600.5,2646.25,2794.25,2987.5,3067.5,3218.75
唐山,1947.25,2142.0,2226.5,2291.75,2330.25,2329.0
衡阳,1385.25,1447.75,1548.75,1701.5,1900.0,2085.25
潍坊,1673.75,1962.75,2087.25,2310.25,2573.25,2655.75
淮北,1622.25,2935.0,3601.75,3662.0,3720.75,3895.75
济宁,1399.0,1474.25,1537.0,1564.0,1589.0,1602.25
广州,6370.25,7473.25,20434.75,26017.5,29557.25,31770.5
珠海,7962.5,8582.0,8906.0,9207.25,9954.5,10358.5
嘉兴,2500.5,2656.25,2702.75,2961.75,3066.5,3060.75
九江,2479.75,2622.5,2742.75,2870.75,3008.25,3118.75
淄博,1685.75,1831.75,1865.75,1920.75,2002.5,2052.75
佛山,4811.5,5192.5,5335.0,6131.5,7535.75,7886.5
柳州,2470.75,4963.0,6745.25,6937.25,7198.25,7250.0
西宁,960.5,996.0,2351.0,2530.75,2588.25,2643.5
太原,1741.75,1838.0,1970.75,2326.25,3771.5,3836.75
廊坊,3558.5,3582.5,3578.5,3834.0,3849.25,3854.25
株洲,2290.0,2554.75,2703.5,2833.75,3025.0,3666.25
平顶山,2111.0,2258.0,2273.25,2307.0,2647.25,2899.75
安阳,1897.0,1939.75,2019.5,2164.5,2332.25,2394.75
银川,1815.0,2018.5,2174.25,2331.5,2526.0,2652.5
呼和浩特,1895.0,2181.75,2525.5,3965.75,4404.5,4623.25
包头,1215.75,1289.5,1413.0,1631.0,3738.25,4408.75
北海,2884.0,2977.5,2856.5,2890.0,2916.0,2980.5
海口,1786.0,2000.0,3063.75,3609.25,3855.75,4149.25
贵阳,7013.75,7933.5,8489.75,8587.5,8826.75,9034.75
温州,12117.75,13004.5,11784.75,11603.0,11358.75,10883.75
深圳,23083.5,31604.5,30590.0,34229.5,36351.75,38853.75
临沂,1238.5,1302.25,1386.75,1480.25,1629.25,1729.75
郑州,2718.75,2836.5,2889.5,2994.0,3173.75,3417.0
长沙,2850.25,3183.0,3470.5,3807.75,4071.0,6872.25
东莞,3886.3333333333335,6870.5,6710.5,7003.0,7310.5,7570.25
上海,28697.75,31115.0,33094.5,35399.0,38018.25,39427.25
枣庄,1437.5,1525.75,1594.75,1613.0,1730.5,1796.5
蚌埠,1362.5,1553.5,1656.75,1681.75,1687.5,1693.75
焦作,1523.5,1618.25,1585.75,1626.5,1690.75,1747.5
西安,3812.75,4195.75,4515.25,4775.0,5271.75,7018.0
兰州,2495.5,2681.75,2862.5,3002.5,3087.0,3093.25
成都,7644.0,8479.0,9418.0,10249.0,10821.25,10858.25
开封,1874.25,1981.0,2107.75,2293.0,2501.0,2697.0
湛江,3298.5,3651.5,3717.5,3898.25,4086.25,4304.5
秦皇岛,2132.75,2366.0,2449.0,2528.5,2614.25,2687.5
洛阳,2055.5,2207.25,2509.75,2680.75,2839.25,3149.25
湘潭,1647.0,1821.5,1873.25,2338.75,2439.75,2581.25
邯郸,2117.25,2261.75,2311.75,2331.5,2383.0,4161.75
杭州,24652.75,20049.5,15053.75,15456.5,16089.75,16512.25
淮南,1611.5,1710.25,1733.0,1731.5,1735.5,1731.0
石家庄,1859.0,2177.5,2415.75,2574.75,4917.75,5144.25
汕头,4653.75,5022.75,5145.0,5386.25,5566.5,5317.0
张家口,1582.0,1688.5,1815.5,1854.25,1944.75,2064.5
南宁,5105.5,5934.25,5928.0,6197.0,6404.0,6529.5
