City,2010,2011,2012,2013,2014,2015
北京,1444.16,1662.79,1835.01,2033.01,2194.41,2368.57
湖州,130.17,152.01,166.43,180.32,195.6,208.43
青岛,566.62,661.56,730.21,800.66,869.21,930.01
济南,391.05,440.63,480.37,523.02,577.06,610.02
重庆,798.38,1008.73,1150.4,1289.43,1439.32,1587.22
烟台,435.85,490.68,528.14,561.39,600.21,644.61
南昌,220.01,268.89,300.05,333.6,366.8,400.0
南充,82.78,102.95,118.04,132.86,143.2,151.62
宜宾,87.08,109.12,124.28,134.29,144.38,152.59
合肥,296.17,363.66,416.43,467.29,518.06,566.03
宜昌,154.73,214.07,250.89,281.81,313.22,338.48
保定,205.03,244.99,272.09,290.64,303.52,330.06
大同,69.59,84.36,93.14,96.74,100.17,105.34
新乡,118.99,148.94,161.98,176.61,191.8,197.5
沈阳,501.75,591.57,660.26,715.86,709.87,727.23
天津,934.38,1146.17,1308.72,1465.99,1596.45,1679.47
中山,187.79,222.66,248.26,269.3,286.52,305.28
泰安,205.17,230.43,254.7,279.07,300.22,315.84
宁波,516.3,605.92,658.22,712.89,761.03,800.36
岳阳,153.94,189.95,219.99,243.55,266.93,288.63
唐山,446.92,544.25,586.16,612.12,622.53,610.31
衡阳,142.03,173.43,195.77,216.94,239.65,260.16
潍坊,309.09,354.18,401.24,442.07,478.6,517.05
淮北,46.16,55.49,62.05,70.37,75.96,76.04
济宁,254.28,289.67,318.94,350.15,380.01,401.31
广州,1085.93,1256.21,1369.79,1566.35,1689.66,1831.38
珠海,122.59,143.1,153.67,170.96,190.14,206.64
嘉兴,230.02,267.71,289.06,314.77,335.26,351.78
九江,103.21,125.64,142.01,160.17,178.0,190.27
淄博,286.68,328.02,355.72,380.12,402.98,413.02
佛山,568.54,625.97,667.72,711.75,756.14,813.37
柳州,131.53,157.97,182.06,201.01,220.85,229.86
西宁,62.83,77.07,85.11,97.85,106.58,113.16
太原,177.81,208.01,231.14,241.29,253.11,273.53
廊坊,135.11,161.14,179.43,194.31,217.6,247.39
株洲,127.55,156.43,176.13,194.94,216.1,233.51
平顶山,131.08,148.46,149.58,155.69,163.72,170.58
安阳,131.56,148.66,156.69,168.36,179.18,188.45
银川,76.94,98.67,115.09,128.9,138.86,149.39
呼和浩特,186.57,217.73,245.87,271.04,289.41,309.05
包头,246.08,300.54,320.91,342.48,363.63,372.19
北海,40.14,49.66,63.01,73.5,85.6,89.21
海口,63.13,76.18,85.85,98.95,109.17,116.2
贵阳,112.18,138.31,170.03,208.54,249.73,289.12
温州,292.5,341.85,366.92,400.39,430.3,461.81
深圳,1000.22,1180.72,1331.97,1497.94,1644.95,1801.41
临沂,240.0,277.05,301.28,333.68,356.98,376.32
郑州,404.09,497.98,554.98,620.18,677.7,731.15
长沙,454.71,561.93,639.99,715.31,782.48,851.01
东莞,430.89,481.53,509.6,559.06,596.84,637.43
上海,1743.69,1953.91,2055.9,2226.41,2406.82,2565.92
枣庄,136.2,156.17,170.29,183.06,198.01,203.1
蚌埠,63.81,78.02,89.02,100.79,115.12,125.31
焦作,124.59,144.26,155.13,170.74,184.43,192.61
西安,324.29,386.98,439.45,492.5,549.26,580.12
兰州,110.04,136.0,156.38,177.63,200.09,209.6
成都,555.13,695.06,813.89,910.89,1005.66,1080.12
开封,92.72,107.24,120.71,136.35,149.21,160.58
湛江,139.98,171.34,186.55,205.99,224.54,236.33
秦皇岛,93.05,107.01,113.94,116.88,120.0,125.04
洛阳,232.02,270.28,298.11,314.08,328.46,346.9
湘潭,89.4,112.41,128.24,144.31,157.06,170.31
邯郸,236.16,278.9,302.43,306.15,308.0,314.54
杭州,594.92,701.91,780.2,834.35,920.62,1005.02
淮南,60.42,70.95,78.18,81.94,78.93,90.11
石家庄,340.1,408.27,450.02,491.37,517.03,544.06
汕头,113.51,128.39,143.61,157.93,172.11,187.26
张家口,96.64,111.86,123.36,131.7,134.9,136.35
南宁,180.03,221.14,250.32,280.35,314.83,341.01
