City,2010,2011,2012,2013,2014,2015
北京,12013.9,10349.61,14834.0,13637.0,11413.0,11273.0
湖州,3141.0,2633.0,2294.0,2509.0,2600.0,3461.0
青岛,12098.69,9175.4,8425.0,10506.0,10222.75,12389.9
济南,4773.09,5367.88,5583.0,7028.0,7234.58,9234.81
重庆,39863.12,40634.24,41051.1,43591.91,44236.8,44777.1
烟台,10390.0,11829.0,9635.0,9913.0,6927.68,6714.0
南昌,4893.02,4360.13,5953.33,7518.73,7514.76,8159.9
南充,3324.0,3933.1,3890.6,4539.4,4259.2,3020.0
宜宾,2420.0,2387.1,2741.3,3048.0,1975.7,3000.2
合肥,8638.55,10583.95,11173.26,14516.92,13262.15,12858.98
宜昌,2170.0,3238.3,2808.0,4065.4,4392.8,4777.2
保定,3778.0,4450.96,3704.9,3176.37,4671.73,5374.39
大同,734.0,859.72,992.81,982.45,712.38,1188.98
新乡,3395.0,4251.0,4220.2,5192.6,5529.0,4788.9
沈阳,15160.6,19521.38,22014.55,20173.7,13423.81,9498.85
天津,13526.09,13657.1,15114.0,17203.43,14836.4,16681.8
中山,6066.0,5767.06,5939.75,6983.49,6699.52,9217.69
泰安,2623.0,2689.0,2884.0,3634.0,2048.84,2244.79
宁波,4978.1,3427.0,4587.0,5820.0,5952.0,8469.0
岳阳,2117.0,3008.81,3656.07,2801.25,2946.43,3918.31
唐山,4367.0,5956.46,7150.12,8927.75,7162.58,6671.51
衡阳,2649.0,3002.98,2716.66,3496.08,3641.09,3501.9
潍坊,12187.0,10727.0,9536.0,10950.0,6891.33,7567.25
淮北,1024.0,1266.47,1102.21,1434.6,1043.8,1151.49
济宁,3282.0,3198.0,4531.0,6571.0,6792.64,6333.35
广州,11116.56,9916.71,11285.11,13984.66,11962.29,13448.61
珠海,2510.0,1931.61,2306.66,3075.5,3208.74,3858.01
嘉兴,4503.0,2905.0,3685.0,4962.0,4061.0,5508.0
九江,2785.0,3046.75,1897.97,2901.11,2996.98,3272.33
淄博,6048.0,6541.0,4231.0,4418.0,3535.35,3735.23
佛山,7763.0,7486.09,7053.63,7890.18,8841.95,12347.51
柳州,2731.0,2916.0,3222.3,2579.41,2528.3,2880.9
西宁,2067.79,2502.69,1594.9,2720.4,2643.8,2606.5
太原,2354.87,1918.87,3093.74,3749.91,4010.4,4237.9
廊坊,7627.0,6748.15,6512.88,7242.98,8436.64,10383.36
株洲,4452.0,5468.84,4827.84,5203.07,4704.19,5579.69
平顶山,1238.0,1288.0,1335.4,2029.4,1982.8,2132.5
安阳,3226.0,4010.0,3127.8,3723.6,4286.3,4858.9
银川,4979.8,3840.19,3883.35,5430.87,6140.14,4544.62
呼和浩特,3947.5,5183.0,4143.1,3399.6,3069.2,3214.4
包头,4740.0,5919.7,3141.5,3523.0,3171.6,3328.1
北海,1741.0,1574.9,1310.39,1756.9,1392.8,1688.2
海口,1997.0,1968.33,2506.25,3177.5,2970.8,3300.9
贵阳,7335.5,7337.21,9633.0,11636.0,8003.23,7982.5
温州,1925.0,1132.0,1819.0,3174.1,3835.0,4569.0
深圳,4138.04,4694.32,4884.43,5271.59,4748.09,7478.3
临沂,4294.0,6034.0,6795.0,8080.0,7840.5,7714.36
郑州,14286.15,13006.7,12261.8,13134.8,12932.8,16952.1
长沙,16240.41,13855.63,13853.29,16400.3,13322.41,16771.26
东莞,4699.0,5406.77,5833.84,7239.6,5562.24,9485.01
上海,16853.5,14737.2,15926.3,20158.1,17809.1,20091.7
枣庄,2113.0,2183.0,2100.0,2833.0,3043.63,3171.79
蚌埠,1556.0,1671.55,2433.5,3805.45,4107.96,4196.8
焦作,1946.0,1675.0,1479.6,1656.1,1855.1,1824.9
西安,15232.41,16748.52,13838.7,15225.02,15259.48,15840.75
兰州,2068.06,1642.21,1987.09,2720.33,4674.74,6205.08
成都,22899.17,23112.0,24277.1,25554.2,24758.7,24746.1
开封,1399.0,1821.0,1826.8,2384.0,2548.8,3099.9
湛江,1399.0,1735.95,1827.89,2754.44,2720.32,3122.23
秦皇岛,3139.0,3101.87,2593.57,2803.55,2105.12,2674.36
洛阳,4054.0,5121.0,4401.8,6372.1,6304.5,6082.3
湘潭,1887.0,1838.59,1819.22,2186.0,1728.4,1874.99
邯郸,2522.0,3569.05,4014.51,3139.89,3164.76,3380.55
杭州,7975.87,5977.0,9203.0,9687.0,9507.0,12916.0
淮南,2020.0,1758.26,1703.37,2096.02,1594.04,1773.61
石家庄,4464.26,7832.01,6970.79,7827.28,7256.84,5813.75
汕头,1574.0,1387.88,1697.58,1591.37,1449.83,2009.21
张家口,6020.0,7049.93,5287.64,4438.49,3745.15,3843.39
南宁,6047.5,6122.4,5755.2,6331.4,7209.51,8788.68
