City,2010,2011,2012,2013,2014,2015
北京,17150.99,15516.91,16553.48,17854.03,18499.0,22300.29
湖州,6199.94,6477.27,6737.96,6982.86,6307.46,6849.56
青岛,6420.61,7171.37,9092.82,7986.86,7855.21,8436.59
济南,6099.73,6676.21,8061.97,7026.18,7159.71,7531.01
重庆,4040.44,4492.3,4804.79,5238.51,5094.0,5012.45
烟台,3954.09,4833.71,5999.17,5358.62,5688.51,5624.32
南昌,4330.68,5322.66,5879.99,6639.31,6224.61,6955.39
南充,2941.34,3815.82,3746.98,3937.75,4293.17,4122.47
宜宾,2857.02,3279.71,3712.47,4083.66,4240.17,4558.72
合肥,5500.29,5608.0,5754.31,6083.79,6917.36,7511.89
宜昌,3380.18,3816.2,4054.84,4197.13,4172.05,4544.92
保定,2616.46,2981.69,3157.9,3896.46,4044.0,3895.94
大同,2747.96,3206.28,3881.44,3993.42,4503.05,4497.97
新乡,2097.5,2559.16,2756.25,3158.13,3607.1,3722.22
沈阳,5108.83,5612.1,5989.45,6073.68,6217.13,6416.0
天津,7912.69,8547.62,8009.6,8389.84,8827.61,9931.0
中山,5146.72,5825.03,5300.23,5798.9,5865.36,5766.31
泰安,3411.74,4079.21,4827.32,4237.75,4829.68,4629.47
宁波,11669.35,11284.04,11386.29,11403.78,10889.67,11022.13
岳阳,2199.81,2596.12,3068.29,3151.53,3354.85,3765.63
唐山,3902.68,4895.66,4876.56,5022.17,4908.0,4990.96
衡阳,2191.77,2671.51,2643.2,3049.22,3448.82,3339.67
潍坊,2803.81,3449.15,4480.08,3803.65,4008.53,4134.46
淮北,2832.03,3729.0,4056.16,4452.55,4421.73,4410.17
济宁,2823.58,3596.94,3971.75,3621.98,3949.9,4010.85
广州,10614.64,10925.84,12000.88,13954.25,14738.55,14083.28
珠海,10516.33,11904.8,10667.99,11172.28,11616.59,14030.94
嘉兴,6105.71,6777.7,6914.79,7039.5,6997.8,7183.23
九江,2884.02,3538.94,3652.14,4738.47,3982.61,4042.12
淄博,3646.16,4308.06,4900.97,5000.0,5347.05,5394.21
佛山,7648.07,8206.81,7957.72,8837.1,8728.34,8491.61
柳州,3562.07,3938.96,4292.94,4911.99,5865.21,6031.5
西宁,3196.32,3437.43,4336.46,4380.35,4806.52,4602.31
太原,7087.9,6517.47,6392.97,6923.31,7615.22,7280.46
廊坊,4869.15,5070.48,5581.08,6523.38,7819.0,8297.16
株洲,2783.69,3414.83,3610.98,3957.21,3949.83,3884.57
平顶山,2268.98,2786.49,3126.67,3140.02,3358.76,3795.82
安阳,2112.21,2661.6,2680.35,2938.72,3096.62,3458.69
银川,3749.67,3979.62,4187.26,4523.54,4111.27,4498.08
呼和浩特,3649.44,3916.38,4798.11,4631.42,5473.66,4945.57
包头,3426.37,3997.87,4292.67,4707.54,5144.56,4359.57
北海,4206.2,4462.51,4277.39,4466.39,6368.47,5108.4
海口,8069.1,6663.95,6516.64,7344.25,7477.64,7637.38
贵阳,4232.57,4553.04,4452.3,4462.87,4888.8,4947.57
温州,13818.18,16861.96,17497.84,15941.53,13842.55,12632.07
深圳,18953.6,21037.05,18995.92,23427.42,24040.27,33661.36
临沂,2745.69,3154.96,3885.36,3740.1,4035.57,3980.69
郑州,4595.76,4691.16,5643.08,6586.83,6579.13,7222.55
长沙,4322.17,5484.18,5602.51,5771.41,5453.04,5557.2
东莞,7111.09,7644.72,8099.61,8736.76,9155.82,9641.55
上海,14212.35,13448.3,13869.89,16192.15,16415.43,21501.1
枣庄,3061.05,3840.29,4287.14,3519.24,3756.31,3717.45
蚌埠,4042.42,4384.0,3970.34,4370.55,4559.58,4360.67
焦作,2354.06,2775.52,3017.05,3224.46,3153.59,3768.74
西安,4341.32,5813.74,6203.85,6411.77,6086.33,6220.32
兰州,4063.83,4050.42,5130.45,5196.24,5664.75,5945.15
成都,5827.24,6311.14,6668.38,6710.95,6536.1,6549.79
开封,2761.97,2986.82,3369.63,3621.02,3578.55,3517.77
湛江,3899.93,4766.12,4996.75,5356.45,5395.45,5438.03
秦皇岛,4546.99,4871.74,5050.57,6294.23,5539.0,5318.97
洛阳,3024.91,3428.63,3729.86,3851.34,3831.61,3987.2
湘潭,2751.99,3233.99,3280.55,3652.41,3694.24,3819.2
邯郸,3154.64,3351.12,3710.33,4050.84,4209.0,4501.28
杭州,14258.9,12743.41,13291.03,14679.47,14041.37,14750.22
淮南,3633.66,3852.0,4152.11,4220.29,4203.6,4034.11
石家庄,3807.57,4352.15,4713.54,4942.72,5562.0,7490.66
汕头,4159.47,4789.82,5878.88,6993.11,6540.74,7149.31
张家口,2597.01,2840.27,3124.37,3463.39,3953.0,4371.17
南宁,4951.98,4995.92,5618.65,6154.56,6103.4,6229.48
