City,2010,2011,2012,2013,2014,2015
北京,1328.5,1511.5,1549.25,1602.75,1951.75,2317.5
湖州,354.5,394.5,424.0,436.75,439.0,448.5
青岛,764.0,775.0,775.0,777.0,783.0,783.0
济南,658.25,672.25,679.25,689.5,704.0,715.0
重庆,562.0,566.75,570.0,569.25,567.25,572.5
烟台,357.0,355.75,356.0,367.0,375.75,378.75
南昌,425.0,437.25,446.75,456.0,464.25,472.75
南充,403.0,448.25,473.5,505.5,518.5,527.75
宜宾,212.0,211.0,211.25,212.0,212.0,212.0
合肥,408.0,408.0,408.0,408.0,408.0,408.0
宜昌,351.25,357.5,363.75,372.5,377.25,383.75
保定,505.0,512.0,531.5,544.0,567.75,610.25
大同,524.0,516.5,517.0,517.0,517.0,517.0
新乡,315.0,353.5,372.25,392.25,411.75,429.5
沈阳,589.75,622.0,628.0,645.0,669.25,679.75
天津,743.25,764.0,776.5,794.5,814.5,832.75
中山,527.5,560.5,582.25,624.5,663.25,684.25
泰安,305.75,313.25,316.75,320.25,314.5,314.5
宁波,816.0,936.25,1008.25,1100.25,1146.5,1429.0
岳阳,338.25,352.25,345.0,356.75,366.0,377.5
唐山,469.0,498.25,511.0,527.25,534.25,536.5
衡阳,438.25,451.0,465.25,483.25,503.25,524.0
潍坊,404.25,424.0,427.5,433.0,447.5,453.5
淮北,267.5,283.6666666666667,297.5,299.0,300.25,320.25
济宁,470.25,473.75,474.0,476.0,477.5,476.5
广州,516.25,548.25,565.25,605.25,714.5,789.25
珠海,538.5,549.75,567.75,584.5,599.0,614.75
嘉兴,368.75,373.0,390.5,443.75,501.5,523.75
九江,286.0,288.75,292.75,295.5,299.5,302.25
淄博,399.25,418.75,425.75,426.0,426.25,429.0
佛山,556.0,584.25,597.5,638.5,697.75,753.0
柳州,419.75,410.5,395.25,408.25,422.25,435.0
西宁,416.0,420.5,476.5,481.0,484.0,490.0
太原,592.25,626.25,654.25,728.0,846.25,900.5
廊坊,379.0,383.5,385.5,418.75,428.0,448.5
株洲,409.5,418.75,413.5,416.75,431.5,447.5
平顶山,492.25,498.0,500.5,515.75,567.5,582.5
安阳,477.5,483.25,495.5,565.5,630.75,656.25
银川,253.0,253.0,253.0,253.0,258.25,274.0
呼和浩特,356.25,414.5,454.75,486.0,536.75,542.25
包头,306.5,313.75,316.75,319.0,340.0,347.0
北海,293.75,317.75,314.0,325.25,336.0,339.75
海口,471.75,535.25,556.75,566.5,599.25,657.25
贵阳,430.25,466.0,489.75,452.25,459.75,465.25
温州,1693.5,1770.0,1707.25,1697.5,1667.75,1615.25
深圳,1867.75,1978.75,2329.0,2676.75,3074.0,3347.25
临沂,323.0,332.0,342.75,356.0,377.0,386.25
郑州,651.0,659.75,661.5,671.5,686.5,699.5
长沙,623.5,680.75,713.75,749.0,785.0,868.0
东莞,544.6666666666666,684.5,688.75,705.0,722.5,739.0
上海,1359.75,1521.0,1595.0,1719.75,1872.25,2075.25
枣庄,321.0,334.0,339.5,347.5,356.25,361.0
蚌埠,290.5,300.5,308.0,311.25,312.0,312.0
焦作,301.25,312.5,313.0,317.5,324.5,328.25
西安,607.5,637.75,658.5,672.5,701.5,713.75
兰州,733.75,738.5,745.0,752.25,756.0,755.5
成都,654.5,671.25,680.5,694.5,715.25,725.0
开封,379.25,391.25,397.25,409.25,424.5,435.75
湛江,380.75,403.0,419.0,429.75,442.25,452.0
秦皇岛,358.5,359.25,362.0,367.0,370.75,371.75
洛阳,509.25,522.0,534.5,542.75,546.75,531.0
湘潭,445.75,481.0,496.5,491.0,503.0,509.5
邯郸,590.5,604.25,605.25,606.25,612.25,594.25
杭州,483.0,491.75,514.0,528.5,603.25,786.0
淮南,281.0,301.25,308.0,308.0,303.0,303.0
石家庄,667.75,669.0,670.25,671.25,689.5,690.0
汕头,653.5,760.75,778.25,835.5,866.75,841.0
张家口,378.5,390.25,399.25,402.5,411.5,428.25
南宁,432.25,461.25,482.75,498.75,511.75,522.5
