City,2010,2011,2012,2013,2014,2015
北京,12367.5,13532.75,13491.25,14263.5,30882.75,47581.0
湖州,1988.25,2351.0,2436.25,2466.5,2455.75,2442.5
青岛,3942.5,4266.5,4225.5,4504.25,5131.25,5788.25
济南,3333.5,3558.0,3586.0,3684.25,3753.0,3824.25
重庆,2639.25,3173.75,3226.75,3648.0,3985.0,4114.25
烟台,3877.75,4117.5,4105.0,4205.75,4310.0,4295.0
南昌,2224.75,2409.25,2474.75,4492.75,5144.25,5114.5
南充,1493.0,1810.25,1964.0,2142.75,2288.25,2321.5
宜宾,1911.0,2161.5,2132.25,2307.25,2407.25,2316.5
合肥,3283.5,3331.75,3334.25,3474.5,3823.0,4090.5
宜昌,866.0,1033.25,1102.25,1190.0,1320.75,1441.0
保定,1795.0,2010.75,2108.25,2321.25,3564.0,4884.75
大同,2832.0,2841.0,2841.0,2841.0,2841.0,2841.0
新乡,1329.5,1583.0,1617.25,1643.25,1793.5,1922.0
沈阳,2201.0,2440.5,2456.0,2557.25,2691.75,2761.75
天津,4844.0,5286.25,5471.75,5754.75,6015.25,6217.25
中山,1275.75,1375.5,1370.5,1483.75,1626.25,1698.0
泰安,1855.75,2115.25,2168.5,2295.0,2543.0,2685.5
宁波,7430.5,7976.0,8044.25,8803.0,8974.5,12456.75
岳阳,1020.5,1172.25,1278.25,1421.75,1574.5,1639.5
唐山,1616.25,1762.25,1779.75,1806.25,1835.0,1840.25
衡阳,682.75,721.0,772.5,840.5,929.25,1011.0
潍坊,1147.25,1349.5,1438.75,1539.0,1677.75,1749.75
淮北,783.75,1563.6666666666667,1919.25,1934.25,1945.75,2027.0
济宁,1072.25,1144.0,1231.0,1264.75,1295.75,1319.25
广州,5554.75,6255.0,15022.0,20365.25,24910.25,26983.5
珠海,5590.25,5988.0,5900.25,6069.5,6627.5,7195.5
嘉兴,1264.5,1381.5,1352.75,1469.0,1524.0,1530.75
九江,2305.75,2408.75,2471.25,2586.0,2675.0,2742.25
淄博,1121.0,1327.0,1357.5,1391.5,1429.0,1455.75
佛山,2962.5,3282.75,3375.5,3690.5,4868.0,5247.75
柳州,1376.5,2349.0,2630.0,2713.75,2822.5,2841.75
西宁,672.25,704.75,1354.0,1410.25,1421.25,1444.0
太原,1249.25,1335.25,1448.25,1722.75,2717.0,2912.5
廊坊,2750.0,2768.25,2621.0,3034.75,3079.75,3149.0
株洲,1154.5,1276.25,1282.0,1302.75,1391.5,2217.5
平顶山,998.0,1186.3333333333333,1213.5,1283.25,1595.5,1778.5
安阳,779.75,823.75,885.75,1031.75,1111.25,1143.75
银川,1431.0,1548.5,1596.25,1648.75,1718.75,1753.75
呼和浩特,960.25,1091.0,1214.0,3130.5,3429.75,3511.25
包头,827.0,869.5,937.0,1040.5,1904.75,2189.25
北海,1881.25,2006.0,1962.0,1987.0,2011.25,2020.0
海口,2397.5,2839.25,3270.25,3476.5,3672.0,4099.5
贵阳,4127.5,4296.0,4427.75,3642.25,3705.75,3739.5
温州,11899.5,12048.0,9976.75,9671.0,9365.25,9286.25
深圳,17747.25,20225.0,25951.75,30260.5,35297.0,39337.25
临沂,909.0,954.0,987.25,1043.0,1125.5,1166.25
郑州,2898.5,3094.0,3155.25,3311.0,3574.5,3903.25
长沙,2078.5,2281.75,2445.0,2682.25,2870.5,4565.75
东莞,3175.0,4642.5,4687.0,5081.25,5411.75,5646.75
上海,19307.75,20517.0,23157.25,26097.75,30088.75,33435.0
枣庄,1076.0,1174.75,1211.75,1240.0,1276.75,1311.25
蚌埠,1164.25,1275.0,1312.5,1342.0,1354.5,1363.75
焦作,804.5,858.5,843.0,865.75,897.25,934.5
西安,3096.25,3525.25,3684.5,3879.25,4235.25,5460.25
兰州,2268.0,2482.75,2614.75,2748.75,2846.75,2845.5
成都,6900.0,7358.5,7137.5,7709.75,7794.5,7580.0
开封,1193.25,1305.25,1374.0,1484.25,1601.75,1697.75
湛江,1315.0,1513.5,1535.0,1655.75,1709.0,1763.25
秦皇岛,2014.75,2269.5,2335.5,2427.5,2541.25,2678.5
洛阳,1335.5,1457.0,1598.0,1740.5,1866.0,2187.25
湘潭,1118.75,1257.75,1283.25,1744.75,1790.0,1807.75
邯郸,1407.25,1506.0,1538.75,1551.5,1597.25,2750.5
杭州,22746.5,19040.25,14888.75,15561.0,16440.5,16756.0
淮南,1213.5,1264.75,1271.0,1269.5,1272.0,1269.0
石家庄,1455.75,1820.75,2043.0,2198.0,3765.0,3938.5
汕头,2747.25,3182.75,3195.5,3455.75,3541.75,3398.5
张家口,851.25,915.25,959.5,993.5,1036.0,1094.5
南宁,1607.25,1856.25,1812.25,1904.5,1993.25,2046.5
