City,2010,2011,2012,2013,2014,2015
北京,65683.0,75834.61,85307.0,93997.0,103400.41,113073.0
湖州,36485.42,41106.89,45933.0,49890.0,56445.78,61201.0
青岛,37803.49,43161.52,49052.31,55363.0,62096.82,69465.0
济南,37853.89,44004.45,48829.04,54389.0,62322.6,68997.0
重庆,35326.0,40041.99,45392.0,51015.0,56851.31,62091.0
烟台,34193.93,37789.52,41625.67,48088.0,52809.71,59906.0
南昌,35037.98,39816.23,43769.02,46744.1,51848.13,59509.0
南充,25850.96,31168.98,37013.01,41626.32,37539.06,50286.0
宜宾,25384.58,34411.27,40372.56,45278.95,48080.0,55288.0
合肥,39290.84,45442.22,50722.0,54210.78,59648.42,65806.0
宜昌,22670.79,25977.8,28696.73,33030.21,39475.82,43282.0
保定,28090.88,32277.69,34912.0,39130.0,43086.0,50394.0
大同,34431.23,43869.95,47646.0,50847.0,55487.0,57982.0
新乡,21968.5,25451.57,30409.0,33563.83,37866.57,40831.0
沈阳,41525.0,45305.79,48834.84,51344.11,55365.48,60653.0
天津,52963.0,56477.0,62225.0,68864.29,73839.0,81486.0
中山,40573.48,48420.3,55480.0,48449.0,53125.99,58776.0
泰安,30904.21,35500.69,39987.44,44828.0,48323.79,51835.0
宁波,43476.23,49756.38,55031.0,60659.0,70227.63,74989.0
岳阳,25586.33,30928.68,35720.09,38117.11,41255.52,45592.0
唐山,37230.96,42029.4,45838.0,47848.0,51052.0,55565.0
衡阳,27613.4,30942.57,33459.15,36361.36,40265.48,44983.0
潍坊,33710.57,36646.1,40966.45,46100.0,51231.3,57148.0
淮北,43009.75,50070.24,57012.0,52378.26,52683.96,51096.0
济宁,35820.8,39251.5,44526.47,47304.0,50435.52,54077.0
广州,54494.11,57473.59,63752.0,69692.0,74246.13,81171.0
珠海,34407.82,41055.6,48486.0,55985.0,62579.63,67958.0
嘉兴,36319.0,42985.78,47598.0,52945.0,60309.6,67689.0
九江,24746.15,29456.0,33894.94,39513.0,44404.28,51065.0
淄博,33896.67,37943.89,41998.59,47182.0,51143.39,56782.0
佛山,37081.73,40664.89,46203.0,50356.0,55678.43,61810.0
柳州,37276.23,38226.64,39148.0,44862.0,51720.59,54223.0
西宁,32219.66,38443.08,44031.0,48691.0,54181.0,57539.0
太原,38838.91,44868.25,46831.0,51035.0,56885.0,60515.0
廊坊,37225.91,39979.13,44886.0,48994.0,55536.0,63426.0
株洲,33345.17,38503.22,43307.29,46319.1,52135.26,57584.0
平顶山,31936.03,36740.74,40896.0,42489.96,44120.41,45046.0
安阳,26775.33,29495.74,33925.0,34612.79,38875.77,41379.0
银川,39815.9,49938.2,52806.51,55338.43,59079.69,66626.0
呼和浩特,37693.47,42796.88,44402.0,48635.0,50467.0,53698.0
包头,41398.28,47053.62,51167.0,53100.0,56246.0,59573.0
北海,28062.44,31013.34,36379.0,40878.0,44598.23,49562.0
海口,34191.99,38059.82,40805.0,46175.0,50608.0,57455.0
贵阳,31128.48,38672.97,42974.0,50817.0,59334.0,63949.0
温州,37610.0,42344.12,48254.0,54590.0,59900.68,64412.0
深圳,50456.0,55143.0,59010.0,62619.0,72651.0,81034.0
临沂,31724.03,37445.64,42137.86,45140.0,49310.79,56312.0
郑州,32777.81,35755.56,41480.0,44622.18,49756.03,52987.0
长沙,38337.7,44495.2,50904.3,56381.24,61848.29,67266.0
东莞,46579.51,49898.54,57007.0,42870.0,47599.51,53221.0
上海,71874.0,77031.0,80191.0,91477.0,100623.0,100966.0
枣庄,30440.82,34977.84,38990.98,42497.0,47189.31,49673.0
蚌埠,28706.94,33059.0,38061.0,42434.0,45369.46,51146.0
焦作,26330.62,30384.74,35508.0,37794.2,39916.51,41995.0
西安,37871.54,41678.81,46688.42,54377.83,54097.65,63193.0
兰州,33963.82,38968.12,44492.0,48017.0,54005.0,60330.0
成都,38603.14,42363.19,48302.27,58543.4,63201.37,69123.0
开封,24090.18,27446.95,31551.0,35197.37,35749.43,43643.0
湛江,26789.65,29821.08,33965.0,40534.0,45453.12,50177.0
秦皇岛,35829.67,37195.05,44824.0,47367.0,51593.0,56397.0
洛阳,29908.09,33471.82,38322.0,40469.4,44484.2,46515.0
湘潭,27291.71,33376.01,38326.72,43078.1,47921.35,51742.0
邯郸,32126.01,36119.57,38255.0,39042.0,41219.0,46550.0
杭州,48771.9,54408.46,56417.0,63664.0,70823.44,77816.0
淮南,45863.17,51909.92,57559.0,58597.11,61775.37,59424.0
石家庄,31458.78,35131.75,39669.0,43137.0,48272.09,54441.0
汕头,27740.9,32785.06,37716.09,42645.0,45938.13,52299.0
张家口,30588.82,33437.11,35615.0,38218.0,41469.0,48892.0
南宁,37039.89,40118.93,42551.0,48188.0,54330.28,63820.0
