指标名称（亿元）,频率,1993,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
河北:唐山:消费品零售,年,,149.48,174.01,191.61,207.32,228.99,251.36,277.35,307.38,359.7,468.59,544.33,648.83,809.76,958.56,1134.54,1334.8,1535.02,1724.61,1957.11,2147.88,2371.11,2617.17,
河北:秦皇岛:消费品零售,年,,55.76,63.72,70.34,76.94,85.49,94.88,105.84,117.73,135.08,147.04,167.81,198.14,240.15,283.25,334.98,394.45,453.81,514.57,577.57,633.82,699.8,775.18,830.64
河北:邯郸:消费品零售,年,,107.09,125.66,139.69,154.68,171.5,189.47,210.69,234.56,272.78,310.86,358.5,421.89,513.86,606.05,717.17,845.2,973.68,1106.18,1242.37,1364.5,1508.88,1674.24,1686.8
河北:邢台:消费品零售,年,,72.36,85.75,95.16,104.6,115.23,126.97,140.44,156.26,180.44,201.35,231.66,272.9,330.35,389.63,460.73,542.05,624.05,708.46,796.18,875.32,969.89,1076.16,1148.11
河北:保定:消费品零售,年,,137.23,166.54,188.88,207.37,230.69,254.23,283.06,316.21,367.85,385.08,441.08,509.26,619.67,730.29,864.22,1018.48,1174.32,1220.49,1501.8,1652.69,1828.19,1849.13,1791.1
河北:张家口:消费品零售,年,,75.34,82.17,89.82,96.14,102.98,110.22,117.93,124.92,138.69,146.14,165.22,190.22,232.62,274.4,324.45,382.05,439.6,499.77,562.2,618.12,683.17,752.52,795.1
河北:承德:消费品零售,年,,51.98,59.22,65.66,70.16,76.33,81.33,86.52,91.72,102.96,117.9,132.88,152.77,184.97,218.2,258.05,303.88,349.72,392.57,441.89,490.79,543.31,603.36,640.7
河北:沧州:消费品零售,年,,76.96,90.86,103.3,111.08,124.56,136.18,150.61,165.37,192.15,250.1,288.35,338.99,415.94,490.69,580.71,683.83,787.97,886.25,1007.9,1109.13,1227.81,1355.17,1429.9
河北:廊坊:消费品零售,年,,52.72,61.82,69.31,76.24,85.38,95.78,107.96,120.6,138.26,178.2,205.96,244.05,300.2,354.55,419.13,493.12,568.08,644.18,723.7,796.38,881.91,980.35,1043.0
河北:衡水:消费品零售,年,,40.16,45.53,50.9,55.63,61.93,,76.31,86.52,101.86,141.5,162.82,188.04,227.71,268.69,317.91,374.66,432.03,491.24,552.99,609.03,675.43,751.48,790.6
山西:大同:消费品零售,年,,56.48,61.47,68.44,72.83,78.47,89.18,100.21,104.34,118.65,132.9,152.94,184.95,232.63,264.74,303.02,356.58,427.96,471.22,541.43,567.68,609.01,654.51,700.0
山西:阳泉:消费品零售,年,,25.69,27.92,29.94,31.95,33.18,34.6,37.02,40.2,48.33,70.32,81.15,98.06,123.11,149.45,160.47,188.35,225.58,246.7,276.3,288.3,306.27,324.98,346.72
山西:长治:消费品零售,年,,32.2,34.09,35.43,36.77,39.4,41.99,47.13,50.45,60.53,113.56,133.56,161.88,201.08,244.76,272.6,321.02,386.19,425.82,476.88,524.41,566.62,607.82,664.6
山西:晋城:消费品零售,年,,28.15,34.51,38.91,40.5,43.38,46.08,50.04,53.55,59.6,58.61,87.59,115.5,150.14,177.79,191.12,224.5,268.64,297.15,341.21,358.76,386.19,414.98,452.8
山西:朔州:消费品零售,年,,20.89,25.11,28.13,30.58,33.3,35.97,39.37,39.35,44.85,54.06,62.87,81.59,104.43,128.59,139.6,164.14,201.18,218.76,258.3,270.15,291.07,311.67,338.0
山西:晋中:消费品零售,年,,,,,,74.01,77.19,81.83,73.31,83.7,114.73,132.01,162.14,204.63,249.05,277.59,325.42,387.27,429.48,484.26,529.74,569.21,607.31,656.3
山西:运城:消费品零售,年,,,,,,55.5,60.84,70.04,80.62,99.46,158.2,180.12,214.19,268.99,328.16,354.65,417.61,493.85,552.12,626.24,660.99,704.72,752.81,792.3
山西:忻州:消费品零售,年,,,,,,37.19,40.07,44.07,49.37,57.05,64.39,73.82,89.1,112.93,133.73,169.82,185.52,232.88,246.04,295.4,311.18,338.02,361.55,390.2
山西:临汾:消费品零售,年,,,,,,58.46,63.61,71.24,74.07,90.33,132.04,154.02,185.64,224.06,272.55,306.49,360.69,431.7,475.5,545.01,571.98,609.44,617.54,687.1
山西:吕梁:消费品零售,年,,,,,,28.88,,,35.77,42.92,83.83,101.03,125.48,160.94,197.04,222.5,261.05,312.43,344.04,388.67,405.97,433.74,461.57,498.6
内蒙古:包头:消费品零售,年,,56.61,66.56,71.15,78.37,87.65,98.59,113.3,139.3,177.47,290.08,349.42,416.86,515.74,617.72,730.81,857.54,975.1,1077.36,1184.67,1276.57,1400.22,1486.41,1511.0
内蒙古:乌海:消费品零售,年,,7.84,9.18,10.32,11.19,12.45,14.01,15.9,18.21,22.7,28.97,33.78,40.54,50.78,60.92,71.69,86.12,100.9,113.73,127.02,139.06,151.93,161.84,155.03
内蒙古:赤峰:消费品零售,年,,50.5,58.03,62.85,68.16,73.08,79.31,88.91,98.0,118.09,137.24,160.3,192.2,239.87,287.0,336.72,399.91,469.2,526.56,587.39,637.08,700.25,758.67,810.8
内蒙古:通辽:消费品零售,年,,,,,39.99,45.02,50.02,56.21,66.5,77.91,91.14,110.96,133.15,166.2,204.38,242.65,290.03,330.5,372.35,435.44,469.32,515.34,551.09,
内蒙古:呼伦贝尔:消费品零售,年,,,,,,55.34,60.33,67.63,71.97,86.65,108.12,126.45,151.79,189.59,247.29,294.6,349.0,405.5,456.8,504.06,545.88,600.27,644.3,678.58
内蒙古:巴彦淖尔:消费品零售,年,,,,,,32.24,,,41.0,48.77,52.43,60.97,72.7,90.73,108.79,124.26,151.61,173.0,194.47,216.09,234.49,257.68,278.14,296.2
内蒙古:乌兰察布:消费品零售,年,,,,,,25.75,,,40.6,49.02,66.46,77.56,92.29,114.37,136.3,157.68,187.02,216.4,239.46,269.19,290.41,317.11,341.66,365.5
内蒙古:锡林郭勒:消费品零售,年,,,19.6,21.5,23.37,26.26,29.1,32.3,35.1,42.24,49.46,57.51,68.84,85.94,102.88,119.11,141.35,163.9,183.8,204.89,223.31,244.7,262.83,280.18
