"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
固定资产投资:地级市合计,百万人民币,14616043.81,2.19187E+14,14804967.49,1.041301141,-0.098028026,1.012925774,1251350.12,47497320.95,8717166.96,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1251350.12,1798542.84,1911597.76,1923801.14,2100508.43,2768707.35,3294835.52,5319581.93,6866721.98,8717166.96,10446615.70,13074220.60,16341754.73,21512193.57,26719048.23,29133960.54,35149858.79,41877045.31,47497320.95,,,,
固定资产投资:北京,百万人民币,234195.3813,78835888360,280777.2932,1.121417007,-0.081541651,1.198901924,2260,894810,105840,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2260.00,2650.00,3320.00,3660.00,3860.00,5130.00,6630.00,9400.00,10620.00,13620.00,16300.00,13950.00,17920.00,19200.00,26600.00,41040.00,64880.00,84150.00,87690.00,96120.00,115560.00,117060.00,129740.00,153050.00,181430.00,215710.00,252830.00,282723.46,337150.00,396660.00,384850.00,485840.00,549351.79,591060.00,646280.00,703220.00,756230.00,799090.00,846170.00,894810.00,
固定资产投资:天津,百万人民币,243491.8718,1.63955E+11,404913.2551,1.862605581,2.356457982,1.662943622,2030,1462922,49866,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030.00,2477.00,2392.00,2760.00,3507.00,4158.00,4828.00,6590.00,7191.00,7644.00,8261.00,8388.00,8769.00,12895.00,16988.00,22656.00,31597.00,39318.00,43581.00,49866.00,57586.00,56736.00,60880.00,70510.00,81126.00,104672.00,125898.00,151684.00,184980.00,238863.00,340410.00,500632.00,651142.00,751067.00,887131.00,1012121.00,1165409.00,1306518.00,1462922.00,,
固定资产投资:河北:石家庄,百万人民币,216433.9818,45059586179,212272.4339,0.808371326,-0.796014336,0.980772206,13131.69,631014.34,124478.49,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13131.69,29814.87,22599.56,20157.17,23036.45,25817.24,41226.86,53498.00,71673.36,92902.89,109944.63,139012.35,173103.39,243636.02,295799.66,302697.78,367333.48,436919.69,507643.84,568985.36,591598.97,631014.34,
固定资产投资:河北:唐山,百万人民币,176029.2991,32093235790,179145.8506,0.787161891,-0.845830142,1.017704732,9243.79,530536.88,90113.51,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9243.79,19258.87,22033.83,21013.52,12115.33,12214.48,23254.23,31486.35,46105.60,63570.25,76548.07,103678.95,136218.92,217997.60,266577.10,249190.95,301716.85,363360.74,414624.08,454387.66,497510.53,530536.88,
固定资产投资:河北:秦皇岛市,百万人民币,37024.635,1028885690,32076.24806,0.578508337,-1.406536882,0.866348799,4558.76,87465.9,23212.445,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7262.29,8600.62,6547.16,5637.77,4558.76,6669.81,9693.10,11517.49,14183.52,16493.22,21185.29,25239.60,30357.55,42104.05,50574.43,59803.09,72373.52,78633.97,80868.55,87433.25,87465.90,87339.03,
固定资产投资:河北:邯郸市,百万人民币,132763.0009,17773681298,133317.9706,0.83465592,-0.757959837,1.004180154,7195.68,397792.25,70272.39,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7195.68,16488.06,20562.83,22391.42,21010.60,12934.66,13436.66,25688.99,34637.47,49096.95,59952.23,80592.55,104897.17,146690.12,183513.49,188880.65,229213.22,275886.02,309073.69,344331.53,376519.78,397792.25,
固定资产投资:河北:邢台市,百万人民币,73518.19682,4879364052,69852.44485,0.81360412,-0.704577873,0.950138168,5595.19,213329.8,46412.99,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9750.16,11380.15,13159.76,5595.19,5619.57,5812.29,15566.65,21761.87,26216.91,34907.35,40782.02,52043.96,60346.33,84046.65,102043.94,97859.90,118646.56,148643.17,164707.95,182588.71,202591.44,213329.80,
固定资产投资:河北:保定市,百万人民币,107165.7632,9941890013,99709.02674,0.752953138,-0.93222138,0.930418669,5476.79,290950.07,61457.84,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5476.79,16996.89,20440.65,11537.22,10816.13,13458.25,26820.48,35912.39,47208.54,56032.58,57844.86,65070.82,80466.76,113042.95,147208.71,155811.31,188844.50,218600.78,238648.16,267369.22,290950.07,289088.73,
固定资产投资:河北:张家口市,百万人民币,58977.28682,3652875101,60439.01969,0.698117462,-1.214073443,1.024784675,3193.53,163873.26,25695.115,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3193.53,6326.61,7213.10,7288.26,5863.62,6312.88,8511.51,9621.57,12919.31,16774.88,22384.03,29006.20,41030.99,65748.16,90366.59,96708.97,116307.91,129298.11,140200.61,155423.19,163127.02,163873.26,
