"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
国内生产总值:地级市合计,十亿人民币,25812.58125,509702170.9,22576.58457,0.886759404,-0.598547953,0.874634906,1559.944,71746.93631,16335.0667,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1559.94,,,4137.96,5273.93,6361.47,6931.76,7708.86,8176.77,9409.29,10392.59,11683.02,13594.31,16335.07,19431.30,22611.04,27086.48,32339.25,36114.87,43068.92,51512.75,57404.95,62971.54,67836.36,71746.94,,,
国内生产总值:北京,十亿人民币,432.5074478,610302.1351,781.2183658,2.000899148,2.984104755,1.806254135,0.788,3032,25.712,67,,,,0.79,1.93,2.11,2.39,2.68,3.28,3.45,4.63,5.75,3.66,2.96,3.17,3.60,3.98,4.44,3.79,3.78,5.06,6.34,6.31,6.72,7.30,8.02,9.13,9.38,9.91,10.88,12.01,13.91,13.92,15.49,18.31,21.66,25.71,28.49,32.68,41.02,45.60,50.08,59.89,70.91,88.62,114.53,150.77,180.50,209.68,240.62,271.35,321.28,376.99,439.60,510.41,616.49,714.14,831.26,1007.19,1139.20,1241.90,1444.16,1662.79,1835.01,2033.01,2194.41,2368.57,2566.91,2801.49,3032.00
国内生产总值:天津,十亿人民币,268.1173,269635.6494,519.2645274,2.137610108,3.342634966,1.936706536,0.407,1880.964,13.5475,70,0.41,0.76,1.15,1.28,1.76,1.70,1.71,2.07,2.41,3.25,4.13,4.27,2.84,2.43,2.67,3.06,3.60,3.93,3.36,3.48,4.29,5.10,5.51,5.64,6.03,6.67,6.97,6.53,6.77,8.27,9.30,10.35,10.80,11.41,12.34,14.75,17.58,19.47,22.01,25.97,28.35,31.10,34.27,41.10,53.89,73.29,93.20,112.19,126.46,137.46,150.10,170.19,191.91,215.08,257.80,314.14,394.79,451.89,531.80,680.55,761.82,934.38,1146.17,1308.72,1465.99,1596.45,1679.47,1783.79,1854.92,1880.96
国内生产总值:河北:石家庄,十亿人民币,260.7003134,40698.26636,201.7381133,0.595091061,-1.156226111,0.773831495,8.277,617.70284,178.6660794,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28,,,41.74,54.03,65.64,78.14,84.59,90.84,100.31,108.54,118.68,137.79,163.35,167.08,190.25,226.88,272.36,300.13,340.10,408.27,450.02,491.37,517.03,544.06,592.77,617.70,608.26
国内生产总值:河北:唐山,十亿人民币,301.6805881,58574.50782,242.0217094,0.414418593,-1.556599303,0.802244887,13.925,695.5,217.14192,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.93,,,38.65,49.86,60.73,71.09,78.12,83.26,91.50,100.65,110.23,129.53,162.63,200.73,233.55,277.94,353.75,381.27,446.92,544.25,586.16,612.12,622.53,610.31,635.49,653.01,695.50
国内生产总值:河北:秦皇岛市,十亿人民币,67.39844192,2268.884619,47.63281032,0.541972524,-1.063992325,0.706734591,5.413,163.55631,49.39027,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.41,,,13.93,17.22,20.10,23.07,24.95,26.30,28.54,30.73,33.57,38.70,45.34,45.32,53.44,64.77,76.06,80.45,93.05,107.01,113.94,116.88,120.00,125.04,134.94,150.03,163.56
国内生产总值:河北:邯郸市,十亿人民币,159.5825388,14600.14168,120.831046,0.352504566,-1.572781305,0.757169593,5.441,345.46,122.665465,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44,,,22.27,28.99,38.07,44.11,47.92,49.70,54.24,59.17,65.32,76.26,93.65,109.85,135.48,160.81,190.64,201.53,236.16,278.90,302.43,306.15,308.00,314.54,336.11,337.95,345.46
国内生产总值:河北:邢台市,十亿人民币,91.20482385,4412.635518,66.42767133,0.527473117,-1.07797634,0.728335065,1.654,215.076,72.399195,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,,,15.19,20.05,25.61,29.09,32.01,33.93,37.04,40.63,43.94,51.46,63.56,67.10,77.69,89.07,97.00,105.63,121.21,142.89,153.21,160.46,164.69,176.47,197.57,209.06,215.08
国内生产总值:河北:保定市,十亿人民币,155.6989497,12995.96899,113.999864,0.518473863,-1.222848762,0.73218133,3.723,347.71269,113.2401351,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,,,9.04,37.54,46.04,54.51,59.40,63.66,70.22,74.73,82.35,92.48,111.09,104.06,115.39,133.67,152.58,173.00,205.03,244.99,272.09,290.64,303.52,330.06,347.71,344.97,325.69
国内生产总值:河北:张家口市,十亿人民币,67.41984115,2611.178695,51.09969369,0.488613404,-1.428389362,0.757932573,3.092,153.66,46.36237,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,,,12.55,15.95,19.37,21.73,22.83,22.95,24.39,25.80,27.84,31.99,40.01,42.58,50.14,59.22,74.65,80.03,96.64,111.86,123.36,131.70,134.90,136.35,146.60,142.70,153.66
