"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
商品房销售价格:住宅:地级市合计,人民币/平方米,2917,,,,,,,,,1,,,,,,,,,,,,,2917.00,,,,,,,,,,,,
商品房销售价格:住宅:北京,人民币/平方米,10044.58228,53340550.74,7303.461559,0.960490321,0.076386044,0.727104558,2255,28488.91443,6162.13,23,2255.00,2740.00,3227.00,4057.00,5357.00,,4787.00,4557.00,4716.00,4467.00,4456.00,4972.00,6162.13,7375.41,10661.24,11648.00,13224.00,17150.99,15516.91,16553.48,17854.03,18499.00,22300.29,28488.91,
商品房销售价格:住宅:天津,人民币/平方米,6133.622212,14352897.19,3788.521768,0.815128094,0.120963893,0.617664675,2119.43,15138.6725,5586.857686,20,,,2119.43,,,,2157.00,2274.00,2308.00,2414.00,2393.00,2965.00,3987.22,4649.25,5575.72,5598.00,6605.00,7912.69,8547.62,8009.60,8389.84,8827.61,9931.00,12869.80,15138.67
商品房销售价格:住宅:河北:石家庄,人民币/平方米,3679.234587,5471355.557,2339.092892,1.093913388,0.396118036,0.635755301,1534,9361.893573,2630,19,,,,,,,1917.00,1685.00,1907.00,1555.00,1570.00,1534.00,1705.23,2005.13,2378.11,2630.00,3688.00,3807.57,4352.15,4713.54,4942.72,5562.00,7490.66,7100.46,9361.89
商品房销售价格:住宅:河北:唐山,人民币/平方米,4008.533785,1248326.914,1117.285512,-0.617070374,-1.225839743,0.278726729,2107,5169.426525,4519.493699,13,,,,,,,,,,,,,2107.00,2243.00,3029.00,3008.00,3439.00,3902.68,4895.66,4876.56,5022.17,4908.00,4990.96,4519.49,5169.43
商品房销售价格:住宅:河北:秦皇岛市,人民币/平方米,4662.894881,1571534.884,1253.608744,-0.372303899,-0.597525328,0.268847739,2397,6491.60682,4871.741967,13,,,,,,,,,,,,,2397.00,2819.00,3583.00,3843.00,4249.00,4546.99,4871.74,5050.57,6294.23,5539.00,5318.97,5613.53,6491.61
商品房销售价格:住宅:河北:邯郸市,人民币/平方米,3418.531296,1695017.552,1301.928397,0.133636574,-0.8741487,0.38084437,1518,5581.472833,3351.123325,13,,,,,,,,,,,,,1518.00,1629.00,2113.00,2469.00,2848.00,3154.64,3351.12,3710.33,4050.84,4209.00,4501.28,5305.22,5581.47
商品房销售价格:住宅:河北:邢台市,人民币/平方米,2767.257996,935160.5596,967.0370001,0.33679862,-1.366717924,0.349456755,1543,4363.339244,2625.276926,13,,,,,,,,,,,,,1736.00,1543.00,1751.00,1958.00,2028.00,2360.72,2625.28,2966.10,3143.44,3575.00,4001.44,3923.03,4363.34
商品房销售价格:住宅:河北:保定市,人民币/平方米,3147.578149,1903579.623,1379.70273,0.717218667,0.218693714,0.438337879,1298,6120.189523,2981.6936,13,,,,,,,,,,,,,1298.00,1568.00,1936.00,2179.00,2384.00,2616.46,2981.69,3157.90,3896.46,4044.00,3895.94,4840.88,6120.19
商品房销售价格:住宅:河北:张家口市,人民币/平方米,3042.846014,2138439.854,1462.34054,0.835701321,0.370879503,0.480583156,1355,6295.009335,2840.268127,13,,,,,,,,,,,,,1355.00,1508.00,1605.00,1716.00,2175.00,2597.01,2840.27,3124.37,3463.39,3953.00,4371.17,4553.78,6295.01
