"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
商品房销售额:住宅:地级市合计,百万人民币,1840554,2.93947E+11,542168.3471,1.040827787,,0.29456802,1377602,2437000,1707060,3,,,,,,,,,,,,,,,1377602.00,,2437000.00,1707060.00,,,,,,,,,,
商品房销售额:住宅:北京,百万人民币,81375.89762,6470088604,80436.86098,0.647677697,-0.982300335,0.988460507,2160,248676.69,53171.4,21,2160.00,2470.00,4104.90,4083.87,6011.03,7631.91,12959.18,17979.99,23202.13,40933.63,53171.40,71665.93,78915.87,126910.23,173997.10,162629.95,184597.30,120136.85,248676.69,206051.72,160604.17,,,,,,,
商品房销售额:住宅:天津,百万人民币,76224.14174,6557258618,80976.90175,1.465076831,2.620765765,1.062352424,2480.65,324559.92,61950.83,23,,,,,2603.64,2480.65,3845.18,5296.14,5345.47,8604.28,11874.43,12992.36,17242.56,23225.91,50413.79,61950.83,78163.06,63557.28,96535.64,103431.74,116735.76,121057.06,144334.02,130970.00,164643.00,324559.92,203292.54,
商品房销售额:住宅:河北:石家庄,百万人民币,21401.61056,524908272,22910.87672,1.212030259,1.198904146,1.070521149,1118.35,82164.35,10606.28,18,,,,,,,,,,1118.35,1389.86,1186.73,1800.53,1829.00,3609.35,5774.05,9073.87,8583.69,12138.69,16977.63,34086.10,32857.11,38688.05,40364.92,43548.86,50037.85,82164.35,
商品房销售额:住宅:河北:唐山,百万人民币,22569,203871670.1,14278.36371,-0.131217045,-1.575983557,0.632653804,3193,44836.66,29160.81,13,,,,,,,,,,,,,,,3193.00,4805.00,4802.00,8781.00,13680.00,17043.00,29160.81,34867.95,44836.66,35154.68,33297.23,30791.41,32984.26,
商品房销售额:住宅:河北:秦皇岛市,百万人民币,11617.04769,28370335.54,5326.381092,-0.088477134,-1.054164301,0.458496964,3541,20615.61,13099.01,13,,,,,,,,,,,,,,,3541.00,5354.00,7325.00,4772.00,8156.00,14273.00,15111.52,13099.01,17646.20,11659.87,14224.84,15243.57,20615.61,
商品房销售额:住宅:河北:邯郸市,百万人民币,10496.48308,60088502.61,7751.677406,0.573287617,-0.206393105,0.738502349,1515,26602.36,11960.32,13,,,,,,,,,,,,,,,1515.00,1657.00,1955.00,3553.00,5132.00,7956.00,11960.32,14895.18,12719.19,13321.53,15216.80,19970.90,26602.36,
商品房销售额:住宅:河北:邢台市,百万人民币,7014.990714,26637627.83,5161.165356,0.602458863,-0.712856858,0.73573374,957,16877.61,6422.195,14,,,,,,,,,,,,,,,957.00,1338.00,2138.00,2167.00,2548.00,5144.00,6958.37,5886.02,7277.85,9531.23,9682.79,13123.00,16877.61,14581.00
商品房销售额:住宅:河北:保定市,百万人民币,12306.98308,89640558.27,9467.869785,0.663272306,-0.564440803,0.769308751,1145,30605.55,11699.7,13,,,,,,,,,,,,,,,1145.00,2282.00,4220.00,3372.00,5090.00,9885.00,13271.39,11699.70,12376.60,18890.29,20938.29,26214.96,30605.55,
商品房销售额:住宅:河北:张家口市,百万人民币,12230.87615,58660274.62,7658.999584,-0.288772343,-1.556429358,0.626202039,1537,23400.69,15372.21,13,,,,,,,,,,,,,,,1537.00,2203.00,2989.00,3811.00,6676.00,15634.00,20023.70,16520.56,15372.21,14802.76,16800.10,19231.37,23400.69,
商品房销售额:住宅:河北:承德市,百万人民币,7533.399231,23408821.37,4838.26636,-0.038057132,-1.359842043,0.642242129,924,15470.64,8868,13,,,,,,,,,,,,,,,924.00,1776.00,2041.00,2505.00,3460.00,8868.00,9548.65,8148.89,9829.19,11598.13,10619.44,13145.25,15470.64,
商品房销售额:住宅:河北:沧州市,百万人民币,12855.97692,97482100.78,9873.302425,0.421226503,-1.002282096,0.767993166,1427,30171.33,11173,13,,,,,,,,,,,,,,,1427.00,1855.00,1751.00,3554.00,6268.00,11173.00,15813.65,10365.72,17229.06,17653.72,22341.40,27524.82,30171.33,
商品房销售额:住宅:河北:廊坊市,百万人民币,46541.74,1607911745,40098.77486,1.191522487,1.073154405,0.861565873,4499,140525.1,36348.88,13,,,,,,,,,,,,,,,4499.00,6402.00,11697.00,16132.00,25267.00,37137.00,34216.36,36348.88,47248.77,65962.31,86152.47,140525.10,93454.73,
商品房销售额:住宅:河北:衡水市,百万人民币,7404.202308,39155391.53,6257.42691,0.653201826,-0.448982235,0.845118306,883,20189.61,6771.58,13,,,,,,,,,,,,,,,1158.00,883.00,1335.00,1159.00,1969.00,4770.00,9230.14,6771.58,9687.87,11223.02,12598.79,15279.62,20189.61,
商品房销售额:住宅:山西:太原市,百万人民币,15230.40278,296089852.1,17207.26161,1.585991759,2.51696542,1.129796885,497.93,63948.23,6832.305,18,,,,,,,,,,497.93,1096.16,1351.12,1272.19,2551.00,5322.86,3940.20,5306.24,6068.56,7596.05,16593.05,12506.19,19778.18,25961.77,28534.24,30853.82,40969.46,63948.23,
商品房销售额:住宅:山西:大同市,百万人民币,3248.08,4524036.472,2126.978249,1.340040544,1.625161178,0.654841706,1139,8442.14,2756.51,13,,,,,,,,,,,,,,,1139.00,1544.00,1923.00,1414.00,1562.00,2017.00,2756.51,3853.53,3923.34,2852.29,5348.02,5450.21,8442.14,
商品房销售额:住宅:山西:阳泉市,百万人民币,2163.566154,795533.1852,891.9266703,-0.304145034,-0.849059776,0.412248393,714,3425.19,2223.05,13,,,,,,,,,,,,,,,714.00,815.00,1163.00,1516.00,2153.00,2445.00,2461.01,3288.32,2548.29,2223.05,2196.61,3425.19,3177.89,
商品房销售额:住宅:山西:长治市,百万人民币,4167.99,8024867.342,2832.81968,0.654335791,-0.363363845,0.679660863,737,9907.76,3878.71,13,,,,,,,,,,,,,,,737.00,1617.00,1325.00,1258.00,2536.00,2789.00,3878.71,4633.18,5256.03,5879.83,6358.10,8008.26,9907.76,
商品房销售额:住宅:山西:晋城市,百万人民币,2875.770714,4221464.919,2054.620383,0.551878388,-1.02059191,0.71445904,543,6233.61,2705.545,14,,,,,,,,,,,,,,,715.00,619.00,543.00,992.00,1529.00,1523.00,3347.49,2492.70,3308.16,2918.39,6111.77,5817.67,6233.61,4110.00
商品房销售额:住宅:山西:朔州市,百万人民币,1605.612308,1155723.951,1075.046023,1.106894368,-0.047044868,0.669555171,454,3749.68,1190.19,13,,,,,,,,,,,,,,,454.00,637.00,1027.00,767.00,1185.00,839.00,1370.86,1716.33,3017.28,3329.44,1190.19,1590.18,3749.68,
商品房销售额:住宅:山西:晋中市,百万人民币,3975.932857,7393081.356,2719.022132,1.526609593,3.070320732,0.683870234,1016,11290,3368.56,14,,,,,,,,,,,,,,,1016.00,1635.00,2036.00,2519.00,1522.00,2560.00,2241.45,4177.12,4574.59,4913.33,5231.07,5418.44,6529.06,11290.00
商品房销售额:住宅:山西:运城市,百万人民币,4239.786154,7648142.747,2765.527571,0.889708154,0.583407806,0.652279967,890,10443.58,3286.71,13,,,,,,,,,,,,,,,890.00,1120.00,1690.00,2445.00,2989.00,2758.00,3286.71,5778.61,5546.07,5197.09,5291.09,7682.07,10443.58,
商品房销售额:住宅:山西:忻州市,百万人民币,1596.097143,875784.3631,935.8335125,0.58358658,-0.380761048,0.586326162,173,3297.37,1436.935,14,,,,,,,,,,,,,,,173.00,543.00,757.00,1224.00,987.00,1367.00,2082.88,1550.75,1559.42,1506.87,1358.00,3297.37,2889.07,3050.00
商品房销售额:住宅:山西:临汾市,百万人民币,3207.846429,5318077.97,2306.095828,0.557041495,-0.586546835,0.718892216,347,7930,2793.02,14,,,,,,,,,,,,,,,347.00,614.00,935.00,1466.00,1621.00,1431.00,2726.08,2859.96,4493.23,4864.51,4399.02,6014.37,5208.68,7930.00
商品房销售额:住宅:山西:吕梁市,百万人民币,1279.192308,585842.3491,765.4033898,0.028174767,-1.254092202,0.598348962,123,2405.57,1190.82,13,,,,,,,,,,,,,,,123.00,287.00,670.00,502.00,917.00,1315.00,1178.53,1190.82,2326.20,1763.49,1890.89,2405.57,2060.00,
商品房销售额:住宅:内蒙古:呼和浩特市,百万人民币,9476.103333,52693319.14,7259.016403,0.111790724,-1.713094256,0.766033901,653.07,20298.62,8945.9,18,,,,,,,,,,653.07,774.01,1270.74,1442.93,1984.00,3000.72,4217.72,5245.28,7738.21,10153.59,14387.50,20298.62,19879.06,15744.96,15814.99,15897.05,17915.09,14152.32,
