"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
企业数:工业:地级市合计,个,290681.7647,9791060551,98949.78803,-0.175988664,-1.342183615,0.340405901,145406,444413,321060,17,,145406.00,153851.00,162090.00,174896.00,190826.00,219406.00,266221.00,295637.00,329956.00,375083.00,426601.00,444413.00,321060.00,335563.00,359698.00,367632.00,373251.00,,,
企业数:工业:北京,个,4952.55,1999611.734,1414.076283,0.416940258,-1.549616698,0.285524888,3231,7206,4524,20,4497.00,5225.00,4572.00,4356.00,4551.00,4019.00,6872.00,6301.00,6400.00,6398.00,7206.00,6891.00,6885.00,3740.00,3692.00,3641.00,3686.00,3548.00,3340.00,3231.00,
企业数:工业:天津,个,5908.75,1122672.197,1059.562267,1.21661946,0.902430549,0.179320883,4286,8326,5506,20,5412.00,5213.00,5430.00,5561.00,5346.00,5341.00,6462.00,6144.00,6301.00,6361.00,7950.00,8326.00,7947.00,5013.00,5342.00,5511.00,5501.00,5525.00,5203.00,4286.00,
企业数:工业:河北:石家庄,个,2124.947368,253782.7193,503.7685176,-0.403249328,-1.523840291,0.237073409,1362,2752,2315,19,,1405.00,1362.00,1431.00,1488.00,1568.00,1555.00,1925.00,2126.00,2127.00,2315.00,2469.00,2576.00,2379.00,2388.00,2562.00,2594.00,2752.00,2709.00,2643.00,
企业数:工业:河北:唐山,个,1384.368421,42172.57895,205.3596332,-0.330626905,-1.096083392,0.148341749,1024,1684,1432,19,,1024.00,1032.00,1179.00,1164.00,1209.00,1207.00,1505.00,1481.00,1379.00,1451.00,1684.00,1568.00,1288.00,1311.00,1566.00,1598.00,1595.00,1432.00,1630.00,
企业数:工业:河北:秦皇岛市,个,445.8421053,10076.80702,100.3833005,0.783590266,-0.769520336,0.225154375,333,642,396,19,,333.00,341.00,367.00,362.00,393.00,396.00,488.00,535.00,556.00,604.00,615.00,642.00,379.00,406.00,460.00,481.00,395.00,357.00,361.00,
企业数:工业:河北:邯郸市,个,853.1578947,117654.1404,343.0074931,0.231971438,-1.468319155,0.402044563,454,1378,875,19,,454.00,454.00,472.00,477.00,476.00,500.00,581.00,666.00,797.00,975.00,897.00,1095.00,875.00,972.00,1170.00,1277.00,1378.00,1350.00,1344.00,
企业数:工业:河北:邢台市,个,933.0526316,59180.16374,243.2697345,0.462101647,-1.027027959,0.260724558,646,1343,886,19,,675.00,646.00,679.00,665.00,669.00,671.00,795.00,886.00,882.00,945.00,1005.00,1010.00,869.00,986.00,1117.00,1242.00,1309.00,1334.00,1343.00,
企业数:工业:河北:保定市,个,1442.526316,110632.4854,332.6146199,-0.079843277,-1.606409325,0.230577852,984,1884,1489,19,,1044.00,984.00,1000.00,1029.00,1080.00,1099.00,1295.00,1361.00,1329.00,1489.00,1642.00,1848.00,1491.00,1613.00,1737.00,1814.00,1884.00,1841.00,1828.00,
企业数:工业:河北:张家口市,个,430.8947368,6302.54386,79.38856252,0.531737051,-0.43375478,0.184241198,311,582,415,19,,424.00,401.00,403.00,357.00,311.00,315.00,373.00,395.00,358.00,409.00,435.00,530.00,415.00,435.00,551.00,582.00,564.00,483.00,446.00,
企业数:工业:河北:承德市,个,455.8421053,8666.251462,93.09270359,-0.269144379,-1.383876745,0.20422138,307,573,461,19,,355.00,354.00,377.00,307.00,311.00,338.00,452.00,508.00,504.00,566.00,573.00,553.00,422.00,461.00,539.00,572.00,549.00,488.00,432.00,
企业数:工业:河北:沧州市,个,1450.842105,436486.2515,660.6710615,0.093795105,-1.517803961,0.455370753,649,2417,1571,19,,659.00,649.00,674.00,659.00,717.00,730.00,1024.00,1140.00,1302.00,1571.00,1754.00,1919.00,1610.00,1774.00,1993.00,2199.00,2380.00,2395.00,2417.00,
企业数:工业:河北:廊坊市,个,882.4210526,90515.03509,300.8571673,-0.137123725,-1.728827764,0.340945138,466,1255,871,19,,474.00,466.00,533.00,527.00,556.00,555.00,683.00,765.00,864.00,871.00,1134.00,1223.00,986.00,1073.00,1179.00,1252.00,1255.00,1190.00,1180.00,
企业数:工业:河北:衡水市,个,869.9444444,54268.29085,232.9555555,0.109673129,-1.181205715,0.267782106,537,1234,859.5,18,,540.00,537.00,,570.00,637.00,637.00,814.00,771.00,772.00,863.00,893.00,968.00,856.00,941.00,1094.00,1181.00,1234.00,1185.00,1166.00,
企业数:工业:山西:太原市,个,447.8947368,3225.099415,56.78995875,0.227697391,-0.925001073,0.126793092,355,557,440,19,,401.00,383.00,390.00,429.00,452.00,521.00,489.00,557.00,517.00,515.00,484.00,487.00,439.00,458.00,440.00,404.00,408.00,355.00,381.00,
企业数:工业:山西:大同市,个,311.0526316,18844.7193,137.2760696,0.53021945,-0.602510928,0.441327466,147,612,327,19,,379.00,384.00,386.00,380.00,405.00,612.00,404.00,524.00,441.00,327.00,219.00,203.00,147.00,169.00,178.00,173.00,177.00,168.00,234.00,
企业数:工业:山西:阳泉市,个,180.2105263,1580.619883,39.75701049,0.745343097,1.564174384,0.220614252,122,287,187,19,,192.00,197.00,196.00,187.00,189.00,287.00,221.00,216.00,193.00,204.00,171.00,186.00,128.00,160.00,164.00,144.00,134.00,122.00,133.00,
企业数:工业:山西:长治市,个,394.9473684,4867.385965,69.76665367,1.528853482,2.020752697,0.176647977,316,586,358,19,,350.00,350.00,348.00,385.00,411.00,586.00,509.00,501.00,420.00,422.00,417.00,386.00,340.00,354.00,358.00,344.00,352.00,316.00,355.00,
企业数:工业:山西:晋城市,个,239.3684211,858.6900585,29.30341377,1.221866155,2.386231625,0.122419715,202,322,241,19,,230.00,209.00,211.00,203.00,202.00,241.00,230.00,217.00,238.00,255.00,322.00,284.00,217.00,241.00,251.00,244.00,251.00,241.00,261.00,
企业数:工业:山西:朔州市,个,199.3684211,3401.578947,58.32305674,-0.305656792,-1.444967411,0.292539091,113,280,211,19,,119.00,120.00,113.00,118.00,130.00,162.00,163.00,189.00,211.00,260.00,207.00,224.00,235.00,261.00,268.00,280.00,258.00,232.00,238.00,
企业数:工业:山西:晋中市,个,504.7222222,12093.50654,109.9704803,-0.418752514,0.278852245,0.217883175,287,711,518,18,,,287.00,309.00,364.00,388.00,711.00,521.00,519.00,580.00,661.00,584.00,533.00,470.00,512.00,517.00,529.00,515.00,517.00,568.00,
企业数:工业:山西:运城市,个,468.2777778,1392.800654,37.32024455,0.761300803,0.796049218,0.079696809,420,563,461.5,18,,,420.00,421.00,429.00,433.00,506.00,486.00,494.00,449.00,453.00,461.00,563.00,429.00,462.00,497.00,500.00,491.00,454.00,481.00,
企业数:工业:山西:忻州市,个,305.5555556,2157.202614,46.44569533,-0.60919492,-1.242106303,0.152004094,230,368,329,18,,,230.00,232.00,240.00,258.00,243.00,332.00,335.00,328.00,332.00,268.00,323.00,307.00,330.00,331.00,355.00,368.00,339.00,349.00,
企业数:工业:山西:临汾市,个,446.8333333,6843.794118,82.72722718,0.757886385,-0.708104515,0.185141128,354,603,432,18,,,416.00,428.00,436.00,445.00,591.00,603.00,572.00,540.00,507.00,455.00,458.00,380.00,374.00,372.00,364.00,366.00,354.00,382.00,
企业数:工业:山西:吕梁市,个,500.2,7834.6,88.51327584,-0.857413144,0.187480402,0.176955769,300,601,523,15,,,,,,300.00,426.00,481.00,544.00,553.00,477.00,374.00,597.00,579.00,582.00,601.00,567.00,523.00,448.00,451.00,
企业数:工业:内蒙古:呼和浩特市,个,253.6315789,2445.467836,49.45167172,-0.154174631,-1.059066827,0.194974427,178,337,267,19,,216.00,194.00,178.00,180.00,185.00,203.00,245.00,279.00,293.00,317.00,337.00,320.00,267.00,273.00,281.00,277.00,277.00,265.00,232.00,
企业数:工业:内蒙古:包头市,个,470.2105263,37569.84211,193.829415,-0.155085774,-1.76082434,0.412218366,212,715,480,19,,220.00,212.00,215.00,223.00,254.00,301.00,342.00,401.00,480.00,573.00,705.00,715.00,625.00,618.00,654.00,660.00,658.00,677.00,401.00,
企业数:工业:内蒙古:乌海市,个,128.3684211,1735.356725,41.65761305,-1.070171238,-0.42578272,0.324516051,44,175,147,19,,44.00,55.00,65.00,70.00,83.00,127.00,147.00,145.00,150.00,160.00,175.00,168.00,155.00,153.00,154.00,153.00,147.00,144.00,144.00,
企业数:工业:内蒙古:赤峰市,个,378.8421053,31906.02924,178.6225888,-0.228107674,-1.801176318,0.471496136,137,593,376,19,,168.00,145.00,137.00,140.00,173.00,197.00,242.00,331.00,376.00,506.00,560.00,593.00,526.00,532.00,563.00,569.00,556.00,525.00,359.00,
企业数:工业:内蒙古:通辽市,个,351.8421053,50955.02924,225.7322069,-0.049898219,-1.895682778,0.641572465,68,616,345,19,,68.00,74.00,87.00,85.00,100.00,134.00,178.00,288.00,345.00,433.00,516.00,572.00,590.00,616.00,601.00,593.00,609.00,590.00,206.00,
企业数:工业:内蒙古:鄂尔多斯市,个,357.5294118,10043.88971,100.2192083,-1.001525936,0.259160767,0.280310388,143,487,384,17,,,,143.00,168.00,228.00,268.00,333.00,443.00,420.00,469.00,487.00,451.00,385.00,371.00,390.00,372.00,384.00,379.00,387.00,
企业数:工业:内蒙古:呼伦贝尔市,个,292.2352941,16710.56618,129.2693551,-0.292916187,-1.838873743,0.442346827,120,447,346,17,,,,120.00,121.00,120.00,139.00,167.00,227.00,284.00,346.00,417.00,447.00,384.00,394.00,409.00,423.00,419.00,391.00,160.00,
企业数:工业:内蒙古:巴彦淖尔市,个,240.8666667,2627.980952,51.26383669,-1.179254006,0.478899866,0.212830764,124,287,258,15,,,,,,124.00,160.00,176.00,245.00,228.00,231.00,258.00,282.00,275.00,275.00,280.00,286.00,287.00,283.00,223.00,
企业数:工业:内蒙古:乌兰察布市,个,321.3333333,6753.52381,82.17982605,-0.936104267,0.189323022,0.255746347,141,429,339,15,,,,,,141.00,189.00,237.00,270.00,297.00,372.00,392.00,429.00,373.00,382.00,388.00,383.00,339.00,312.00,316.00,
企业数:工业:辽宁:沈阳市,个,3013.578947,2252320.924,1500.773442,-0.044512742,-1.569105558,0.498003692,1116,5252,3284,19,,1150.00,1183.00,1157.00,1116.00,1349.00,1836.00,3033.00,4129.00,4382.00,4659.00,5247.00,5252.00,4161.00,4034.00,3901.00,3635.00,3284.00,2371.00,1379.00,
企业数:工业:辽宁:大连市,个,2469.315789,1477061.561,1215.344215,0.529641296,-0.460706794,0.49217853,931,4985,2486,19,,973.00,1143.00,931.00,1124.00,1280.00,1658.00,2110.00,2954.00,3573.00,3541.00,4985.00,4684.00,2960.00,3142.00,3101.00,2844.00,2486.00,1745.00,1683.00,
