"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
商品房销售面积:地级市合计,千平方米,473702.2522,35116040060,187392.7428,0.376750213,-1.641036613,0.395591834,261802,739063.8,442903.65,6,,,,,,,,,,,,,261802.00,330444.00,356528.00,529279.30,,739063.80,625096.41,,,,,,,,,,
商品房销售面积:北京,千平方米,12339.40738,80655000.2,8980.812892,0.327396755,-0.931614607,0.727815576,1422,31234.247,13353.664,29,1422.00,1540.00,1591.00,1820.00,1685.70,1901.70,2153.27,2908.98,4091.95,5444.40,9568.97,12049.60,17083.40,18957.69,27708.09,31234.25,26076.18,21765.73,13353.66,23622.54,16395.31,14400.41,19437.00,19031.00,14590.00,15547.00,16751.00,8750.00,6962.00
商品房销售面积:天津,千平方米,10779.0774,49563867.7,7040.161056,0.134552598,-0.653091638,0.653132063,780.2,27110.848,12520.438,25,,,,,780.20,1465.80,1293.90,1955.10,2493.90,2583.00,3917.60,5374.80,5639.98,7864.96,8581.17,14083.74,14585.98,15485.93,12520.44,15900.25,15645.23,15945.70,16616.90,18471.12,16129.80,17710.70,27110.85,14821.20,12498.70
商品房销售面积:河北:石家庄,千平方米,4697.860947,12905977.09,3592.488982,0.39552335,-1.499380872,0.76470739,691.268,10919.162,3497.562,19,,,,,,,,,,800.85,691.27,772.48,999.48,1180.66,1210.80,2232.01,3035.26,3935.80,3388.60,3497.56,4693.07,9222.36,7687.33,9512.11,8882.58,8041.04,8556.93,10919.16,
商品房销售面积:河北:唐山,千平方米,5014.941938,9947731.647,3154.00248,0.179711985,-1.689889883,0.628921036,1170,10149.254,4503.35,16,,,,,,,,,,,,,1170.00,1416.00,2237.00,1630.80,2289.20,1671.20,3134.10,4186.70,4820.00,6867.85,8355.72,10149.25,8524.50,7915.37,8524.15,7347.23,
商品房销售面积:河北:秦皇岛市,千平方米,2218.681188,840127.3584,916.584616,-0.372299516,-1.002067398,0.413121372,563,3437.388,2198.1625,16,,,,,,,,,,,,,563.00,813.00,1190.00,1617.50,2053.70,2140.30,1326.10,2011.80,3262.00,3352.61,2764.49,3025.03,2256.03,2800.10,2885.87,3437.39,
商品房销售面积:河北:邯郸市,千平方米,2585.682941,2277579.917,1509.165305,0.093165907,-1.594626281,0.583662165,692,5168.228,2757,17,,,,,,,,,,,,,724.00,1057.00,692.00,1055.20,1136.00,964.20,1506.50,1972.10,2757.00,3807.14,4317.91,3558.36,3644.50,3616.51,4283.97,5168.23,3696.00
商品房销售面积:河北:邢台市,千平方米,1943.875824,1469731.081,1212.32466,0.356631896,-0.873445168,0.623663634,307,4377.737,2068.183,17,,,,,,,,,,,,,307.00,512.00,679.00,576.50,917.50,1312.50,1134.90,1301.20,2254.00,2928.26,2068.18,2454.14,2784.70,2590.35,3537.92,4377.74,3310.00
商品房销售面积:河北:保定市,千平方米,3102.392563,3834722.076,1958.244642,0.178123227,-1.518147843,0.63120466,560,6081.229,2794.095,16,,,,,,,,,,,,,561.00,560.00,1179.00,977.60,1604.60,2309.60,1632.60,2192.30,3999.00,4776.62,4196.18,3278.59,4886.85,5946.85,6081.23,5456.26,
商品房销售面积:河北:张家口市,千平方米,3483.516353,4911408.132,2216.169698,0.276264649,-0.962620329,0.63618754,280,7665.817,3282.4,17,,,,,,,,,,,,,280.00,546.00,1437.00,1183.40,1564.60,2008.20,2372.70,3282.40,6670.00,7665.82,5964.50,5436.21,4846.98,4480.49,4644.57,4210.91,2626.00
商品房销售面积:河北:承德市,千平方米,2054.804353,1341019.255,1158.023858,-0.139115598,-1.883073101,0.563568914,285,3499.769,2600.992,17,,,,,,,,,,,,,285.00,848.00,855.00,679.40,1040.20,1008.50,1156.10,1371.40,3298.00,3296.28,2600.99,2884.45,3202.51,2708.35,3499.77,3259.73,2938.00
商品房销售面积:河北:沧州市,千平方米,3164.531941,5404842.968,2324.831815,0.151021572,-1.458645918,0.734652662,116.03,6953.659,3592,17,,,,,,,,,,,,,371.00,579.00,744.00,1003.30,116.03,906.50,1790.80,2494.10,4226.00,5326.03,3592.46,4815.10,5073.58,5593.92,6619.55,6953.66,3592.00
商品房销售面积:河北:廊坊市,千平方米,5944.806625,13288868.4,3645.39002,0.337688503,-0.591207532,0.61320582,1066,13464.731,6689.4295,16,,,,,,,,,,,,,1066.00,1193.00,2040.00,2300.30,2716.90,3591.70,4225.70,6277.20,8199.00,7287.90,7101.66,7745.73,8930.12,10783.63,13464.73,8193.34,
商品房销售面积:河北:衡水市,千平方米,2329.517813,3040522.846,1743.709507,0.290736927,-1.809077983,0.748528085,263,4935.464,1787.95,16,,,,,,,,,,,,,263.00,688.00,961.00,831.30,661.50,829.60,650.20,1131.90,2444.00,4352.40,2799.73,3900.52,4029.58,4069.92,4724.17,4935.46,
商品房销售面积:山西:太原市,千平方米,2523.941158,4213380.175,2052.651986,1.288360428,1.404064378,0.81327252,275.417,7934.312,1837.952,19,,,,,,,,,,275.42,398.21,590.19,825.91,842.67,1262.81,2189.93,1372.34,1672.27,1829.38,1837.95,2588.21,2176.87,3260.61,3976.02,4280.30,4504.25,6137.25,7934.31,
商品房销售面积:山西:大同市,千平方米,911.4186875,170265.2007,412.6320403,1.265509438,2.036806605,0.452735988,419,2005.684,811.9055,16,,,,,,,,,,,,,479.00,481.00,419.00,664.10,796.00,984.90,697.80,578.00,807.00,901.65,1101.69,1206.11,816.81,1210.09,1433.87,2005.68,
商品房销售面积:山西:阳泉市,千平方米,747.4726471,70637.39726,265.776969,-0.067919289,-0.216964236,0.355567485,226,1247.889,773,17,,,,,,,,,,,,,226.00,373.00,500.00,580.00,630.00,773.00,803.60,930.00,1077.00,1064.30,1247.89,852.45,736.67,628.40,956.81,796.92,531.00
商品房销售面积:山西:长治市,千平方米,1307.854765,630257.7136,793.887721,0.132159199,-1.121089412,0.6070152,128,2741.416,1225,17,,,,,,,,,,,,,128.00,284.00,354.00,492.00,1039.10,686.00,707.70,1161.00,1225.00,1443.36,1675.48,1815.51,1848.50,2133.02,2190.45,2741.42,2309.00
商品房销售面积:山西:晋城市,千平方米,706.2347647,172762.9843,415.6476685,0.703619311,-0.571112758,0.588540368,208,1524.349,614,17,,,,,,,,,,,,,270.00,326.00,291.00,487.80,319.60,208.00,384.20,606.00,614.00,1046.39,715.20,866.17,753.99,1524.35,1305.62,1402.68,885.00
商品房销售面积:山西:朔州市,千平方米,679.7428824,148068.9365,384.7972668,0.476748325,-0.494533182,0.566092381,113,1381.784,632,17,,,,,,,,,,,,,113.00,135.00,343.00,412.00,490.40,788.70,476.60,632.00,576.00,790.53,951.82,1381.78,1321.59,348.38,714.69,1266.15,814.00
商品房销售面积:山西:晋中市,千平方米,1097.885059,218886.0334,467.8525766,-0.350782321,-0.186434234,0.426139852,243,1972,1238.6,17,,,,,,,,,,,,,243.00,262.00,568.00,771.00,1277.20,1238.60,1417.60,764.00,1146.00,829.12,1087.20,1269.41,1369.16,1347.17,1504.91,1597.69,1972.00
商品房销售面积:山西:运城市,千平方米,1669.581188,858054.5497,926.3123392,0.118412077,-0.442296227,0.554817188,219,3530.972,1889.105,16,,,,,,,,,,,,,219.00,428.00,510.00,750.20,935.00,1263.20,1946.30,1894.00,1760.00,1884.21,2645.78,2294.13,1979.70,1914.50,2758.31,3530.97,
商品房销售面积:山西:忻州市,千平方米,583.8227647,116315.7271,341.0509157,-0.33875275,-0.822317768,0.58416858,49,1137.022,630.304,17,,,,,,,,,,,,,51.00,76.00,49.00,142.00,434.00,556.40,722.50,818.00,689.00,1002.83,690.50,607.41,630.30,483.30,1137.02,898.73,937.00
商品房销售面积:山西:临汾市,千平方米,875.9676471,284220.8208,533.1236449,0.29511772,-1.326073778,0.608611113,206,1847,675,17,,,,,,,,,,,,,206.00,305.00,267.00,291.40,368.40,466.80,619.70,664.00,675.00,1107.90,1085.56,1358.12,1498.65,1211.75,1580.58,1338.59,1847.00
商品房销售面积:山西:吕梁市,千平方米,458.3367059,61690.85134,248.3764307,-0.201890102,-0.832575652,0.541908225,79,891.053,517.128,17,,,,,,,,,,,,,160.00,84.00,79.00,106.60,252.30,497.50,364.10,456.00,648.00,600.63,517.13,801.12,526.99,620.34,891.05,646.06,540.90
商品房销售面积:内蒙古:呼和浩特市,千平方米,2902.68845,2480306.874,1574.899004,-0.056756209,-1.045860654,0.542565636,472.296,5837.1,3242.003,20,,,,,,,,,,472.30,606.08,655.74,1206.87,1373.81,1581.39,2241.13,2153.22,2258.93,3318.91,3795.81,4718.80,5837.10,4781.80,4204.50,3639.10,3818.10,4254.90,3165.10,3970.20
商品房销售面积:内蒙古:包头市,千平方米,3678.2875,3225468.983,1795.95907,0.161118478,-0.205758957,0.488259569,752,7306.5,3885.7,16,,,,,,,,,,,,,752.00,1140.00,1437.00,2174.90,2620.00,3068.60,4187.30,5701.00,5977.00,7306.50,3543.00,4082.80,3774.30,3997.10,4596.50,4494.60,
商品房销售面积:内蒙古:乌海市,千平方米,920.6235294,156650.4182,395.7908768,-0.357627443,-0.791943442,0.429916099,206,1589.7,1099.8,17,,,,,,,,,,,,,206.00,307.00,557.00,852.70,1099.80,1589.70,1366.90,837.00,835.00,1133.30,1163.30,1257.90,1244.50,1105.30,1130.70,525.50,439.00
商品房销售面积:内蒙古:赤峰市,千平方米,2393.788235,1820167.415,1349.135803,0.192853619,-0.301088252,0.563598644,383,4909,2412.7,17,,,,,,,,,,,,,383.00,452.00,524.00,940.20,1740.00,2017.10,2088.00,2300.00,3508.00,4770.10,3379.30,4909.00,2937.80,2515.60,2889.60,2412.70,2928.00
商品房销售面积:内蒙古:通辽市,千平方米,1326.625,602063.0447,775.9272161,0.008101532,-0.801168454,0.58488813,186,2782.7,1408.95,16,,,,,,,,,,,,,186.00,322.00,342.00,354.30,650.20,1752.40,1222.70,1261.00,2145.00,2782.70,1586.80,1686.40,1371.30,1446.60,1861.20,2255.40,
商品房销售面积:内蒙古:鄂尔多斯市,千平方米,2512.425,2450186.234,1565.307073,0.292813878,-0.917678186,0.623026388,332,5355,2329.3,16,,,,,,,,,,,,,357.00,332.00,618.00,1116.40,2392.70,4163.70,4131.90,4193.00,5355.00,4598.80,2326.90,2331.70,2356.90,2211.00,2132.70,1581.10,
商品房销售面积:内蒙古:呼伦贝尔市,千平方米,2752.9,2571238.528,1603.508194,0.084341319,-1.236618338,0.582479637,517,5483.6,2664,17,,,,,,,,,,,,,517.00,585.00,753.00,1014.80,1225.00,1869.30,2927.70,2664.00,2539.00,3944.20,4207.70,4630.20,5483.60,4803.00,4266.10,3002.80,2366.90
商品房销售面积:内蒙古:巴彦淖尔市,千平方米,1056.65,249255.3387,499.2547833,-0.192224766,-0.327508035,0.47248832,194,1811,1033.55,16,,,,,,,,,,,,,194.00,254.00,341.00,875.70,905.80,971.00,1398.80,1811.00,1769.00,1783.90,1012.20,1177.60,1054.90,998.00,1216.00,1143.50,
商品房销售面积:内蒙古:乌兰察布市,千平方米,774.71875,325660.719,570.6669072,0.673008626,-1.203440825,0.736611715,85,1739.5,580.65,16,,,,,,,,,,,,,85.00,295.00,286.00,470.60,407.20,1419.00,1551.10,1373.00,1667.00,1739.50,708.40,504.30,691.30,657.00,230.70,310.40,
商品房销售面积:辽宁:沈阳市,千平方米,11685.16545,51118774.17,7149.739447,0.040779069,-0.816568237,0.611864631,1491.007,24696.526,12720.1255,20,,,,,,,,,,1491.01,2111.33,1955.49,2060.69,3247.97,5243.13,9960.88,12437.89,14620.43,14650.53,15329.35,17465.16,21781.55,24696.53,22623.26,14984.00,10650.61,11843.16,13002.36,13548.00
