"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
商品房销售价格:地级市合计,人民币/平方米,2657.25,163304.9167,404.1100304,0.490620509,-2.749820506,0.152078288,2280,3150,2599.5,4,,,,,,,,,,,,,2280.00,2378.00,2821.00,3150.00,,,,,,,,,,,,,
商品房销售价格:北京,人民币/平方米,10497.12703,52174739.56,7223.208398,0.809316473,-0.435828355,0.688112888,2255,27497.19006,6788.09,23,,,,2255.00,3582.00,3364.00,4487.00,5371.00,,5647.00,4919.00,5062.00,4764.00,4737.00,5243.00,6788.09,8279.51,11553.26,12418.00,13799.00,17782.01,16845.83,17021.63,18552.89,18833.00,22632.51,27497.19,,
商品房销售价格:天津,人民币/平方米,6340.090265,14722396.64,3836.97754,0.729329093,-0.092915514,0.605192888,2251,15331.40057,5913.055694,20,,,,,,2261.87,,,,2251.00,2328.00,2375.00,2487.00,2518.00,3155.00,4054.73,4773.54,5811.11,6015.00,6886.00,8197.06,9238.31,8217.69,8745.92,9218.59,10106.94,12829.63,15331.40,
商品房销售价格:河北:石家庄,人民币/平方米,3906.816417,6560767.915,2561.399601,1.082060672,0.16632992,0.655623231,1547,9828.713046,2610,19,,,,,,,,,,1923.00,1724.00,1949.00,1811.00,1581.00,1547.00,1869.65,2068.43,2451.65,2610.00,3765.00,3881.53,4740.50,4930.94,5503.30,5737.00,8317.77,7990.04,9828.71,
商品房销售价格:河北:唐山,人民币/平方米,3765.118514,2404764.17,1550.730205,-0.182961226,-1.629675197,0.411867568,1513,5865.207514,3811.105809,16,,,,,,,,,,,,,1513.00,1554.00,1873.00,2170.00,2325.00,3114.00,3074.00,3533.00,4089.21,5183.29,5865.21,5302.78,5291.00,5278.11,4716.63,5359.67,
商品房销售价格:河北:秦皇岛市,人民币/平方米,4229.206879,2588239.555,1608.800657,-0.130468187,-1.177817364,0.38040245,1784,6692.995926,4409.872164,16,,,,,,,,,,,,,2078.00,1784.00,2059.00,2458.00,2869.00,3697.00,3952.00,4313.00,4506.74,4931.01,5166.61,6693.00,5615.00,5332.03,5632.48,6580.43,
商品房销售价格:河北:邯郸市,人民币/平方米,3198.477662,2476470.895,1573.680684,0.488823258,-0.7620368,0.492009278,1239,6291.096547,3116.193689,16,,,,,,,,,,,,,1326.00,1239.00,1590.00,1586.00,1877.00,2170.00,2432.00,2956.00,3276.39,3467.95,3817.47,4321.49,4437.00,4759.82,6291.10,5628.44,
商品房销售价格:河北:邢台市,人民币/平方米,2495.642745,1247449.385,1116.892737,0.196961321,-1.20995182,0.447537108,945,4356.145652,2271.285271,16,,,,,,,,,,,,,945.00,1094.00,1001.00,1810.00,1647.00,1839.00,1998.00,2051.00,2491.57,2842.27,3038.96,3310.51,3557.00,3996.88,3951.95,4356.15,
商品房销售价格:河北:保定市,人民币/平方米,2840.849733,2135656.624,1461.388595,0.787904002,-0.085058292,0.514419534,1123,6057.819878,2546.332333,16,,,,,,,,,,,,,1123.00,1464.00,1221.00,1422.00,1625.00,1962.00,2205.00,2434.00,2658.66,2999.63,3174.56,3948.43,4057.00,3976.86,5124.63,6057.82,
商品房销售价格:河北:张家口市,人民币/平方米,2869.39701,2344251.595,1531.094901,0.844985009,0.061427095,0.533594653,1172,6421.12665,2545.344828,16,,,,,,,,,,,,,1536.00,1172.00,1322.00,1417.00,1609.00,1761.00,1821.00,2270.00,2820.69,2975.56,3606.00,3825.58,4152.00,4595.54,4605.86,6421.13,
商品房销售价格:河北:承德市,人民币/平方米,3199.554679,1623582.353,1274.19871,0.518356459,-0.663920883,0.398242517,1673,5852.570612,3013.096725,16,,,,,,,,,,,,,1965.00,1792.00,1673.00,1788.00,1973.00,2592.00,2429.00,2857.00,3169.19,3719.59,3632.41,4086.01,4355.00,4443.84,4865.26,5852.57,
商品房销售价格:河北:沧州市,人民币/平方米,3045.337558,2260289.586,1503.42595,0.579530402,-0.655404263,0.493681216,1344,6179.898957,2830.016091,16,,,,,,,,,,,,,1402.00,1434.00,1344.00,1540.00,1683.00,2121.00,2149.00,2696.00,2964.03,3413.12,3613.94,4392.54,4089.00,4641.55,5062.32,6179.90,
商品房销售价格:河北:廊坊市,人民币/平方米,5142.643202,10664067.69,3265.588414,0.804676715,-0.072367374,0.635001941,1313,12147.51833,4517.029089,16,,,,,,,,,,,,,1313.00,1433.00,1804.00,2086.00,2630.00,3384.00,3931.00,4157.00,4877.06,5344.79,5876.88,6481.06,7874.00,8298.94,10644.04,12147.52,
商品房销售价格:河北:衡水市,人民币/平方米,2358.215268,1091785.224,1044.885268,0.971383154,0.268067785,0.443083073,1235,4799.427166,1997.652209,16,,,,,,,,,,,,,1407.00,1235.00,1322.00,1445.00,1471.00,1736.00,1821.00,1812.00,2174.30,2437.96,2653.70,2864.81,3235.00,3505.50,3811.74,4799.43,
商品房销售价格:山西:太原市,人民币/平方米,4889.274116,6100866.433,2469.993205,0.098330858,-1.554997731,0.505186076,1305,8950.51392,4013,19,,,,,,,,,,1305.00,1632.00,2035.00,2191.00,3165.00,2675.00,3575.31,3578.51,3862.37,4013.00,4830.00,7244.59,6888.75,6792.69,7424.72,7615.22,7485.29,7632.25,8950.51,
商品房销售价格:山西:大同市,人民币/平方米,3055.309095,1689685.11,1299.878883,0.114370107,-1.721205407,0.425449224,1378,4819.373341,2898.369269,16,,,,,,,,,,,,,1378.00,1393.00,1480.00,1890.00,2092.00,2115.00,2253.00,2824.00,2972.74,3255.07,4285.90,4626.56,4503.05,4587.03,4410.23,4819.37,
商品房销售价格:山西:阳泉市,人民币/平方米,2515.274838,1022491.977,1011.183453,0.060114864,-1.101139549,0.402017083,1072,4097.884232,2619.251656,16,,,,,,,,,,,,,1195.00,1072.00,1180.00,1480.00,1611.00,2112.00,2414.00,2754.00,2602.60,2635.90,2797.02,3284.19,3157.43,3824.30,4027.07,4097.88,
商品房销售价格:山西:长治市,人民币/平方米,2727.04499,936709.7513,967.8376678,0.093856969,-1.244360313,0.354903447,1172,4260.810693,2575.561224,16,,,,,,,,,,,,,1172.00,1444.00,2062.00,1918.00,1804.00,2376.00,2031.00,2525.00,2626.12,2931.18,3325.66,3564.20,3750.17,3806.80,4260.81,4035.77,
商品房销售价格:山西:晋城市,人民币/平方米,3008.258476,1643592.975,1282.026901,-0.186795462,-1.361634093,0.426169131,1104,4674.729339,2920.628664,16,,,,,,,,,,,,,1185.00,1104.00,1271.00,1598.00,2015.00,2838.00,2826.00,2749.00,3003.26,3493.40,3717.93,4429.88,4520.09,4089.98,4616.87,4674.73,
商品房销售价格:山西:朔州市,人民币/平方米,2167.642998,790746.3773,889.2392127,0.383532114,-1.218451371,0.410233241,1037,3621.872982,2064.163078,16,,,,,,,,,,,,,1062.00,1037.00,1458.00,1116.00,1512.00,1547.00,1853.00,2188.00,2060.76,2067.56,2230.76,2936.85,3447.32,3621.87,3389.03,3155.13,
商品房销售价格:山西:晋中市,人民币/平方米,2643.772457,1712504.323,1308.626884,0.120171945,-1.696830754,0.494984688,823,4452.620853,2302.519197,16,,,,,,,,,,,,,823.00,954.00,1268.00,1533.00,1515.00,1803.00,1973.00,2119.00,2486.04,3046.29,3935.75,3837.12,4174.59,4249.56,4130.38,4452.62,
商品房销售价格:山西:运城市,人民币/平方米,2076.95032,660967.5589,812.9991137,0.345485641,-1.479034507,0.391438883,1005,3365.455744,1843.727273,16,,,,,,,,,,,,,1005.00,1145.00,1235.00,1415.00,1444.00,1502.00,1544.00,1817.00,1870.45,2239.88,2528.30,2857.41,2888.83,3214.09,3159.79,3365.46,
商品房销售价格:山西:忻州市,人民币/平方米,2062.841285,739612.6184,860.0073362,0.276121351,-1.515927443,0.416904268,980,3526.38788,1949.589985,16,,,,,,,,,,,,,980.00,1053.00,1224.00,1251.00,1352.00,1499.00,1815.00,1296.00,2084.18,2329.51,2558.16,3039.78,2883.02,3018.99,3095.43,3526.39,
商品房销售价格:山西:临汾市,人民币/平方米,2700.674198,1196357.196,1093.781146,-0.055950102,-0.995456338,0.405002998,951,4278.144732,2643.611111,16,,,,,,,,,,,,,971.00,951.00,1536.00,1764.00,1958.00,2439.00,2437.00,2705.00,2582.22,2891.56,2959.54,3507.55,3983.35,4032.72,4278.14,4214.71,
商品房销售价格:山西:吕梁市,人民币/平方米,2236.02177,907912.086,952.8442087,0.081630544,-1.497882924,0.42613369,952,3677.357641,2406.419753,16,,,,,,,,,,,,,1063.00,952.00,1139.00,1488.00,1150.00,1591.00,1651.00,2265.00,2547.84,2597.30,2565.13,3149.50,3599.26,3311.19,3029.76,3677.36,
商品房销售价格:内蒙古:呼和浩特市,人民币/平方米,3433.893106,3370786.239,1835.970109,0.367560871,-1.434318037,0.534661404,1332,6510.1387,2731,19,,,,,,,,,,1481.00,1332.00,1539.00,1498.00,1552.00,1648.00,2056.79,2367.73,2595.99,2731.00,3887.00,4104.90,4170.84,5445.19,5232.67,5473.66,5193.48,6424.59,6510.14,
商品房销售价格:内蒙古:包头市,人民币/平方米,3452.784236,2491568.939,1578.470443,-0.429906572,-1.503712339,0.457158726,1011,5245.236112,3900.888935,16,,,,,,,,,,,,,1011.00,1114.00,1308.00,1732.00,1940.00,3064.00,3091.00,3380.00,4459.86,4421.78,4566.79,5245.24,5144.56,4898.03,4764.59,5103.71,
商品房销售价格:内蒙古:乌海市,人民币/平方米,3041.090781,2571542.463,1603.602963,0.211634649,-1.662850304,0.52731177,1019,5464.326427,2652.538922,16,,,,,,,,,,,,,1019.00,1140.00,1436.00,1500.00,1607.00,2013.00,1957.00,2044.00,3261.08,3975.98,4352.39,4230.16,5443.70,5464.33,4480.68,4733.13,
商品房销售价格:内蒙古:赤峰市,人民币/平方米,2880.602822,1926781.914,1388.085701,0.209205125,-1.498934909,0.481873339,1195,5001.356589,2720.077537,16,,,,,,,,,,,,,1253.00,1195.00,1221.00,1395.00,1652.00,1869.00,2312.00,2508.00,2932.16,3400.21,3661.23,4137.60,3964.48,4793.48,5001.36,4794.12,
商品房销售价格:内蒙古:通辽市,人民币/平方米,2422.282288,1105778.587,1051.560073,0.420747708,-1.66885759,0.43411954,1273,4053.325811,2088.340326,16,,,,,,,,,,,,,1452.00,1273.00,1287.00,1433.00,1449.00,1605.00,1797.00,1924.00,2252.68,2256.37,3268.43,3522.89,3826.57,3551.38,4053.33,3804.87,
商品房销售价格:内蒙古:鄂尔多斯市,人民币/平方米,3315.447042,1892682.367,1375.74793,-0.531054982,-1.504215675,0.414950959,1148,4857.0108,4054.47543,16,,,,,,,,,,,,,1148.00,1476.00,1262.00,1675.00,1988.00,2836.00,3029.00,3985.00,4698.97,4857.01,4637.10,4453.95,4349.88,4371.79,4123.95,4155.50,
商品房销售价格:内蒙古:呼伦贝尔市,人民币/平方米,2722.149199,970272.7302,985.0242282,-0.035502373,-1.647577448,0.361855342,1385,4188.149074,2673.083497,16,,,,,,,,,,,,,1412.00,1385.00,1541.00,1714.00,1869.00,1932.00,2562.00,2447.00,2784.17,3862.00,3332.92,3445.07,3691.36,4188.15,3635.53,3753.20,
商品房销售价格:内蒙古:巴彦淖尔市,人民币/平方米,2619.781047,1954488.489,1398.030217,0.651112473,-0.564327379,0.533643916,866,5599.414063,2254.93697,16,,,,,,,,,,,,,1237.00,866.00,1261.00,1335.00,1393.00,1842.00,1725.00,2143.00,2366.87,2706.96,3255.59,5599.41,3775.39,3876.56,4266.03,4267.68,
商品房销售价格:内蒙古:乌兰察布市,人民币/平方米,1899.756137,551907.3701,742.9046844,0.121354829,-1.640171905,0.391052657,909,3018.718357,1749.520096,16,,,,,,,,,,,,,1176.00,915.00,909.00,1177.00,1223.00,1481.00,1415.00,1700.00,1799.04,2314.10,2518.29,2647.71,3018.72,2689.59,2516.64,2896.01,
商品房销售价格:辽宁:沈阳市,人民币/平方米,4624.93047,3250723.846,1802.976385,0.437468992,-1.328845561,0.389838593,2689,8062.417577,4127,19,,,,,,,,,,2792.00,2689.00,2739.00,2738.00,2916.00,2911.00,3186.93,3376.17,3698.98,4127.00,4464.00,5411.11,5887.57,6321.26,6347.68,6217.13,6860.63,7127.80,8062.42,
商品房销售价格:辽宁:大连市,人民币/平方米,5876.650215,7415026.526,2723.054631,0.106601297,-1.558131791,0.463368506,2329,10314.99104,5774,19,,,,,,,,,,2329.00,2607.00,2801.00,2843.00,2921.00,3116.00,3747.44,4525.23,5567.76,5774.00,6249.00,7043.86,8051.15,8003.54,8263.26,9215.77,8929.47,9353.88,10314.99,
商品房销售价格:辽宁:鞍山市,人民币/平方米,3372.130995,957119.9576,978.3250777,-0.251375475,-1.460311811,0.290120722,1840,4664.126582,3512.868017,16,,,,,,,,,,,,,1840.00,2055.00,1998.00,2436.00,2645.00,2901.00,2914.00,3366.00,3659.74,4164.42,4072.23,4119.99,4664.13,4610.13,4128.96,4379.51,
商品房销售价格:辽宁:抚顺市,人民币/平方米,3326.542895,1681857.058,1296.864317,-0.099872128,-1.72877655,0.389853478,1592,5033.175599,3403.689355,16,,,,,,,,,,,,,1592.00,1715.00,1669.00,1802.00,2195.00,2391.00,2843.00,3155.00,3652.38,4093.58,4556.02,5007.32,5033.18,4487.16,4450.55,4582.51,
商品房销售价格:辽宁:本溪市,人民币/平方米,3061.492177,872130.3812,933.8792113,-0.155716783,-1.475854057,0.305040535,1706,4395.664485,3235.610721,16,,,,,,,,,,,,,1855.00,1741.00,1706.00,2124.00,2266.00,2509.00,2716.00,3125.00,3346.22,3626.31,3587.66,3736.44,3942.36,4029.03,4395.66,4278.20,
商品房销售价格:辽宁:丹东市,人民币/平方米,3182.446692,1469990.596,1212.431687,0.047943607,-1.43480134,0.380974704,1400,4810.043662,3224.385194,16,,,,,,,,,,,,,1456.00,1400.00,1961.00,2101.00,2174.00,2412.00,2609.00,3168.00,3280.77,3377.76,3719.30,4313.74,4680.53,4810.04,4681.04,4774.96,
