"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
商品房销售额:地级市合计,百万人民币,1627630.751,7.65878E+11,875144.7597,0.268939274,-1.443612037,0.537680158,596830,2917287,1667002,7,,,,,,,,,,,,,596830.00,785810.00,1005940.00,1667002.00,1993650.50,2917287.00,2426895.76,,,,,,,,,,
商品房销售额:北京,百万人民币,106104.809,11976258849,109436.0948,0.721823648,-0.969568751,1.031396181,2200,325966.24,60991.14,21,,2200.00,2550.00,4104.90,6037.92,6669.53,10112.80,14519.10,21438.36,30746.93,47072.47,60991.14,81383.80,89795.71,145279.98,212020.99,215897.98,251465.07,165831.29,325966.24,291536.35,242580.43,,,,,,,
商品房销售额:天津,百万人民币,90495.92167,8075938776,89866.22712,1.119928904,1.260674835,0.993041736,2798.95,347822.23,72471.22,24,,,,,,2798.95,3102.82,4476.50,5801.20,5813.42,9120.27,12763.63,14028.16,19804.48,27071.17,57105.74,69626.74,89990.47,75315.70,109484.60,124647.75,139441.46,136552.59,161546.98,148694.00,179001.00,347822.23,227230.26,200662.00
商品房销售额:河北:石家庄,百万人民币,27561.16056,966229563.6,31084.23336,1.198602815,0.82541383,1.127827448,1191.59,107321.31,11408.765,18,,,,,,,,,,,1191.59,1505.74,1810.25,1866.25,1874.00,4173.09,6278.21,9649.22,8844.41,13168.31,18233.64,43718.58,37905.74,52348.02,50958.80,66883.52,68370.21,107321.31,
商品房销售额:河北:唐山,百万人民币,23203.40188,379449112.9,19479.45361,0.263591974,-1.78587342,0.839508522,1770,53819.28,17250.5,16,,,,,,,,,,,,,1770.00,2200.00,4190.00,3538.00,5323.00,5205.00,9635.00,14791.00,19710.00,35598.05,49008.02,53819.28,45104.91,41778.18,40205.26,39378.73,
商品房销售额:河北:秦皇岛市,百万人民币,10562.80438,46853624.39,6844.970737,0.140115386,-1.196964563,0.648025893,1170,22619.49,10672.65,16,,,,,,,,,,,,,1170.00,1450.00,2450.00,3977.00,5893.00,7912.00,5241.00,8677.00,14701.00,16531.75,14283.04,20246.48,12668.30,14930.20,16254.61,22619.49,
商品房销售额:河北:邯郸市,百万人民币,10143.12688,87430760.07,9350.441705,0.778027407,-0.445248993,0.921850019,960,29089.06,7431,16,,,,,,,,,,,,,960.00,1310.00,1100.00,1674.00,2132.00,2092.00,3664.00,5829.00,9033.00,13210.90,16483.49,15377.39,16170.43,17213.91,26950.85,29089.06,
商品房销售额:河北:邢台市,百万人民币,6405.462941,34076327.38,5837.493244,0.832140099,-0.284248474,0.911330422,290,19070.06,5616,17,,,,,,,,,,,,,290.00,560.00,680.00,1043.00,1511.00,2414.00,2267.00,2669.00,5616.00,8322.93,6285.12,8124.46,9906.32,10353.30,13981.68,19070.06,15799.00
商品房销售额:河北:保定市,百万人民币,11204.61313,116305300.3,10784.49351,0.925779952,-0.241893875,0.962504764,630,33053.01,7984.5,16,,,,,,,,,,,,,630.00,820.00,1440.00,1390.00,2607.00,4531.00,3600.00,5337.00,10632.00,14328.11,13321.03,12945.28,19825.54,23649.80,31164.04,33053.01,
商品房销售额:河北:张家口市,百万人民币,12533.27588,95224098.97,9758.283608,-0.068863278,-1.925452745,0.778590027,430,27038.78,17520,17,,,,,,,,,,,,,430.00,640.00,1900.00,1677.00,2518.00,3536.00,4320.00,7451.00,18814.00,22810.12,21507.97,20796.68,20123.68,20590.25,21392.21,27038.78,17520.00
商品房销售额:河北:承德市,百万人民币,7634.438125,39258025.59,6265.622522,0.406567288,-1.307398157,0.820705128,560,19077.8,6682.94,16,,,,,,,,,,,,,560.00,1520.00,1430.00,1215.00,2052.00,2614.00,2808.00,3918.00,10452.00,12260.81,9447.88,11785.89,13946.90,12035.44,17027.29,19077.80,
商品房销售额:河北:沧州市,百万人民币,12898.24375,172496982.3,13133.81065,0.974257374,0.159779676,1.018263487,520,42972.91,9624.5,16,,,,,,,,,,,,,520.00,830.00,1000.00,1545.00,1952.00,1922.00,3848.00,6723.00,12526.00,18178.39,12982.93,21150.53,20746.36,25964.45,33510.33,42972.91,
商品房销售额:河北:廊坊市,百万人民币,40445.12125,1720117473,41474.29895,1.230142581,1.04027855,1.025446276,1400,143319.09,32522.675,16,,,,,,,,,,,,,1400.00,1710.00,3680.00,4797.00,7145.00,12153.00,16613.00,26093.00,39987.00,38952.35,41735.57,50200.55,70314.89,89492.73,143319.09,99528.76,
商品房销售额:河北:衡水市,百万人民币,7053.976875,53072731.62,7285.103405,0.976283648,0.016926358,1.032765422,370,23687.4,3682.5,16,,,,,,,,,,,,,370.00,850.00,1270.00,1201.00,973.00,1440.00,1184.00,2051.00,5314.00,10611.00,7429.65,11174.23,13033.93,14267.11,18007.31,23687.40,
商品房销售额:山西:太原市,百万人民币,21453.70316,642390875.2,25345.43105,1.737225166,2.763536414,1.181401218,649.73,93025,8878.12,19,,,,,,,,,,,649.73,1201.00,1809.26,2667.35,3379.00,7829.67,4910.94,6458.92,7340.84,8878.12,18637.34,14995.89,22148.28,29520.83,32595.38,33715.58,46841.06,71016.17,93025.00
商品房销售额:山西:大同市,百万人民币,3188.216875,6534533.285,2556.27332,1.202239848,1.157507326,0.801787777,620,9666.14,2241,16,,,,,,,,,,,,,660.00,670.00,620.00,1255.00,1665.00,2083.00,1572.00,1632.00,2399.00,2934.93,4721.74,5580.14,3678.14,5550.70,6323.68,9666.14,
商品房销售额:山西:阳泉市,百万人民币,2063.396875,1310712.631,1144.863586,-0.242757337,-1.1842124,0.554844102,270,3853.12,2364.59,16,,,,,,,,,,,,,270.00,400.00,590.00,859.00,1015.00,1633.00,1940.00,2561.00,2803.00,2805.40,3490.37,2799.59,2326.00,2403.18,3853.12,3265.69,
商品房销售额:山西:长治市,百万人民币,4067.978125,11898356.48,3449.399437,0.694741757,-0.697107661,0.847939525,150,11063.73,3074.5,16,,,,,,,,,,,,,150.00,410.00,730.00,944.00,1874.00,1671.00,1437.00,2932.00,3217.00,4230.74,5572.08,6470.82,6932.20,8120.00,9333.08,11063.73,
商品房销售额:山西:晋城市,百万人民币,2625.247059,4873269.833,2207.548376,0.627466011,-1.0006281,0.840891667,320,6557.14,1844,17,,,,,,,,,,,,,320.00,360.00,370.00,779.00,644.00,591.00,1086.00,1666.00,1844.00,3655.46,2659.05,3837.03,3408.09,6234.55,6027.88,6557.14,4590.00
商品房销售额:山西:朔州市,百万人民币,1667.78125,1996871.135,1413.106909,1.04422006,-0.002282303,0.847297515,120,4555.94,1240.885,16,,,,,,,,,,,,,120.00,140.00,500.00,459.00,742.00,1220.00,883.00,1383.00,1187.00,1634.47,2123.28,4058.09,4555.94,1261.77,2422.09,3994.86,
商品房销售额:山西:晋中市,百万人民币,3641.814118,8960359.496,2993.385958,1.215322147,1.8074641,0.821949134,200,11680,2797,17,,,,,,,,,,,,,200.00,250.00,720.00,1182.00,1935.00,2233.00,2797.00,1619.00,2849.00,2525.74,4278.94,4870.88,5715.67,5724.86,6215.86,7113.89,11680.00
