"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
合计人口数:地级,千人,1155705.24,16475638442.0,128357.4635,-0.9622244940000001,-0.320648438,0.11106418800000001,897719.2,1291941.9,1194579.1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932242.0,897719.2,928435.0,974268.8,1087292.5,1102970.4,1137724.3,1166348.0,1178241.1,1190400.3,1198757.9,1212172.1,1224498.4,1233763.2,1247766.7,1269666.0,1272503.0,1277856.0,1289538.0,1291941.9,,,
户籍人口数:北京,千人,12312.263159999999,784406.3158,885.6671586000001,0.047144809,-1.348931308,0.071933742,10998.0,13629.0,12299.0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10998.0,11075.0,11205.0,11363.0,11488.0,11629.0,11807.0,11976.0,12133.0,12299.0,12458.0,12578.0,12779.0,12975.0,13163.0,13334.0,13452.0,13629.0,13592.0,
户籍人口数:天津,千人,9825.35,236893.7297,486.71729960000005,0.36716399,-0.6673073110000001,0.049536892,9139.8,10816.3,9823.45,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9139.8,9190.5,9260.0,9325.5,9393.1,9488.8,9591.0,9688.7,9798.4,9848.5,9964.4,9932.0,10039.7,10166.6,10269.1,10444.0,10499.9,10816.3
户籍人口数:河北:石家庄,千人,9543.8,522606.245,722.9151022000001,-0.398435001,-1.8395934840000001,0.075747093,8545.8,10380.0,9891.6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8545.8,8601.9,8672.7,8754.0,8898.0,,,,,,,,,,9891.6,9973.0,10053.0,10032.0,10249.0,10288.4,10380.0,9730.0,
户籍人口数:河北:唐山,千人,7218.754545000001,58849.81974,242.5898179,0.038761516,-1.346008235,0.033605495,6841.3,7596.0,7218.9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6841.3,6883.4,6901.3,6940.9,6997.9,7001.5,7026.7,7062.8,7100.7,7145.1,7191.2,7246.6,7294.1,7339.0,7350.0,7370.7,7417.8,7474.0,7531.6,7550.0,7596.0,7550.0,
户籍人口数:河北:秦皇岛市,千人,2217.3016,286246.2548,535.019864,-0.18694888899999998,-1.271836992,0.24129323,1275.8,3000.8,2242.55,70,1275.8,1302.3,1320.3,1346.2,1366.5,1419.3,1440.2,1480.8,1519.0,1526.6,1556.2,1546.3,1536.5,1586.0,1642.0,1688.4,1727.8,1765.8,1799.0,1827.5,1866.2,1905.0,1936.2,1966.0,1988.3,1997.8,2012.4,2026.3,2046.1,2069.5,2095.0,2121.4,2160.7,2205.3,2230.0,2255.1,2281.6,2312.4,2353.2,2394.1,2431.7,2465.7,2491.9,2522.1,2547.1,2571.1,2599.6,2611.6,2618.7,2629.3,2644.1,2662.9,2682.0,2704.6,2732.9,2758.2,2786.4,2805.4,2833.1,2858.5,2872.4,2883.0,2898.0,2912.0,2927.0,2951.0,2956.4,2975.01,2983.5,3000.8
户籍人口数:河北:邯郸市,千人,9160.240909,762957.7406,873.4745220000001,0.34286877,-1.365430928,0.09535497300000001,7997.2,10547.0,8902.4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7997.2,8075.6,8150.0,8209.8,8384.8,8443.3,8499.3,8570.9,8633.5,8714.3,8841.2,8963.6,9280.8,9427.7,9635.0,9799.0,9931.0,10119.5,10294.8,10497.0,10547.0,10510.0,
户籍人口数:河北:邢台市,千人,7078.682609,295701.2679,543.7842107999999,0.34160083399999996,-1.385668624,0.076819974,6343.3,7966.3,6946.8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6343.3,6396.7,6464.7,6511.8,6589.4,6613.6,6638.3,6674.4,6719.7,6750.8,6833.0,6946.8,7063.6,7186.3,7320.3,7369.0,7477.0,7628.8,7728.8,7803.9,7884.0,7899.2,7966.3
户籍人口数:河北:保定市,千人,11177.10909,364110.2571,603.4154929,0.040880732,-1.481989571,0.053986723,10276.4,12070.0,11147.55,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10276.4,10353.9,10423.4,10500.9,10551.7,10624.3,10701.3,10769.8,10882.8,10921.7,11060.8,11234.3,11417.3,11552.8,11610.1,11607.0,11721.0,11639.0,11966.0,12021.9,12070.0,11990.0,
户籍人口数:河北:张家口市,千人,4567.256522,10635.588020000001,103.1289873,-0.239921634,-1.3991090019999999,0.022580073,4391.6,4696.0,4571.8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4391.6,4400.9,4423.1,4436.9,4497.9,4489.4,4505.4,4504.1,4498.2,4502.9,4536.1,4571.8,4596.7,4623.1,4659.7,4674.1,4684.1,4670.2,4685.6,4690.1,4696.0,4655.0,4654.0
