,单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
财政收入:地级市合计,百万人民币,3392355.899,4.87424E+12,2207768.985,0.479263473,-1.250939988,0.650807006,807757.66,7139555.26,2726035.05,13,,,,,,,,,,,,,,,,,,,,,,,,,,807757.66,967265.77,1224806.00,1493689.44,1959418.72,2397532.09,2726035.05,3450343.58,4353780.42,5151417.96,5943489.85,6485534.89,7139555.26,,,
财政收入:北京,百万人民币,218825.7518,35444032407,188265.8557,0.653982844,-0.983915073,0.860345979,18232,578590,166498.09,22,,,,,,,,,,,,,,,,,,,,18232.00,22945.00,28137.00,34499.68,45416.76,53399.00,59253.88,74448.74,91920.98,111715.14,149263.80,183732.38,202680.89,235393.01,300627.51,331493.40,366110.97,402716.09,472385.97,508125.59,543078.75,578590.00
财政收入:天津,百万人民币,57388.44268,7290541546,85384.6681,1.539466376,0.888872011,1.487837343,3764.28,272346,10139.63,41,3925.12,3764.28,4094.27,4019.91,3870.96,3874.39,4045.94,4821.37,5450.00,5587.15,4481.16,4649.18,4488.24,5809.16,6305.48,7496.05,5015.19,6189.77,7904.03,8990.82,10139.63,11280.73,13360.69,16363.50,17183.23,20452.95,24618.00,33185.07,41704.79,54043.90,67561.86,82199.16,106880.93,145512.99,176002.01,207907.16,239035.18,266711.00,272346.00,231036.00,210618.90
财政收入:河北:石家庄,百万人民币,22983.41688,253722588,15928.67188,0.484963865,-1.180109248,0.693050645,4934.29,51970,19242.935,16,,,,,,,,,,,,,,,,,,,,,,,,,,4934.29,5616.44,6587.96,7737.36,9587.20,11003.66,12596.14,16363.03,22122.84,27227.64,31512.33,34347.45,37505.29,41072.38,47550.66,51970.00
财政收入:河北:唐山,百万人民币,22538.71313,161859318.2,12722.39436,0.001445035,-1.45666965,0.564468534,4142.59,43240,22570.215,16,,,,,,,,,,,,,,,,,,,,,,,,,,4142.59,5812.69,7761.37,9337.58,11920.81,14926.70,16971.61,19584.19,25556.24,30109.36,31841.52,32374.98,33497.97,35506.99,38034.81,43240.00
财政收入:河北:秦皇岛市,百万人民币,7581.004375,16983443.84,4121.097408,-0.161656094,-1.683848454,0.543608367,1610.61,13343.39,7933.195,16,,,,,,,,,,,,,,,,,,,,,,,,,,1610.61,1903.22,2578.79,3252.59,4164.69,4868.00,5633.32,7202.00,8664.39,10866.22,10950.28,11365.84,11436.20,11601.28,11855.25,13343.39
财政收入:河北:邯郸市,百万人民币,12905.99188,53639157.33,7323.875841,-0.014435871,-1.594532064,0.567478727,2683.59,24340,13742.395,16,,,,,,,,,,,,,,,,,,,,,,,,,,2683.59,3405.10,4321.48,5281.39,6945.88,7745.86,8717.60,11589.75,15895.04,18465.04,17265.14,18316.17,19062.15,20450.18,22011.50,24340.00
财政收入:河北:邢台市,百万人民币,6827.310625,17232426.27,4151.195764,0.435090416,-1.008561382,0.608027962,1800.05,14900,6383.81,16,,,,,,,,,,,,,,,,,,,,,,,,,,2687.64,1800.05,2185.18,2550.82,3135.52,3689.98,4303.23,5710.01,7057.61,8561.20,8993.32,9570.60,10270.00,11148.02,12673.79,14900.00
财政收入:河北:保定市,百万人民币,12971.72188,76548963.38,8749.226444,0.382928459,-1.415606609,0.674484585,2978.57,27844.45,10981.015,16,,,,,,,,,,,,,,,,,,,,,,,,,,2978.57,3360.10,3726.28,4306.03,5148.43,6659.71,7325.59,9103.13,12858.90,15992.92,18030.34,19247.07,21286.05,24009.98,27844.45,25670.00
财政收入:河北:张家口市,百万人民币,7871.69125,26884156.01,5184.993347,0.0999675,-1.72800968,0.658688607,1165.77,15690,7271.66,16,,,,,,,,,,,,,,,,,,,,,,,,,,1165.77,1528.28,2111.36,2427.64,3447.30,4161.43,4699.52,6244.62,8298.70,10656.10,11846.77,12578.00,13343.34,14169.70,13578.53,15690.00
财政收入:河北:承德市,百万人民币,6059.74,12633868.22,3554.415313,-0.111724165,-1.600495804,0.586562346,841.07,10756.05,6296.785,16,,,,,,,,,,,,,,,,,,,,,,,,,,841.07,1202.74,1729.45,2444.95,3267.17,3779.67,4517.89,5483.54,7110.03,8251.33,10250.05,10756.05,9726.46,8213.31,8922.13,10460.00
财政收入:河北:沧州市,百万人民币,12080.24938,71623560.87,8463.070416,0.354008686,-1.478860973,0.700570837,2326.22,26340,10389.23,16,,,,,,,,,,,,,,,,,,,,,,,,,,2326.22,2585.50,3117.24,3727.29,4720.13,5674.65,6473.31,9129.58,11648.88,14258.18,17227.99,18971.02,21090.70,22039.68,23953.62,26340.00
财政收入:河北:廊坊市,百万人民币,15462.48563,162024803.2,12728.89638,0.475300705,-1.408447274,0.823211526,1647.04,36200,12305.73,16,,,,,,,,,,,,,,,,,,,,,,,,,,1647.04,2027.92,2429.65,3053.72,4544.11,5794.61,6926.29,10586.40,14025.06,17214.76,20543.42,25048.60,30338.44,33872.44,33147.31,36200.00
财政收入:河北:衡水市,百万人民币,4775.03125,14456744.17,3802.202542,0.563673345,-1.354957843,0.796267573,1011.42,11500,3261.085,16,,,,,,,,,,,,,,,,,,,,,,,,,,1026.20,1011.42,1331.88,1215.00,1410.50,1544.35,2168.76,2797.02,3725.15,5073.43,6853.45,7971.95,8851.55,9572.47,10347.37,11500.00
财政收入:山西:太原市,百万人民币,17551.20188,113560681.9,10656.48544,0.281570872,-1.17534831,0.607165567,3334.73,37323,15659.94,16,,,,,,,,,,,,,,,,,,,,,,,,,,3334.73,4263.74,5695.25,7533.06,8841.70,11692.24,11753.22,13848.09,17471.79,21566.54,24732.61,25885.27,27424.03,28268.93,31185.03,37323.00
财政收入:山西:大同市,百万人民币,6343.45125,12694526.06,3562.937841,0.02945824,-1.4251685,0.561671825,1319.95,11970,5990.865,16,,,,,,,,,,,,,,,,,,,,,,,,,,1319.95,1531.84,2041.73,2608.91,3670.60,4666.64,4761.74,5517.66,6464.07,8030.46,9457.19,10494.51,9239.63,8892.63,10827.66,11970.00
财政收入:山西:阳泉市,百万人民币,3439.128125,2906240.925,1704.77005,-0.324578674,-1.323120458,0.495698325,696.22,5760,3948.535,16,,,,,,,,,,,,,,,,,,,,,,,,,,696.22,934.92,1292.55,1537.56,2162.03,2617.01,2977.40,3769.31,4663.57,5687.86,4679.03,4704.77,4416.45,4127.76,4999.61,5760.00
财政收入:山西:长治市,百万人民币,8495.399375,22307510.62,4723.082745,-0.091194192,-1.324036742,0.555957706,1315.95,15067,8716.755,16,,,,,,,,,,,,,,,,,,,,,,,,,,1315.95,1705.49,2387.47,4452.16,4975.06,6262.59,6957.30,7790.01,10440.71,13349.31,14866.23,13632.51,9643.50,9852.78,13228.32,15067.00
财政收入:山西:晋城市,百万人民币,6271.838125,13053491.4,3612.961583,0.023347434,-1.312392042,0.576061038,1027.79,12530,6170.56,16,,,,,,,,,,,,,,,,,,,,,,,,,,1027.79,1384.79,2004.54,2649.25,3407.83,4186.41,4807.42,5548.90,6792.22,8290.56,9457.55,9803.05,9390.26,8932.29,10136.55,12530.00
财政收入:山西:朔州市,百万人民币,5089.7225,9486337.207,3079.989806,-0.110836796,-1.302431389,0.605139044,528.35,9530,5171.145,16,,,,,,,,,,,,,,,,,,,,,,,,,,528.35,667.02,1131.27,1701.11,3020.23,3779.89,4622.13,5575.35,7091.89,8425.00,9530.00,8658.98,5430.00,4912.29,7322.05,9040.00
