City,2010,2011,2012,2013,2014,2015
北京,8159.5,9002.5,9014.0,9504.5,19091.25,28687.75
湖州,1620.25,1891.25,1958.25,1978.75,1982.0,1976.0
青岛,2653.25,2831.0,2813.75,2952.25,3323.0,3647.25
济南,2090.75,2215.0,2234.75,2288.75,2333.5,2375.5
重庆,2268.0,2730.75,2775.25,3454.25,4083.5,4195.25
烟台,1565.25,1656.25,1654.25,1694.25,1734.75,1736.0
南昌,2007.25,2165.5,2223.25,4111.75,4681.5,4660.5
南充,1344.5,1613.25,1735.75,1882.25,2002.75,2035.5
宜宾,1527.0,1707.0,1705.0,1829.5,1901.0,1838.75
合肥,2344.5,2386.5,2395.0,2479.75,2693.5,2859.5
宜昌,877.75,1018.75,1091.5,1174.0,1294.0,1402.25
保定,1160.75,1268.75,1334.0,1451.5,2114.25,2815.75
大同,1832.75,1855.75,1856.0,1882.5,1916.75,1940.0
新乡,1106.75,1246.0,1310.5,1344.0,1432.0,1552.25
沈阳,1922.0,2124.5,2138.25,2227.0,2345.0,2405.25
天津,4633.75,4978.75,5108.75,5355.25,5573.75,5764.5
中山,1440.5,1575.25,1606.25,1733.75,1909.25,2007.0
泰安,1295.25,1444.75,1480.5,1560.5,1623.75,1676.25
宁波,4858.25,5275.5,5386.75,5842.25,5942.75,7910.25
岳阳,1153.0,1272.0,1369.25,1478.5,1577.5,1644.75
唐山,1311.5,1429.25,1454.0,1482.5,1506.0,1509.5
衡阳,679.5,708.25,749.25,806.5,878.0,946.5
潍坊,1078.5,1251.5,1324.5,1432.75,1571.5,1626.25
淮北,652.75,1184.3333333333333,1434.25,1448.25,1459.0,1524.25
济宁,776.5,811.75,849.0,864.75,879.5,888.5
广州,4122.0,4697.75,11982.0,15814.25,18755.0,20257.25
珠海,3700.75,3959.75,3975.5,4095.75,4441.5,4744.25
嘉兴,1069.5,1150.0,1145.75,1254.25,1315.5,1326.5
九江,1254.5,1315.0,1354.5,1411.75,1462.75,1501.75
淄博,884.25,1010.75,1031.75,1052.75,1079.25,1098.75
佛山,2272.0,2489.0,2557.75,2827.0,3606.75,3860.0
柳州,1123.5,1956.0,2273.5,2308.5,2398.0,2418.5
西宁,672.25,702.5,1285.75,1344.0,1357.75,1380.25
太原,1216.5,1290.0,1383.5,1572.75,2263.75,2333.0
廊坊,1803.25,1816.0,1746.0,2002.0,2029.75,2073.5
株洲,1099.0,1207.0,1235.5,1270.75,1352.0,2106.75
平顶山,924.25,1033.0,1048.25,1091.25,1300.25,1422.75
安阳,780.5,812.0,859.5,980.0,1062.75,1096.0
银川,1008.0,1089.0,1131.0,1175.0,1233.25,1271.5
呼和浩特,1174.0,1349.25,1528.0,2827.0,3102.75,3184.5
包头,642.25,674.25,720.0,794.5,1447.5,1659.0
北海,1183.5,1256.5,1225.75,1244.75,1262.75,1273.5
海口,1847.25,2151.75,2712.75,2984.5,3163.25,3491.75
贵阳,2723.25,2899.75,3021.25,3267.75,3338.0,3387.75
温州,5897.5,6069.75,5260.25,5140.5,5003.25,4904.25
深圳,12525.25,15449.5,17413.25,19953.0,22420.25,24567.0
临沂,718.75,752.0,781.25,824.75,890.0,924.25
郑州,2223.25,2346.0,2388.75,2490.0,2662.0,2879.75
长沙,1833.75,2020.0,2175.0,2376.25,2537.0,4024.5
东莞,2892.3333333333335,4356.0,4370.25,4699.5,4983.0,5190.25
上海,10888.25,11854.25,13715.0,15250.0,17281.0,18949.75
枣庄,791.0,852.0,878.75,897.25,930.75,956.0
蚌埠,833.0,907.75,935.25,955.0,962.5,968.0
焦作,630.0,666.5,657.25,677.75,695.25,717.5
西安,2514.5,2813.25,2967.75,3123.25,3413.5,4459.25
兰州,1752.0,1887.25,1985.0,2073.25,2133.25,2134.25
成都,6000.75,6463.5,6525.75,7002.5,7177.0,7053.75
开封,990.0,1071.75,1124.75,1210.25,1302.75,1379.25
湛江,884.5,996.0,1016.0,1081.25,1117.0,1152.75
秦皇岛,1454.25,1619.75,1665.25,1726.5,1799.5,1884.25
洛阳,1044.5,1121.25,1219.75,1304.75,1383.75,1684.0
湘潭,979.25,1086.75,1114.0,1697.75,1753.25,1804.0
邯郸,1038.0,1093.25,1110.25,1117.0,1139.75,2377.75
杭州,20732.25,15675.0,10301.25,10746.75,11354.75,11634.0
淮南,665.75,702.75,711.0,710.25,949.0,947.0
石家庄,1358.0,1625.75,1798.5,1917.25,3276.0,3423.0
汕头,1642.75,1875.0,1899.5,2035.75,2096.5,2015.25
张家口,885.5,947.5,998.5,1028.75,1073.25,1134.25
南宁,2059.0,2373.75,2363.0,2471.75,2562.5,2618.75
