City,2010,2011,2012,2013,2014,2015
北京,19619.0,20186.0,20693.0,21148.0,21516.0,21705.0
湖州,2893.5,2899.0,2905.0,2916.0,2930.0,2950.0
青岛,8719.0,8795.0,8868.5,8964.1,9046.2,9097.0
济南,6818.0,6885.1,6949.6,6998.8,7067.0,7132.0
重庆,28846.2,29190.0,29450.0,29700.0,29914.0,30165.5
烟台,6968.2,6976.0,6982.9,6989.3,7002.3,7014.1
南昌,5042.57,5089.0,5131.56,5184.23,5240.2,5302.9
南充,6278.62,6285.3,6300.3,6317.0,6333.8,6364.0
宜宾,4472.0,4460.0,4460.0,4465.0,4470.0,4490.0
合肥,5708.0,7520.0,7572.0,7611.0,7696.0,7790.0
宜昌,4059.69,4068.5,4088.3,4098.3,4104.5,4115.0
保定,11208.0,11272.3,11351.43,11416.3,11490.1,11552.4
大同,3321.0,3339.73,3357.11,3374.89,3391.9,3406.4
新乡,5711.0,5659.4,5668.5,5675.0,5708.0,5721.0
沈阳,8106.17,8180.0,8228.0,8257.0,8287.0,8291.0
天津,12992.9,13545.8,14131.5,14722.1,15168.1,15469.5
中山,3122.71,3142.3,3155.0,3173.9,3192.7,3209.6
泰安,5498.0,5514.0,5528.9,5568.3,5581.0,5600.8
宁波,7611.0,7628.0,7639.0,7663.0,7811.0,7825.0
岳阳,5476.0,5485.3,5523.1,5559.0,5595.1,5629.2
唐山,7582.0,7627.4,7668.51,7708.0,7768.2,7801.2
衡阳,7148.0,7166.0,7198.3,7250.0,7303.4,7320.5
潍坊,9092.0,9155.3,9216.1,9225.2,9247.2,9277.2
淮北,2117.0,2120.0,2123.0,2142.0,2159.0,2179.0
济宁,8092.0,8129.0,8158.1,8205.8,8240.0,8299.2
广州,12709.59,12751.4,12838.9,12926.8,13080.5,13501.1
珠海,1561.57,1567.65,1582.62,1590.35,1614.21,1634.12
嘉兴,4505.0,4531.0,4544.0,4558.0,4570.0,4585.0
九江,4728.76,4762.68,4773.13,4789.45,4806.9,4825.8
淄博,4533.0,4556.0,4579.3,4592.6,4615.0,4642.0
佛山,7199.11,7231.0,7261.8,7295.7,7350.6,7430.6
柳州,3758.7,3794.0,3825.0,3856.0,3886.5,3922.7
西宁,2208.7,2228.0,2247.4,2267.6,2290.7,2310.8
太原,4205.0,4235.35,4256.33,4277.69,4298.9,4318.7
廊坊,4364.0,4400.3,4439.33,4468.4,4521.8,4563.2
株洲,3857.0,3880.8,3906.6,3934.5,3961.0,4001.0
平顶山,4905.0,4918.0,4929.1,4957.0,4960.0,4960.0
安阳,5171.0,5150.0,5083.0,5090.0,5090.0,5120.0
银川,2004.46,2025.74,2046.34,2082.7,2128.94,2164.1
呼和浩特,2874.0,2911.9,2948.8,3001.1,3030.6,3059.6
包头,2656.0,2692.9,2731.6,2766.2,2799.0,2829.0
北海,1539.25,1547.0,1572.0,1590.2,1603.7,1625.7
海口,2046.19,2097.3,2141.3,2171.1,2200.7,2223.0
贵阳,4329.3,4390.0,4451.7,4521.9,4556.0,4621.8
温州,9135.0,9143.0,9156.0,9197.0,9068.0,9117.0
深圳,10372.01,10467.4,10547.4,10628.9,10778.9,11378.9
临沂,10056.0,10091.0,10124.4,10159.0,10221.0,10311.6
郑州,8657.87,8857.0,9031.0,9191.2,9378.0,9569.0
长沙,7041.0,7090.7,7146.6,7221.4,7311.5,7431.8
东莞,8224.77,8254.8,8292.3,8316.6,8343.1,8254.1
上海,23026.61,23474.6,23804.3,24151.5,24256.8,24152.7
枣庄,3734.0,3753.0,3772.0,3801.0,3831.0,3878.0
蚌埠,3169.0,3176.0,3183.0,3220.0,3258.0,3291.0
焦作,3543.0,3527.0,3520.0,3514.1,3522.5,3534.0
西安,8474.11,8513.4,8552.9,8588.1,8627.5,8705.6
兰州,3619.0,3620.9,3630.5,3641.6,3664.9,3693.1
成都,14047.63,14070.8,14177.83,14297.6,14427.5,14658.0
开封,4676.16,4660.0,4653.0,4646.0,4549.0,4542.6
湛江,7003.77,7069.2,7109.2,7167.1,7212.4,7241.4
秦皇岛,2990.0,3006.2,3021.58,3045.2,3064.5,3073.2
洛阳,6554.0,6567.1,6590.0,6615.2,6678.0,6743.0
湘潭,2752.0,2764.5,2781.0,2799.6,2813.0,2823.7
邯郸,9188.0,9239.2,9286.36,9325.1,9373.9,9433.0
杭州,8705.0,8738.0,8802.0,8844.0,8892.0,9018.0
淮南,2337.0,2330.0,2339.0,2357.0,2375.0,2397.0
石家庄,10175.0,10279.8,10385.99,10499.8,10616.2,10701.6
汕头,5396.2,5417.1,5448.1,5479.1,5523.7,5552.1
张家口,4349.0,4373.7,4393.83,4413.3,4420.9,4421.7
南宁,6662.0,6734.0,6791.0,6853.7,6913.8,6986.1
